Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	BHKFFO_01010|LE19-195	ALDGEK_20095	100.0	100.0	118
LE17-10A	BHKFFO_11855|LE19-195	ALDGEK_00945	98.65	100.0	1110
LE17-10A	BHKFFO_11860|LE19-195	ALDGEK_21255	97.33	100.05	1875
LE17-10A	BHKFFO_11865|LE19-195	ALDGEK_21260	96.77	99.88	807
LE17-10A	BHKFFO_11895|LE19-195	ALDGEK_21290	97.59	100.0	291
LE17-10A	BHKFFO_11850|LE19-195	Unmatched	0.0	0.0	0
LE17-20C	BHKFFO_01010|LE19-195	EIDGHK_13655	100.0	100.0	118
LE17-20C	BHKFFO_11855|LE19-195	EIDGHK_01395	97.84	100.0	1110
LE17-20C	BHKFFO_11860|LE19-195	EIDGHK_01385	95.79	101.33	1875
LE17-20C	BHKFFO_11865|LE19-195	EIDGHK_01380	97.52	100.0	807
LE17-20C	BHKFFO_11895|LE19-195	EIDGHK_01350	96.91	100.0	291
LE17-20C	BHKFFO_11850|LE19-195	Unmatched	0.0	0.0	0
LE18-22	BHKFFO_01010|LE19-195	HENFNN_20965	100.0	100.0	118
LE18-22	BHKFFO_11850|LE19-195	HENFNN_19575	94.85	100.05	3687
LE18-22	BHKFFO_11855|LE19-195	HENFNN_19570	98.38	100.0	1110
LE18-22	BHKFFO_11860|LE19-195	HENFNN_19525	97.33	100.0	1875
LE18-22	BHKFFO_11865|LE19-195	HENFNN_19520	96.78	100.0	807
LE18-22	BHKFFO_11895|LE19-195	HENFNN_19485	97.94	100.0	291
LE19-10	BHKFFO_01010|LE19-195	PGKGJD_10160	100.0	100.0	118
LE19-10	BHKFFO_11855|LE19-195	PGKGJD_03290	98.38	100.0	1110
LE19-10	BHKFFO_11860|LE19-195	PGKGJD_03295	97.44	100.0	1875
LE19-10	BHKFFO_11865|LE19-195	PGKGJD_03300	96.9	100.0	807
LE19-10	BHKFFO_11895|LE19-195	PGKGJD_03330	98.28	100.0	291
LE19-10	BHKFFO_11850|LE19-195	Unmatched	0.0	0.0	0
LE19-114	BHKFFO_01010|LE19-195	OCDKLD_14765	100.0	100.0	118
LE19-114	BHKFFO_11855|LE19-195	OCDKLD_04180	98.74	100.0	1110
LE19-114	BHKFFO_11860|LE19-195	OCDKLD_04175	97.71	100.0	1875
LE19-114	BHKFFO_11865|LE19-195	OCDKLD_04170	96.9	100.0	807
LE19-114	BHKFFO_11895|LE19-195	OCDKLD_04110	97.25	100.0	291
LE19-114	BHKFFO_11850|LE19-195	Unmatched	0.0	0.0	0
LE19-12	BHKFFO_01010|LE19-195	GMBOIL_24035	100.0	100.0	118
LE19-12	BHKFFO_11850|LE19-195	GMBOIL_03985	95.19	99.73	3687
LE19-12	BHKFFO_11855|LE19-195	GMBOIL_03980	98.92	100.0	1110
LE19-12	BHKFFO_11860|LE19-195	GMBOIL_23975	97.39	100.0	1875
LE19-12	BHKFFO_11865|LE19-195	GMBOIL_23980	96.15	99.88	807
LE19-12	BHKFFO_11895|LE19-195	GMBOIL_24010	99.66	100.0	291
LE19-13	BHKFFO_01010|LE19-195	IDJNMB_20790	100.0	100.0	118
LE19-13	BHKFFO_11850|LE19-195	IDJNMB_09075	95.22	88.5	3687
LE19-13	BHKFFO_11855|LE19-195	IDJNMB_09080	98.2	100.0	1110
LE19-13	BHKFFO_11860|LE19-195	IDJNMB_15630	96.58	101.28	1875
LE19-13	BHKFFO_11865|LE19-195	IDJNMB_15635	98.27	100.0	807
LE19-13	BHKFFO_11895|LE19-195	IDJNMB_15665	97.25	100.0	291
LE19-131	BHKFFO_01010|LE19-195	FLBHPM_14520	100.0	100.0	118
LE19-131	BHKFFO_11850|LE19-195	FLBHPM_06155	95.92	88.5	3687
LE19-131	BHKFFO_11855|LE19-195	FLBHPM_06160	98.56	100.0	1110
LE19-131	BHKFFO_11860|LE19-195	FLBHPM_06165	97.33	100.05	1875
LE19-131	BHKFFO_11865|LE19-195	FLBHPM_06170	97.15	100.0	807
LE19-131	BHKFFO_11895|LE19-195	FLBHPM_06200	99.31	100.0	291
LE19-195	BHKFFO_01010|LE19-195	BHKFFO_01010	100.0	100.0	118
LE19-195	BHKFFO_11850|LE19-195	BHKFFO_11850	100.0	100.0	3687
LE19-195	BHKFFO_11855|LE19-195	BHKFFO_11855	100.0	100.0	1110
LE19-195	BHKFFO_11860|LE19-195	BHKFFO_11860	100.0	100.0	1875
LE19-195	BHKFFO_11865|LE19-195	BHKFFO_11865	100.0	100.0	807
LE19-195	BHKFFO_11895|LE19-195	BHKFFO_11895	100.0	100.0	291
LE19-196	BHKFFO_01010|LE19-195	JMPPHP_00170	100.0	100.0	118
LE19-196	BHKFFO_11855|LE19-195	JMPPHP_18420	98.65	100.0	1110
LE19-196	BHKFFO_11865|LE19-195	JMPPHP_06080	97.09	72.37	807
LE19-196	BHKFFO_11850|LE19-195	Unmatched	0.0	0.0	0
LE19-196	BHKFFO_11860|LE19-195	Unmatched	0.0	0.0	0
LE19-196	BHKFFO_11895|LE19-195	Unmatched	0.0	0.0	0
LE19-197	BHKFFO_01010|LE19-195	KBOODB_13615	100.0	100.0	118
LE19-197	BHKFFO_11850|LE19-195	KBOODB_13545	95.95	88.5	3687
LE19-197	BHKFFO_11855|LE19-195	KBOODB_13550	98.92	100.0	1110
LE19-197	BHKFFO_11860|LE19-195	KBOODB_13555	97.33	100.0	1875
LE19-197	BHKFFO_11865|LE19-195	KBOODB_13560	96.15	99.88	807
LE19-197	BHKFFO_11895|LE19-195	KBOODB_13590	99.66	100.0	291
LE19-251	BHKFFO_01010|LE19-195	IHLHBL_22625	100.0	100.0	118
LE19-251	BHKFFO_11850|LE19-195	IHLHBL_20875	95.65	88.47	3687
LE19-251	BHKFFO_11855|LE19-195	IHLHBL_15170	97.84	100.0	1110
LE19-251	BHKFFO_11860|LE19-195	IHLHBL_15175	97.39	100.0	1875
LE19-251	BHKFFO_11865|LE19-195	IHLHBL_15180	96.9	100.0	807
LE19-251	BHKFFO_11895|LE19-195	IHLHBL_15210	98.28	100.0	291
