Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19745|LE19-12	FKFHLE_11300	98.06	100.00	669
GMBOIL_19750|LE19-12	FKFHLE_11305	98.76	100.00	483
GMBOIL_19755|LE19-12	FKFHLE_11310	97.28	100.00	810
GMBOIL_19760|LE19-12	FKFHLE_11320	94.22	100.00	225
GMBOIL_19765|LE19-12	FKFHLE_11325	95.63	99.09	1641
GMBOIL_21685|LE19-12	FKFHLE_02865	94.37	100.00	213
GMBOIL_21690|LE19-12	FKFHLE_02870	92.50	100.29	678
GMBOIL_21695|LE19-12	FKFHLE_02875	97.25	100.00	291
GMBOIL_21700|LE19-12	FKFHLE_02880	96.76	88.63	906
GMBOIL_21705|LE19-12	FKFHLE_02885	97.23	100.00	1011
GMBOIL_21710|LE19-12	FKFHLE_05490	96.97	100.00	396
GMBOIL_21715|LE19-12	FKFHLE_05495	98.11	91.30	2091
GMBOIL_21720|LE19-12	FKFHLE_05500	98.15	100.00	756
GMBOIL_21725|LE19-12	FKFHLE_05505	99.62	100.00	798
GMBOIL_21730|LE19-12	FKFHLE_05510	98.29	100.00	468
GMBOIL_21735|LE19-12	FKFHLE_05515	97.76	100.00	849
GMBOIL_21740|LE19-12	FKFHLE_05520	99.29	85.89	489
GMBOIL_21745|LE19-12	FKFHLE_05525	99.31	96.67	300
GMBOIL_21750|LE19-12	FKFHLE_18190	96.73	100.00	1161
GMBOIL_21755|LE19-12	FKFHLE_18195	97.18	100.00	1239
GMBOIL_21760|LE19-12	FKFHLE_18200	94.62	100.00	390
GMBOIL_19740|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19770|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19775|LE19-12	Unmatched	0.0	0.0	0
