Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_19390|LE19-12	ALDGEK_13895	97.62	100.0	378
LE17-10A	GMBOIL_19395|LE19-12	ALDGEK_13900	98.27	100.0	462
LE17-10A	GMBOIL_19415|LE19-12	ALDGEK_13375	97.37	100.0	876
LE17-10A	GMBOIL_19420|LE19-12	ALDGEK_13370	97.67	100.0	600
LE17-10A	GMBOIL_19425|LE19-12	ALDGEK_13365	97.79	98.26	921
LE17-10A	GMBOIL_19430|LE19-12	ALDGEK_13360	98.05	100.0	1644
LE17-10A	GMBOIL_19435|LE19-12	ALDGEK_08855	97.48	96.36	165
LE17-10A	GMBOIL_19455|LE19-12	ALDGEK_16150	96.79	96.51	258
LE17-10A	GMBOIL_19460|LE19-12	ALDGEK_16155	99.6	83.5	303
LE17-10A	GMBOIL_19465|LE19-12	ALDGEK_16160	100.0	100.0	327
LE17-10A	GMBOIL_19470|LE19-12	ALDGEK_16165	100.0	100.0	228
LE17-10A	GMBOIL_19475|LE19-12	ALDGEK_16170	100.0	100.0	474
LE17-10A	GMBOIL_19405|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_19445|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_19450|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19390|LE19-12	EIDGHK_18525	91.53	100.0	378
LE17-20C	GMBOIL_19395|LE19-12	EIDGHK_18530	95.02	100.0	462
LE17-20C	GMBOIL_19415|LE19-12	EIDGHK_01560	98.06	100.0	876
LE17-20C	GMBOIL_19420|LE19-12	EIDGHK_01565	97.83	100.0	600
LE17-20C	GMBOIL_19425|LE19-12	EIDGHK_01570	98.34	98.26	921
LE17-20C	GMBOIL_19430|LE19-12	EIDGHK_01575	98.9	99.94	1644
LE17-20C	GMBOIL_19465|LE19-12	EIDGHK_16480	98.72	71.87	327
LE17-20C	GMBOIL_19470|LE19-12	EIDGHK_16475	100.0	87.72	228
LE17-20C	GMBOIL_19475|LE19-12	EIDGHK_16470	100.0	100.0	474
LE17-20C	GMBOIL_19405|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19435|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19445|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19450|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19455|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_19460|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_19390|LE19-12	HENFNN_15805	96.3	100.0	378
LE18-22	GMBOIL_19395|LE19-12	HENFNN_15810	95.24	100.0	462
LE18-22	GMBOIL_19415|LE19-12	HENFNN_02840	97.6	100.0	876
LE18-22	GMBOIL_19420|LE19-12	HENFNN_02845	96.46	99.0	600
LE18-22	GMBOIL_19430|LE19-12	HENFNN_10120	97.75	100.0	1644
LE18-22	GMBOIL_19435|LE19-12	HENFNN_09300	98.11	96.36	165
LE18-22	GMBOIL_19445|LE19-12	HENFNN_09305	98.35	100.0	789
LE18-22	GMBOIL_19450|LE19-12	HENFNN_09310	99.46	100.0	735
