Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_01595|LE19-84	ALDGEK_02920	97.18	100.00	354
FMDALA_01600|LE19-84	ALDGEK_17995	97.41	100.00	771
FMDALA_01605|LE19-84	ALDGEK_18000	97.77	100.00	1209
FMDALA_01610|LE19-84	ALDGEK_18005	97.32	100.00	783
FMDALA_01615|LE19-84	ALDGEK_18010	96.77	100.00	1116
FMDALA_01620|LE19-84	ALDGEK_18015	97.36	100.00	531
FMDALA_06000|LE19-84	ALDGEK_15170	97.11	100.00	762
FMDALA_06005|LE19-84	ALDGEK_15175	99.04	100.00	312
FMDALA_06010|LE19-84	ALDGEK_15180	98.43	100.00	1527
FMDALA_06015|LE19-84	ALDGEK_10285	100.00	100.00	120
FMDALA_06020|LE19-84	ALDGEK_10280	100.00	100.00	120
FMDALA_06025|LE19-84	ALDGEK_10275	98.52	100.00	135
FMDALA_06030|LE19-84	ALDGEK_10270	99.59	100.00	246
FMDALA_06035|LE19-84	ALDGEK_10265	97.48	100.00	993
FMDALA_06040|LE19-84	ALDGEK_10260	99.71	100.00	348
FMDALA_06540|LE19-84	ALDGEK_11420	94.86	90.12	324
FMDALA_06545|LE19-84	ALDGEK_02925	97.22	99.82	1623
FMDALA_06550|LE19-84	ALDGEK_02930	98.43	100.00	318
FMDALA_06555|LE19-84	ALDGEK_02995	97.47	100.00	198
FMDALA_06560|LE19-84	ALDGEK_03000	97.57	100.00	576
FMDALA_06570|LE19-84	ALDGEK_03005	95.42	100.00	1398
FMDALA_06575|LE19-84	ALDGEK_03010	96.67	100.00	930
FMDALA_06580|LE19-84	ALDGEK_03015	96.69	100.00	453
FMDALA_06590|LE19-84	ALDGEK_07855	96.99	100.00	831
FMDALA_06045|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06050|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06595|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09760|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09765|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09770|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09775|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09805|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09810|LE19-84	Unmatched	0.0	0.0	0
