"Strain","Query_gene_name","Query_gene_annotation","New_BGC_name","Gene","Identity_Score","Query_Coverage","gene_type","Main_Product","Biosynthetic_Class"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_1_samp_4305",NA,NA,"additional","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_2_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_3_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_4_samp_4305",NA,NA,"additional","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_5_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_6_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_7_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_8_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A","ALDGEK_09490","tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG","Lanthipeptide_WLEADA","ctg1_9_samp_4305",74.45,76.31,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_10_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_11_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_12_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_13_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_15_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_16_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_17_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_18_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
"LE17-10A",NA,NA,"Lanthipeptide_WLEADA","ctg1_19_samp_4305",NA,NA,"other","Lanthipeptide","Lanthipeptide"
