Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19745|LE19-12	IOJBKL_23265	97.91	100.00	669
GMBOIL_19750|LE19-12	IOJBKL_23270	97.52	100.00	483
GMBOIL_19755|LE19-12	IOJBKL_23290	96.90	99.51	810
GMBOIL_19760|LE19-12	IOJBKL_23295	94.22	100.00	225
GMBOIL_19765|LE19-12	IOJBKL_20095	92.99	100.00	1641
GMBOIL_19775|LE19-12	IOJBKL_01625	93.72	100.00	366
GMBOIL_21685|LE19-12	IOJBKL_14325	93.90	100.00	213
GMBOIL_21695|LE19-12	IOJBKL_14335	97.59	100.00	291
GMBOIL_21700|LE19-12	IOJBKL_14340	97.35	100.00	906
GMBOIL_21705|LE19-12	IOJBKL_14345	97.58	98.22	1011
GMBOIL_21710|LE19-12	IOJBKL_14350	97.47	100.00	396
GMBOIL_21715|LE19-12	IOJBKL_14355	98.01	91.30	2091
GMBOIL_21720|LE19-12	IOJBKL_01915	98.02	100.00	756
GMBOIL_21725|LE19-12	IOJBKL_01910	99.00	100.00	798
GMBOIL_21730|LE19-12	IOJBKL_01905	97.44	100.00	468
GMBOIL_21735|LE19-12	IOJBKL_01900	96.58	100.00	849
GMBOIL_21740|LE19-12	IOJBKL_01895	98.10	85.89	489
GMBOIL_21745|LE19-12	IOJBKL_01890	96.55	96.67	300
GMBOIL_21750|LE19-12	IOJBKL_01875	97.93	100.00	1161
GMBOIL_21755|LE19-12	IOJBKL_01870	96.13	100.00	1239
GMBOIL_21760|LE19-12	IOJBKL_01865	95.64	100.00	390
GMBOIL_19740|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19770|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21690|LE19-12	Unmatched	0.0	0.0	0
