Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_11690|LE19-114	JGHBBJ_02905	96.18	96.50	543
OCDKLD_11695|LE19-114	JGHBBJ_17330	95.42	100.00	480
OCDKLD_11700|LE19-114	JGHBBJ_17325	98.11	100.00	159
OCDKLD_11705|LE19-114	JGHBBJ_02910	98.05	100.00	975
OCDKLD_11710|LE19-114	JGHBBJ_02915	97.63	98.98	981
OCDKLD_11720|LE19-114	JGHBBJ_02925	98.83	100.00	1281
OCDKLD_11725|LE19-114	JGHBBJ_02930	98.68	100.00	1062
OCDKLD_11730|LE19-114	JGHBBJ_02935	95.45	100.00	792
OCDKLD_11735|LE19-114	JGHBBJ_02940	94.37	100.00	1278
OCDKLD_11745|LE19-114	JGHBBJ_02945	95.88	97.70	174
OCDKLD_11750|LE19-114	JGHBBJ_02945	95.31	100.17	1149
OCDKLD_11755|LE19-114	JGHBBJ_02950	98.31	100.00	177
OCDKLD_20945|LE19-114	JGHBBJ_02900	95.78	100.00	2064
OCDKLD_11715|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11740|LE19-114	Unmatched	0.0	0.0	0
