Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_00475|LE19-84	ALDGEK_19880	94.05	100.0	336
LE17-10A	FMDALA_00485|LE19-84	ALDGEK_19890	94.98	100.0	618
LE17-10A	FMDALA_00490|LE19-84	ALDGEK_19895	96.85	100.0	381
LE17-10A	FMDALA_00500|LE19-84	ALDGEK_19905	97.49	81.43	1761
LE17-10A	FMDALA_00505|LE19-84	ALDGEK_19910	96.21	100.0	1215
LE17-10A	FMDALA_16100|LE19-84	ALDGEK_11100	97.44	100.0	312
LE17-10A	FMDALA_16105|LE19-84	ALDGEK_19875	75.31	108.97	513
LE17-10A	FMDALA_23050|LE19-84	ALDGEK_19915	97.44	99.98	4173
LE17-10A	FMDALA_23055|LE19-84	ALDGEK_19920	95.94	99.36	471
LE17-20C	FMDALA_00475|LE19-84	EIDGHK_12765	95.54	100.0	336
LE17-20C	FMDALA_00485|LE19-84	EIDGHK_12775	95.63	100.0	618
LE17-20C	FMDALA_00490|LE19-84	EIDGHK_08175	96.06	100.0	381
LE17-20C	FMDALA_00500|LE19-84	EIDGHK_08185	97.07	81.43	1761
LE17-20C	FMDALA_00505|LE19-84	EIDGHK_08190	96.46	100.0	1215
LE17-20C	FMDALA_16100|LE19-84	EIDGHK_05660	88.93	89.74	312
LE17-20C	FMDALA_16105|LE19-84	EIDGHK_05660	79.55	104.87	513
LE17-20C	FMDALA_23050|LE19-84	EIDGHK_08195	95.92	72.25	4173
LE17-20C	FMDALA_23055|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_00475|LE19-84	HENFNN_25430	95.54	100.0	336
LE18-22	FMDALA_00485|LE19-84	HENFNN_25420	95.15	100.16	618
LE18-22	FMDALA_00490|LE19-84	HENFNN_25415	97.38	100.0	381
LE18-22	FMDALA_00500|LE19-84	HENFNN_25405	97.07	81.43	1761
LE18-22	FMDALA_00505|LE19-84	HENFNN_25400	96.38	100.0	1215
LE18-22	FMDALA_16100|LE19-84	HENFNN_02675	88.53	89.42	312
LE18-22	FMDALA_23055|LE19-84	HENFNN_22700	96.74	97.66	471
LE18-22	FMDALA_16105|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_23050|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_00475|LE19-84	PGKGJD_03885	95.83	100.0	336
LE19-10	FMDALA_00485|LE19-84	PGKGJD_03895	95.15	100.0	618
LE19-10	FMDALA_00490|LE19-84	PGKGJD_03900	97.38	100.0	381
LE19-10	FMDALA_00500|LE19-84	PGKGJD_03910	98.68	85.86	1761
LE19-10	FMDALA_00505|LE19-84	PGKGJD_03915	96.46	100.0	1215
LE19-10	FMDALA_16100|LE19-84	PGKGJD_19245	85.82	90.38	312
LE19-10	FMDALA_16105|LE19-84	PGKGJD_19245	78.34	107.99	513
LE19-10	FMDALA_23050|LE19-84	PGKGJD_09505	97.36	100.0	4173
LE19-10	FMDALA_23055|LE19-84	PGKGJD_09510	97.03	100.0	471
LE19-114	FMDALA_00475|LE19-84	OCDKLD_09975	95.54	100.0	336
LE19-114	FMDALA_00485|LE19-84	OCDKLD_09990	95.56	94.66	618
LE19-114	FMDALA_00490|LE19-84	OCDKLD_09995	96.59	100.0	381
LE19-114	FMDALA_00500|LE19-84	OCDKLD_10005	97.91	81.49	1761
LE19-114	FMDALA_00505|LE19-84	OCDKLD_10010	97.04	100.0	1215
LE19-114	FMDALA_16100|LE19-84	OCDKLD_03370	85.82	90.38	312
LE19-114	FMDALA_16105|LE19-84	OCDKLD_03370	93.85	98.25	513
LE19-114	FMDALA_23050|LE19-84	OCDKLD_10015	96.74	99.98	4173
LE19-114	FMDALA_23055|LE19-84	OCDKLD_10020	96.1	97.88	471
LE19-12	FMDALA_00475|LE19-84	GMBOIL_13130	95.54	100.0	336
LE19-12	FMDALA_00485|LE19-84	GMBOIL_18095	94.59	95.63	618
LE19-12	FMDALA_00490|LE19-84	GMBOIL_18100	97.11	100.0	381
LE19-12	FMDALA_00505|LE19-84	GMBOIL_00305	96.79	100.0	1215
LE19-12	FMDALA_23055|LE19-84	GMBOIL_18090	95.33	100.0	471
LE19-12	FMDALA_00500|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_16100|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_16105|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_23050|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_00475|LE19-84	FLBHPM_06325	94.05	100.0	336
LE19-131	FMDALA_00485|LE19-84	FLBHPM_06335	95.79	100.0	618
LE19-131	FMDALA_00490|LE19-84	FLBHPM_06340	96.06	100.0	381
LE19-131	FMDALA_00500|LE19-84	FLBHPM_06345	97.21	81.43	1761
LE19-131	FMDALA_00505|LE19-84	FLBHPM_03135	97.37	100.0	1215
LE19-131	FMDALA_16100|LE19-84	FLBHPM_12775	88.1	99.68	312
LE19-131	FMDALA_16105|LE19-84	FLBHPM_12775	79.67	105.46	513
LE19-131	FMDALA_23050|LE19-84	FLBHPM_03130	97.53	99.98	4173
LE19-131	FMDALA_23055|LE19-84	FLBHPM_03125	96.82	100.0	471
LE19-13	FMDALA_00475|LE19-84	IDJNMB_14470	95.54	100.0	336
LE19-13	FMDALA_00485|LE19-84	IDJNMB_14460	95.79	100.0	618
LE19-13	FMDALA_00490|LE19-84	IDJNMB_14455	96.85	100.0	381
LE19-13	FMDALA_00500|LE19-84	IDJNMB_14445	97.49	81.43	1761
LE19-13	FMDALA_00505|LE19-84	IDJNMB_20380	96.3	100.0	1215
LE19-13	FMDALA_16100|LE19-84	IDJNMB_06380	97.12	100.0	312
LE19-13	FMDALA_16105|LE19-84	IDJNMB_06380	89.83	103.51	513
LE19-13	FMDALA_23050|LE19-84	IDJNMB_20375	97.2	99.98	4173
LE19-13	FMDALA_23055|LE19-84	IDJNMB_20370	96.37	99.36	471
LE19-195	FMDALA_00475|LE19-84	BHKFFO_09140	95.83	100.0	336
LE19-195	FMDALA_00485|LE19-84	BHKFFO_09130	95.64	100.16	618
LE19-195	FMDALA_00490|LE19-84	BHKFFO_09125	97.38	100.0	381
LE19-195	FMDALA_00500|LE19-84	BHKFFO_09115	97.42	81.43	1761
LE19-195	FMDALA_00505|LE19-84	BHKFFO_09110	96.63	100.0	1215
LE19-195	FMDALA_23055|LE19-84	BHKFFO_14165	79.43	97.03	471
LE19-195	FMDALA_16100|LE19-84	Unmatched	0.0	0.0	0
LE19-195	FMDALA_16105|LE19-84	Unmatched	0.0	0.0	0
LE19-195	FMDALA_23050|LE19-84	Unmatched	0.0	0.0	0
LE19-196	FMDALA_00475|LE19-84	JMPPHP_12905	94.05	100.0	336
LE19-196	FMDALA_00485|LE19-84	JMPPHP_12895	94.98	100.0	618
LE19-196	FMDALA_00490|LE19-84	JMPPHP_12890	96.85	100.0	381
LE19-196	FMDALA_00500|LE19-84	JMPPHP_12880	97.49	81.43	1761
LE19-196	FMDALA_00505|LE19-84	JMPPHP_12875	96.21	100.0	1215
LE19-196	FMDALA_16100|LE19-84	JMPPHP_14715	97.44	100.0	312
LE19-196	FMDALA_16105|LE19-84	JMPPHP_19985	76.67	99.42	513
LE19-196	FMDALA_23055|LE19-84	JMPPHP_11710	95.94	99.36	471
LE19-196	FMDALA_23050|LE19-84	Unmatched	0.0	0.0	0
LE19-197	FMDALA_00475|LE19-84	KBOODB_12785	95.54	100.0	336
LE19-197	FMDALA_00485|LE19-84	KBOODB_07260	94.59	95.63	618
LE19-197	FMDALA_00490|LE19-84	KBOODB_07265	97.11	100.0	381
LE19-197	FMDALA_00500|LE19-84	KBOODB_16055	97.1	80.35	1761
LE19-197	FMDALA_00505|LE19-84	KBOODB_16050	96.79	100.0	1215
LE19-197	FMDALA_23050|LE19-84	KBOODB_16045	96.4	99.98	4173
LE19-197	FMDALA_23055|LE19-84	KBOODB_16040	95.33	100.0	471
LE19-197	FMDALA_16100|LE19-84	Unmatched	0.0	0.0	0
