ref_genotype,gene_name,gene
LE19-12,ALDGEK_14985,accA
LE19-12,ALDGEK_01815,allA
LE19-12,ALDGEK_18495,apcECpcD
LE19-12,ALDGEK_07125,argF
LE19-12,ALDGEK_05665,argG
LE19-12,ALDGEK_11245,aroE
LE19-12,ALDGEK_01380,aroK
LE19-12,ALDGEK_15790,arsR
LE19-12,ALDGEK_06610,atp1
LE19-12,ALDGEK_06605,atpB
LE19-12,ALDGEK_06600,atpE
LE19-12,ALDGEK_06590,atpF
LE19-12,ALDGEK_06575,atpG
LE19-12,ALDGEK_06585,atpH
LE19-12,ALDGEK_17560,bchL
LE19-12,ALDGEK_03330,bioB
LE19-12,ALDGEK_03335,bioY
LE19-12,ALDGEK_02275,btpA
LE19-12,ALDGEK_06900,cbbL
LE19-12,ALDGEK_17620,cbiT
LE19-12,ALDGEK_06185,ccb1
LE19-12,ALDGEK_06920,ccmK1~~~ccmK
LE19-12,ALDGEK_06915,ccmL
LE19-12,ALDGEK_13015,ccsB
LE19-12,ALDGEK_17615,cdsA
LE19-12,ALDGEK_06275,citT
LE19-12,ALDGEK_18075,clpX
LE19-12,ALDGEK_06665,coaD
LE19-12,ALDGEK_15675,cobC
LE19-12,ALDGEK_22250,cobD
LE19-12,ALDGEK_09990,cobQ
LE19-12,ALDGEK_18485,cpcB
LE19-12,ALDGEK_14935,cpcT1
LE19-12,ALDGEK_10230,cpsB
LE19-12,ALDGEK_04340,crcB
LE19-12,ALDGEK_19910,csdA
LE19-12,ALDGEK_02220,ctaA
LE19-12,ALDGEK_02205,cyoC
LE19-12,ALDGEK_03390,cysQ
LE19-12,ALDGEK_13970,dacB
LE19-12,ALDGEK_18510,ddl
LE19-12,ALDGEK_08605,dndE
LE19-12,ALDGEK_11110,dusA
LE19-12,ALDGEK_21925,elsH
LE19-12,ALDGEK_11795,eno
LE19-12,ALDGEK_06835,fabB
LE19-12,ALDGEK_01170,fabH
LE19-12,ALDGEK_13440,fabZ
LE19-12,ALDGEK_07205,fkpA
LE19-12,ALDGEK_14175,fmt
LE19-12,ALDGEK_07730,folB
LE19-12,ALDGEK_02895,frr
LE19-12,ALDGEK_11615,galM
LE19-12,ALDGEK_12465,gcvT
LE19-12,ALDGEK_10960,gdhA
LE19-12,ALDGEK_20410,gloA
LE19-12,ALDGEK_03965,gloB
LE19-12,ALDGEK_07745,glpG
LE19-12,ALDGEK_08095,gph
LE19-12,ALDGEK_12830,group_10147
LE19-12,ALDGEK_18250,group_10188
LE19-12,ALDGEK_01460,group_1022
LE19-12,ALDGEK_07725,group_10347
LE19-12,ALDGEK_16390,group_11121
LE19-12,ALDGEK_15510,group_11199
LE19-12,ALDGEK_00645,group_11207
LE19-12,ALDGEK_10520,group_11382
LE19-12,ALDGEK_06895,group_11505
LE19-12,ALDGEK_20890,group_11521
LE19-12,ALDGEK_15680,group_11598
LE19-12,ALDGEK_09615,group_11742
LE19-12,ALDGEK_01935,group_11811
LE19-12,ALDGEK_20405,group_12240
LE19-12,ALDGEK_20855,group_12267
LE19-12,ALDGEK_06925,group_12312
LE19-12,ALDGEK_11790,group_12349
LE19-12,ALDGEK_17640,group_12628
LE19-12,ALDGEK_22135,group_12701
LE19-12,ALDGEK_18155,group_12863
LE19-12,ALDGEK_05035,group_12983
LE19-12,ALDGEK_22185,group_13070
LE19-12,ALDGEK_16275,group_13097
LE19-12,ALDGEK_10680,group_13285
LE19-12,ALDGEK_05285,group_13377
LE19-12,ALDGEK_01285,group_13525
LE19-12,ALDGEK_06045,group_13569
LE19-12,ALDGEK_05240,group_13775
LE19-12,ALDGEK_18490,group_14045
LE19-12,ALDGEK_00980,group_14055
LE19-12,ALDGEK_08750,group_14222
LE19-12,ALDGEK_17510,group_14232
LE19-12,ALDGEK_17675,group_14353
LE19-12,ALDGEK_17520,group_14367
LE19-12,ALDGEK_02415,group_144
LE19-12,ALDGEK_19190,group_14549
LE19-12,ALDGEK_05255,group_1470
LE19-12,ALDGEK_06445,group_1807
LE19-12,ALDGEK_03305,group_2266
LE19-12,ALDGEK_18180,group_2356
