Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_01595|LE19-84	EIDGHK_07355	96.89	100.00	354
FMDALA_01600|LE19-84	EIDGHK_07360	96.89	100.00	771
FMDALA_01605|LE19-84	EIDGHK_07365	97.19	100.00	1209
FMDALA_01610|LE19-84	EIDGHK_07370	97.45	100.00	783
FMDALA_01615|LE19-84	EIDGHK_07375	96.77	100.00	1116
FMDALA_01620|LE19-84	EIDGHK_07380	97.18	100.00	531
FMDALA_06000|LE19-84	EIDGHK_18255	98.03	100.00	762
FMDALA_06005|LE19-84	EIDGHK_18250	98.72	100.00	312
FMDALA_06010|LE19-84	EIDGHK_18245	97.97	100.00	1527
FMDALA_06015|LE19-84	EIDGHK_18240	99.17	100.00	120
FMDALA_06020|LE19-84	EIDGHK_18235	99.17	100.00	120
FMDALA_06025|LE19-84	EIDGHK_18230	99.26	100.00	135
FMDALA_06030|LE19-84	EIDGHK_18225	98.37	100.00	246
FMDALA_06035|LE19-84	EIDGHK_18220	97.68	100.00	993
FMDALA_06040|LE19-84	EIDGHK_18215	98.85	100.00	348
FMDALA_06045|LE19-84	EIDGHK_07315	95.91	100.00	2298
FMDALA_06050|LE19-84	EIDGHK_07280	99.63	100.00	267
FMDALA_06540|LE19-84	EIDGHK_10610	95.83	74.07	324
FMDALA_06545|LE19-84	EIDGHK_07350	97.21	99.51	1623
FMDALA_06550|LE19-84	EIDGHK_07345	98.43	100.00	318
FMDALA_06555|LE19-84	EIDGHK_04175	98.99	100.00	198
FMDALA_06560|LE19-84	EIDGHK_04170	96.88	100.00	576
FMDALA_06570|LE19-84	EIDGHK_04165	95.28	100.00	1398
FMDALA_06575|LE19-84	EIDGHK_04160	97.74	100.00	930
FMDALA_06580|LE19-84	EIDGHK_04155	98.01	100.00	453
FMDALA_06590|LE19-84	EIDGHK_18295	97.35	100.00	831
FMDALA_09760|LE19-84	EIDGHK_07225	90.00	89.99	1089
FMDALA_09765|LE19-84	EIDGHK_07235	99.17	87.68	276
FMDALA_09770|LE19-84	EIDGHK_07240	98.15	100.00	216
FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06595|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09775|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09805|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09810|LE19-84	Unmatched	0.0	0.0	0
