Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19390|LE19-12	IOJBKL_21410	96.83	100.00	378
GMBOIL_19395|LE19-12	IOJBKL_23690	95.89	100.00	462
GMBOIL_19415|LE19-12	IOJBKL_18715	96.58	100.11	876
GMBOIL_19420|LE19-12	IOJBKL_18710	96.46	99.00	600
GMBOIL_19430|LE19-12	IOJBKL_08195	97.51	100.00	1644
GMBOIL_19435|LE19-12	IOJBKL_09565	98.74	96.36	165
GMBOIL_19445|LE19-12	IOJBKL_09560	97.47	100.00	789
GMBOIL_19450|LE19-12	IOJBKL_09555	97.69	100.00	735
GMBOIL_19465|LE19-12	IOJBKL_17250	98.17	100.00	327
GMBOIL_19405|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19425|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19455|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19460|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19470|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19475|LE19-12	Unmatched	0.0	0.0	0
