Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_01990|LE19-114	JAMHJB_00770	97.18	100.00	744
OCDKLD_01995|LE19-114	JAMHJB_18265	96.34	100.00	273
OCDKLD_02005|LE19-114	JAMHJB_18275	95.94	100.06	1746
OCDKLD_02010|LE19-114	JAMHJB_18280	96.41	100.00	501
OCDKLD_02370|LE19-114	JAMHJB_08435	96.02	100.00	201
OCDKLD_02380|LE19-114	JAMHJB_08425	98.06	100.00	669
OCDKLD_02385|LE19-114	JAMHJB_08420	97.68	100.00	345
OCDKLD_02390|LE19-114	JAMHJB_08415	97.35	100.00	981
OCDKLD_02395|LE19-114	JAMHJB_08410	98.31	100.00	474
OCDKLD_02400|LE19-114	JAMHJB_08405	97.07	100.00	444
OCDKLD_02405|LE19-114	JAMHJB_08400	97.69	100.00	390
OCDKLD_02410|LE19-114	JAMHJB_11085	92.53	100.00	750
OCDKLD_02415|LE19-114	JAMHJB_00435	97.54	100.00	1299
OCDKLD_02420|LE19-114	JAMHJB_00440	94.49	100.00	762
OCDKLD_02425|LE19-114	JAMHJB_00445	97.31	100.00	2079
OCDKLD_02430|LE19-114	JAMHJB_08660	91.43	84.19	291
OCDKLD_02320|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02325|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02330|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02335|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02340|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02345|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02350|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02355|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02360|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02365|LE19-114	Unmatched	0.0	0.0	0
