Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_00145|LE19-12	ALDGEK_01505	97.19	100.0	2313
LE17-10A	GMBOIL_00770|LE19-12	ALDGEK_15575	96.41	100.45	222
LE17-10A	GMBOIL_02515|LE19-12	ALDGEK_18370	97.47	100.0	1029
LE17-10A	GMBOIL_02520|LE19-12	ALDGEK_18375	99.15	100.0	351
LE17-10A	GMBOIL_02525|LE19-12	ALDGEK_18380	98.8	100.0	417
LE17-10A	GMBOIL_02530|LE19-12	ALDGEK_18385	98.04	100.0	867
LE17-10A	GMBOIL_02535|LE19-12	ALDGEK_18390	96.63	100.0	297
LE17-10A	GMBOIL_02540|LE19-12	ALDGEK_20715	97.42	100.0	1434
LE17-10A	GMBOIL_02545|LE19-12	ALDGEK_20710	95.92	100.0	1005
LE17-10A	GMBOIL_02550|LE19-12	ALDGEK_20705	98.63	100.0	1530
LE17-10A	GMBOIL_02555|LE19-12	ALDGEK_20700	98.99	100.0	1188
LE17-10A	GMBOIL_15280|LE19-12	ALDGEK_18365	93.98	100.34	894
LE17-10A	GMBOIL_15285|LE19-12	ALDGEK_07665	98.86	100.0	2718
LE17-10A	GMBOIL_15290|LE19-12	ALDGEK_07660	98.96	100.0	1443
LE17-10A	GMBOIL_15295|LE19-12	ALDGEK_07655	99.25	100.0	930
LE17-10A	GMBOIL_15300|LE19-12	ALDGEK_07650	99.39	99.55	663
LE17-10A	GMBOIL_15305|LE19-12	ALDGEK_07645	98.95	100.0	3795
LE17-10A	GMBOIL_15310|LE19-12	ALDGEK_07640	99.54	100.0	5445
LE17-10A	GMBOIL_15315|LE19-12	ALDGEK_07635	99.39	100.0	3963
LE17-10A	GMBOIL_15320|LE19-12	ALDGEK_07630	99.17	100.0	1320
LE17-10A	GMBOIL_15325|LE19-12	ALDGEK_07625	99.49	100.0	1176
LE17-10A	GMBOIL_15330|LE19-12	ALDGEK_07620	99.17	100.0	606
LE17-10A	GMBOIL_15335|LE19-12	ALDGEK_07615	98.96	100.0	1632
LE17-10A	GMBOIL_15340|LE19-12	ALDGEK_07610	98.85	100.0	1302
LE17-10A	GMBOIL_15345|LE19-12	ALDGEK_07605	98.82	100.0	1356
LE17-10A	GMBOIL_15350|LE19-12	ALDGEK_07600	99.16	100.0	3099
LE17-10A	GMBOIL_20245|LE19-12	ALDGEK_07595	96.08	99.74	384
LE17-10A	GMBOIL_20610|LE19-12	ALDGEK_07590	96.55	100.0	522
LE17-10A	GMBOIL_20620|LE19-12	ALDGEK_07575	96.13	100.06	1548
LE17-10A	GMBOIL_20625|LE19-12	ALDGEK_07570	98.52	99.75	813
LE17-10A	GMBOIL_20635|LE19-12	ALDGEK_07560	97.56	99.62	783
LE17-10A	GMBOIL_11735|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21500|LE19-12	Unmatched	0.0	0.0	0
