Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_05235|LE19-114	IOJBKL_17185	94.13	84.63	423
OCDKLD_05240|LE19-114	IOJBKL_04790	95.71	99.11	564
OCDKLD_05245|LE19-114	IOJBKL_04795	94.57	99.55	444
OCDKLD_05250|LE19-114	IOJBKL_04805	96.91	100.00	1164
OCDKLD_05255|LE19-114	IOJBKL_04810	97.49	100.00	1473
OCDKLD_05265|LE19-114	IOJBKL_04825	95.12	100.00	2070
OCDKLD_05270|LE19-114	IOJBKL_04830	96.95	100.00	1212
OCDKLD_05275|LE19-114	IOJBKL_04835	98.68	100.00	1209
OCDKLD_05280|LE19-114	IOJBKL_04840	96.72	100.00	1431
OCDKLD_05285|LE19-114	IOJBKL_04845	95.27	100.00	1353
OCDKLD_05290|LE19-114	IOJBKL_04850	95.34	100.00	966
OCDKLD_05220|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05225|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05230|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05260|LE19-114	Unmatched	0.0	0.0	0
