Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_00025|LE19-84	EIBFDN_14330	94.26	100.00	366
FMDALA_00030|LE19-84	EIBFDN_14325	97.98	100.00	198
FMDALA_07115|LE19-84	EIBFDN_08520	97.31	100.00	1452
FMDALA_07120|LE19-84	EIBFDN_08515	93.55	100.00	186
FMDALA_07125|LE19-84	EIBFDN_08510	96.86	99.42	513
FMDALA_07130|LE19-84	EIBFDN_08505	97.93	98.98	489
FMDALA_07135|LE19-84	EIBFDN_08500	97.50	100.00	240
FMDALA_09920|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09925|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20260|LE19-84	Unmatched	0.0	0.0	0
