Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_09375|LE19-84	EIBFDN_20785	93.74	85.87	651
FMDALA_15580|LE19-84	EIBFDN_02835	93.19	99.48	192
FMDALA_15585|LE19-84	EIBFDN_02840	95.85	99.18	243
FMDALA_15595|LE19-84	EIBFDN_02870	97.32	100.00	933
FMDALA_15600|LE19-84	EIBFDN_02875	97.06	100.00	1431
FMDALA_17410|LE19-84	EIBFDN_15325	98.72	100.00	780
FMDALA_17415|LE19-84	EIBFDN_15335	95.05	100.00	465
FMDALA_17420|LE19-84	EIBFDN_15340	96.59	100.00	822
FMDALA_17425|LE19-84	EIBFDN_15345	96.09	100.00	843
FMDALA_17430|LE19-84	EIBFDN_15350	98.99	100.00	297
FMDALA_17435|LE19-84	EIBFDN_15355	90.91	103.89	180
FMDALA_17440|LE19-84	EIBFDN_15360	100.00	100.00	198
FMDALA_17450|LE19-84	EIBFDN_15375	96.15	100.00	1872
FMDALA_17455|LE19-84	EIBFDN_18130	96.06	98.63	876
FMDALA_22125|LE19-84	EIBFDN_02880	96.12	100.00	2781
FMDALA_22130|LE19-84	EIBFDN_02885	95.78	100.00	1800
FMDALA_22135|LE19-84	EIBFDN_02890	96.28	100.00	537
FMDALA_22140|LE19-84	EIBFDN_02895	96.55	100.00	783
FMDALA_22145|LE19-84	EIBFDN_02900	93.48	100.00	936
FMDALA_22150|LE19-84	EIBFDN_02905	96.76	100.00	2928
FMDALA_22155|LE19-84	EIBFDN_02910	95.39	100.00	954
FMDALA_01970|LE19-84	Unmatched	0.0	0.0	0
FMDALA_01975|LE19-84	Unmatched	0.0	0.0	0
FMDALA_15590|LE19-84	Unmatched	0.0	0.0	0
FMDALA_15605|LE19-84	Unmatched	0.0	0.0	0
