Query_Name,Reference_Name,Identity_Score,Query_Coverage,Query_Length
ALDGEK_00635 hypothetical protein,ctg71_3_T1PKS_51_0,96.21,100,396
ALDGEK_00640 AAA family ATPase,ctg71_4_T1PKS_51_0,97.82,100,1512
ALDGEK_00645 DUF1257 domain-containing protein,ctg71_5_T1PKS_51_0,98.59,81.38,435
ALDGEK_00650 SAM-dependent methyltransferase,ctg71_6_T1PKS_51_0,97.84,100.15,648
ALDGEK_00655 restriction endonuclease,ctg71_8_T1PKS_51_0,97.56,99.87,780
ALDGEK_00660 alanine dehydrogenase,ctg71_9_T1PKS_51_0,97.33,100,1086
ALDGEK_00665 DUF3181 domain-containing protein,ctg71_10_T1PKS_51_0,97.03,100,303
ALDGEK_00670 2TM domain-containing protein,ctg71_11_T1PKS_51_0,97.25,100,255
ALDGEK_00710 carotenoid biosynthesis protein,ctg30_17_Novel-T3PKS_28_0,97.49,100,915
ALDGEK_00715 serine/threonine protein kinase,ctg30_16_Novel-T3PKS_28_0,97.28,100,1545
ALDGEK_00720 DUF1957 domain-containing protein,ctg30_15_Novel-T3PKS_28_0,98.18,100,1590
ALDGEK_00725 histidine kinase,ctg30_14_Novel-T3PKS_28_0,96.97,100,1155
ALDGEK_00730 alpha/beta hydrolase,ctg30_13_Novel-T3PKS_28_0,96.5,100,828
ALDGEK_00740 ribonuclease III,ctg30_12_Novel-T3PKS_28_0,97.73,83.63,843
ALDGEK_00745 WD40 repeat domain-containing protein,ctg30_11_Novel-T3PKS_28_0,95.92,99.81,1056
ALDGEK_00750 hypothetical protein,ctg30_10_Novel-T3PKS_28_0,95.92,100,294
ALDGEK_00945 S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,ctg44_17_1-heptadecene_20_0,98.65,100,1110
ALDGEK_01505 transglutaminase,ctg82_2_T3PKS-Merocyclophane_5_0,96.5,100,2313
ALDGEK_01810 hypothetical protein,ctg28_4_RiPP-like_84_0,92.99,71.69,219
ALDGEK_02680 Transposase,ctg115_1_Cyanobactin_90_0,94.31,96.47,255
