Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	accA	ALDGEK_14985	97.37	100.0	990
LE17-10A	allA	ALDGEK_01815	96.97	100.0	495
LE17-10A	apcECpcD	ALDGEK_18495	98.52	100.0	879
LE17-10A	argF	ALDGEK_07125	96.44	100.0	927
LE17-10A	argG	ALDGEK_05665	97.43	100.0	1206
LE17-10A	aroE	ALDGEK_11245	96.7	100.0	909
LE17-10A	aroK	ALDGEK_01380	97.02	99.65	573
LE17-10A	arsR	ALDGEK_15790	95.58	100.0	339
LE17-10A	atp1	ALDGEK_06610	95.98	100.0	423
LE17-10A	atpB	ALDGEK_06605	98.8	100.0	750
LE17-10A	atpE	ALDGEK_06600	99.59	100.0	246
LE17-10A	atpF	ALDGEK_06590	98.71	100.0	543
LE17-10A	atpG	ALDGEK_06575	97.47	100.0	948
LE17-10A	atpH	ALDGEK_06585	98.36	100.0	549
LE17-10A	bchL	ALDGEK_17560	98.28	100.0	870
LE17-10A	bioB	ALDGEK_03330	96.99	100.0	1095
LE17-10A	bioY	ALDGEK_03335	97.7	100.0	651
LE17-10A	btpA	ALDGEK_02275	98.88	90.27	894
LE17-10A	cbbL	ALDGEK_06900	98.87	100.0	1416
LE17-10A	cbiT	ALDGEK_17620	96.95	100.0	591
LE17-10A	ccb1	ALDGEK_06185	97.69	100.0	519
LE17-10A	ccmK1~~~ccmK	ALDGEK_06920	98.54	100.0	342
LE17-10A	ccmL	ALDGEK_06915	98.07	99.68	312
LE17-10A	ccsB	ALDGEK_13015	97.67	100.0	987
LE17-10A	cdsA	ALDGEK_17615	97.82	100.0	918
LE17-10A	citT	ALDGEK_06275	96.06	100.0	1800
LE17-10A	clpX	ALDGEK_18075	97.75	100.0	1335
LE17-10A	coaD	ALDGEK_06665	98.1	100.0	474
LE17-10A	cobC	ALDGEK_15675	97.76	100.0	1338
LE17-10A	cobD	ALDGEK_22250	96.76	98.22	1068
LE17-10A	cobQ	ALDGEK_09990	97.43	100.0	1476
LE17-10A	cofG	ALDGEK_12135	95.95	100.0	888
LE17-10A	cpcB	ALDGEK_18485	98.46	100.0	519
LE17-10A	cpcT1	ALDGEK_14935	97.61	100.0	585
LE17-10A	cpsB	ALDGEK_10230	97.55	100.0	1062
LE17-10A	crcB	ALDGEK_04340	95.13	100.0	390
LE17-10A	csdA	ALDGEK_19910	96.21	100.0	1215
LE17-10A	ctaA	ALDGEK_02220	97.07	100.0	921
LE17-10A	cyoC	ALDGEK_02205	97.24	98.88	624
LE17-10A	cysQ	ALDGEK_03390	97.61	100.11	876
LE17-10A	dacB	ALDGEK_13970	96.75	100.0	891
