Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_08125|LE19-195	JAMHJB_08780	96.87	100.36	828
BHKFFO_08130|LE19-195	JAMHJB_08775	97.03	99.89	945
BHKFFO_08135|LE19-195	JAMHJB_08770	97.65	100.00	255
BHKFFO_08165|LE19-195	JAMHJB_08755	98.44	100.00	1281
BHKFFO_08170|LE19-195	JAMHJB_08750	98.40	100.00	1062
BHKFFO_08185|LE19-195	JAMHJB_08745	96.59	100.00	792
BHKFFO_08190|LE19-195	JAMHJB_08740	93.35	100.08	1278
BHKFFO_08195|LE19-195	JAMHJB_08735	96.32	100.00	1170
BHKFFO_08140|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08145|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08150|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08155|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08160|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08175|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08180|LE19-195	Unmatched	0.0	0.0	0
