Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	BHKFFO_03475|LE19-195	ALDGEK_04855	96.38	100.0	276
LE17-10A	BHKFFO_03480|LE19-195	ALDGEK_04850	97.04	98.38	309
LE17-10A	BHKFFO_04845|LE19-195	ALDGEK_18050	97.54	100.0	732
LE17-10A	BHKFFO_08935|LE19-195	ALDGEK_21625	96.24	100.0	186
LE17-10A	BHKFFO_08940|LE19-195	ALDGEK_21620	96.69	100.0	513
LE17-10A	BHKFFO_08945|LE19-195	ALDGEK_21615	96.11	100.0	489
LE17-10A	BHKFFO_13590|LE19-195	ALDGEK_21630	97.52	100.0	1452
LE17-10A	BHKFFO_04750|LE19-195	Unmatched	0.0	0.0	0
LE17-20C	BHKFFO_03475|LE19-195	EIDGHK_01255	96.0	99.64	276
LE17-20C	BHKFFO_04845|LE19-195	EIDGHK_08580	97.95	100.0	732
LE17-20C	BHKFFO_08935|LE19-195	EIDGHK_13485	96.24	100.0	186
LE17-20C	BHKFFO_08940|LE19-195	EIDGHK_13490	97.45	99.42	513
LE17-20C	BHKFFO_08945|LE19-195	EIDGHK_13495	96.73	100.0	489
LE17-20C	BHKFFO_13590|LE19-195	EIDGHK_13480	97.66	100.0	1452
LE17-20C	BHKFFO_03480|LE19-195	Unmatched	0.0	0.0	0
LE17-20C	BHKFFO_04750|LE19-195	Unmatched	0.0	0.0	0
LE18-22	BHKFFO_03475|LE19-195	HENFNN_18775	98.91	100.0	276
LE18-22	BHKFFO_03480|LE19-195	HENFNN_18770	97.7	98.38	309
LE18-22	BHKFFO_04750|LE19-195	HENFNN_08745	99.58	100.0	240
LE18-22	BHKFFO_04845|LE19-195	HENFNN_11380	97.95	100.0	732
LE18-22	BHKFFO_08935|LE19-195	HENFNN_08730	96.77	100.0	186
LE18-22	BHKFFO_08940|LE19-195	HENFNN_08725	99.61	100.0	513
LE18-22	BHKFFO_08945|LE19-195	HENFNN_08720	97.75	100.0	489
LE18-22	BHKFFO_13590|LE19-195	HENFNN_08735	97.87	100.0	1452
LE19-10	BHKFFO_03475|LE19-195	PGKGJD_15180	95.65	100.0	276
LE19-10	BHKFFO_03480|LE19-195	PGKGJD_15185	98.36	98.38	309
LE19-10	BHKFFO_04750|LE19-195	PGKGJD_11415	100.0	100.0	240
LE19-10	BHKFFO_04845|LE19-195	PGKGJD_25170	97.4	100.0	732
LE19-10	BHKFFO_08935|LE19-195	PGKGJD_15165	97.31	100.0	186
LE19-10	BHKFFO_08940|LE19-195	PGKGJD_15160	98.44	100.0	513
LE19-10	BHKFFO_08945|LE19-195	PGKGJD_15155	96.32	100.0	489
LE19-10	BHKFFO_13590|LE19-195	PGKGJD_15170	97.52	100.0	1452
LE19-114	BHKFFO_03475|LE19-195	OCDKLD_18210	96.74	100.0	276
LE19-114	BHKFFO_03480|LE19-195	OCDKLD_18205	98.36	98.38	309
LE19-114	BHKFFO_04845|LE19-195	OCDKLD_17080	98.36	100.0	732
LE19-114	BHKFFO_08935|LE19-195	OCDKLD_14085	96.24	100.0	186
LE19-114	BHKFFO_08940|LE19-195	OCDKLD_14080	97.47	100.0	513
LE19-114	BHKFFO_08945|LE19-195	OCDKLD_14075	96.32	100.0	489
LE19-114	BHKFFO_13590|LE19-195	OCDKLD_14090	98.35	100.0	1452
LE19-114	BHKFFO_04750|LE19-195	Unmatched	0.0	0.0	0
LE19-12	BHKFFO_03480|LE19-195	GMBOIL_04190	98.36	98.38	309
LE19-12	BHKFFO_04750|LE19-195	GMBOIL_18600	100.0	100.0	240
LE19-12	BHKFFO_04845|LE19-195	GMBOIL_20700	98.36	100.0	732
LE19-12	BHKFFO_08935|LE19-195	GMBOIL_19660	96.77	100.0	186
LE19-12	BHKFFO_08940|LE19-195	GMBOIL_19665	98.05	100.0	513
LE19-12	BHKFFO_08945|LE19-195	GMBOIL_19670	97.14	100.0	489
LE19-12	BHKFFO_03475|LE19-195	Unmatched	0.0	0.0	0
LE19-12	BHKFFO_13590|LE19-195	Unmatched	0.0	0.0	0
LE19-13	BHKFFO_03475|LE19-195	IDJNMB_20480	96.38	100.0	276
LE19-13	BHKFFO_03480|LE19-195	IDJNMB_20485	97.89	92.23	309
LE19-13	BHKFFO_04845|LE19-195	IDJNMB_05485	97.54	100.0	732
LE19-13	BHKFFO_08935|LE19-195	IDJNMB_19030	96.77	100.0	186
LE19-13	BHKFFO_08940|LE19-195	IDJNMB_19035	97.86	100.0	513
LE19-13	BHKFFO_08945|LE19-195	IDJNMB_19040	96.73	100.0	489
LE19-13	BHKFFO_13590|LE19-195	IDJNMB_19025	98.14	100.0	1452
LE19-13	BHKFFO_04750|LE19-195	Unmatched	0.0	0.0	0
LE19-131	BHKFFO_03475|LE19-195	FLBHPM_09605	97.62	91.3	276
LE19-131	BHKFFO_04750|LE19-195	FLBHPM_19180	100.0	100.0	240
LE19-131	BHKFFO_04845|LE19-195	FLBHPM_11825	97.54	100.0	732
LE19-131	BHKFFO_08935|LE19-195	FLBHPM_09645	97.31	100.0	186
LE19-131	BHKFFO_08940|LE19-195	FLBHPM_09650	97.66	100.0	513
LE19-131	BHKFFO_08945|LE19-195	FLBHPM_09655	96.11	100.0	489
LE19-131	BHKFFO_13590|LE19-195	FLBHPM_09640	97.97	98.62	1452
LE19-131	BHKFFO_03480|LE19-195	Unmatched	0.0	0.0	0
LE19-195	BHKFFO_03475|LE19-195	BHKFFO_03475	100.0	100.0	276
LE19-195	BHKFFO_03480|LE19-195	BHKFFO_03480	100.0	100.0	309
LE19-195	BHKFFO_04750|LE19-195	BHKFFO_04750	100.0	100.0	240
LE19-195	BHKFFO_04845|LE19-195	BHKFFO_04845	100.0	100.0	732
LE19-195	BHKFFO_08935|LE19-195	BHKFFO_08935	100.0	100.0	186
LE19-195	BHKFFO_08940|LE19-195	BHKFFO_08940	100.0	100.0	513
LE19-195	BHKFFO_08945|LE19-195	BHKFFO_08945	100.0	100.0	489
LE19-195	BHKFFO_13590|LE19-195	BHKFFO_13590	100.0	100.0	1452
LE19-196	BHKFFO_03475|LE19-195	JMPPHP_17270	96.38	100.0	276
LE19-196	BHKFFO_03480|LE19-195	JMPPHP_17265	97.04	98.38	309
LE19-196	BHKFFO_08935|LE19-195	JMPPHP_05065	96.24	100.0	186
LE19-196	BHKFFO_08940|LE19-195	JMPPHP_05070	96.69	100.0	513
LE19-196	BHKFFO_08945|LE19-195	JMPPHP_05075	95.71	100.0	489
LE19-196	BHKFFO_04750|LE19-195	Unmatched	0.0	0.0	0
LE19-196	BHKFFO_04845|LE19-195	Unmatched	0.0	0.0	0
LE19-196	BHKFFO_13590|LE19-195	Unmatched	0.0	0.0	0
