Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_16340|LE19-12	ALDGEK_08860	94.58	100.0	480
LE17-10A	GMBOIL_16385|LE19-12	ALDGEK_12960	94.76	100.75	2007
LE17-10A	GMBOIL_16390|LE19-12	ALDGEK_12955	94.42	95.37	432
LE17-10A	GMBOIL_16395|LE19-12	ALDGEK_12950	95.91	98.4	1689
LE17-10A	GMBOIL_16400|LE19-12	ALDGEK_21775	97.96	99.44	1428
LE17-10A	GMBOIL_16405|LE19-12	ALDGEK_21780	98.85	100.0	783
LE17-10A	GMBOIL_16410|LE19-12	ALDGEK_21785	98.64	100.0	954
LE17-10A	GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16355|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16360|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16375|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16380|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16400|LE19-12	EIDGHK_04495	98.11	100.0	1428
LE17-20C	GMBOIL_16405|LE19-12	EIDGHK_04500	95.91	100.0	783
LE17-20C	GMBOIL_16410|LE19-12	EIDGHK_04505	98.11	100.0	954
LE17-20C	GMBOIL_16340|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16355|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16360|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16375|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16380|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16385|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16390|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16395|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16340|LE19-12	HENFNN_09295	97.92	100.0	480
LE18-22	GMBOIL_16355|LE19-12	HENFNN_09285	97.23	85.45	14178
LE18-22	GMBOIL_16360|LE19-12	HENFNN_09280	96.85	100.0	603
LE18-22	GMBOIL_16365|LE19-12	HENFNN_09280	96.79	100.53	2661
LE18-22	GMBOIL_16370|LE19-12	HENFNN_09275	95.95	100.12	3255
LE18-22	GMBOIL_16375|LE19-12	HENFNN_09270	98.07	100.0	2070
LE18-22	GMBOIL_16380|LE19-12	HENFNN_09265	98.21	100.0	1170
LE18-22	GMBOIL_16385|LE19-12	HENFNN_09260	97.76	100.3	2007
LE18-22	GMBOIL_16390|LE19-12	HENFNN_09255	97.69	100.0	432
LE18-22	GMBOIL_16395|LE19-12	HENFNN_09250	96.98	100.0	1689
LE18-22	GMBOIL_16400|LE19-12	HENFNN_19810	97.76	100.0	1428
LE18-22	GMBOIL_16405|LE19-12	HENFNN_19815	96.81	100.0	783
LE18-22	GMBOIL_16410|LE19-12	HENFNN_19820	97.69	100.0	954
LE18-22	GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16340|LE19-12	PGKGJD_13340	97.5	100.0	480
LE19-10	GMBOIL_16345|LE19-12	PGKGJD_13335	97.42	100.0	4257
LE19-10	GMBOIL_16355|LE19-12	PGKGJD_13330	97.15	76.63	14178
LE19-10	GMBOIL_16360|LE19-12	PGKGJD_12485	98.01	100.0	603
LE19-10	GMBOIL_16375|LE19-12	PGKGJD_14835	98.16	100.0	2070
LE19-10	GMBOIL_16380|LE19-12	PGKGJD_14830	98.03	100.0	1170
LE19-10	GMBOIL_16390|LE19-12	PGKGJD_18975	97.33	95.37	432
LE19-10	GMBOIL_16400|LE19-12	PGKGJD_11425	97.82	99.44	1428
LE19-10	GMBOIL_16405|LE19-12	PGKGJD_11430	98.08	100.0	783
LE19-10	GMBOIL_16410|LE19-12	PGKGJD_11435	98.43	100.0	954
LE19-10	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16385|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16395|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16340|LE19-12	OCDKLD_11695	94.58	100.0	480
LE19-114	GMBOIL_16385|LE19-12	OCDKLD_21935	94.86	100.75	2007
LE19-114	GMBOIL_16390|LE19-12	OCDKLD_21930	94.42	95.37	432
LE19-114	GMBOIL_16395|LE19-12	OCDKLD_21925	95.61	98.4	1689
LE19-114	GMBOIL_16400|LE19-12	OCDKLD_08130	97.96	99.44	1428
LE19-114	GMBOIL_16405|LE19-12	OCDKLD_08135	97.19	100.0	783
LE19-114	GMBOIL_16410|LE19-12	OCDKLD_08140	98.11	100.0	954
LE19-114	GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16355|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16360|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16375|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16380|LE19-12	Unmatched	0.0	0.0	0
LE19-12	GMBOIL_16340|LE19-12	GMBOIL_16340	100.0	100.0	480
LE19-12	GMBOIL_16345|LE19-12	GMBOIL_16345	100.0	100.0	4257
LE19-12	GMBOIL_16350|LE19-12	GMBOIL_16350	100.0	100.0	1878
LE19-12	GMBOIL_16355|LE19-12	GMBOIL_16355	100.0	100.0	14178
LE19-12	GMBOIL_16360|LE19-12	GMBOIL_16360	100.0	100.0	603
LE19-12	GMBOIL_16365|LE19-12	GMBOIL_16365	100.0	100.0	2661
LE19-12	GMBOIL_16370|LE19-12	GMBOIL_16370	100.0	100.0	3255
LE19-12	GMBOIL_16375|LE19-12	GMBOIL_16375	100.0	100.0	2070
LE19-12	GMBOIL_16380|LE19-12	GMBOIL_16380	100.0	100.0	1170
LE19-12	GMBOIL_16385|LE19-12	GMBOIL_16385	100.0	100.0	2007
LE19-12	GMBOIL_16390|LE19-12	GMBOIL_16390	100.0	100.0	432
LE19-12	GMBOIL_16395|LE19-12	GMBOIL_16395	100.0	100.0	1689
LE19-12	GMBOIL_16400|LE19-12	GMBOIL_16400	100.0	100.0	1428
LE19-12	GMBOIL_16405|LE19-12	GMBOIL_16405	100.0	100.0	783
LE19-12	GMBOIL_16410|LE19-12	GMBOIL_16410	100.0	100.0	954
LE19-13	GMBOIL_16340|LE19-12	IDJNMB_14490	96.88	100.0	480
LE19-13	GMBOIL_16360|LE19-12	IDJNMB_13060	98.01	100.0	603
LE19-13	GMBOIL_16375|LE19-12	IDJNMB_13050	98.26	100.0	2070
LE19-13	GMBOIL_16380|LE19-12	IDJNMB_13045	97.86	100.0	1170
LE19-13	GMBOIL_16385|LE19-12	IDJNMB_13040	99.1	100.0	2007
LE19-13	GMBOIL_16390|LE19-12	IDJNMB_13035	96.99	100.0	432
LE19-13	GMBOIL_16395|LE19-12	IDJNMB_13030	97.22	100.0	1689
LE19-13	GMBOIL_16400|LE19-12	IDJNMB_13025	97.88	99.3	1428
LE19-13	GMBOIL_16405|LE19-12	IDJNMB_13020	98.08	100.0	783
LE19-13	GMBOIL_16410|LE19-12	IDJNMB_13015	97.48	100.0	954
LE19-13	GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16355|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_16340|LE19-12	FLBHPM_11935	97.71	100.0	480
