Query_Name,Reference_Name,Identity_Score,Query_Coverage,Query_Length
FKFHLE_00705 DUF262 domain-containing protein,ctg39_11_Cyanobactin_50_0,95.95,100,1110
FKFHLE_00710 endoribonuclease,ctg39_12_Cyanobactin_50_0,93.66,100.2,504
FKFHLE_00715 reactive intermediate/imine deaminase,ctg39_13_Cyanobactin_50_0,99.49,100,390
FKFHLE_00720 DNA-directed RNA polymerase subunit gamma,ctg39_14_Cyanobactin_50_0,98.67,100,1881
FKFHLE_02070 hypothetical protein,AAZ03552.1_mcnC_Microcystissp.NIVA-CYA172/5_cyanopeptolin,96.86,100.02,5226
FKFHLE_02075 non-ribosomal peptide synthetase,AAZ03554.1_mcnE_Microcystissp.NIVA-CYA172/5_cyanopeptolin,97.77,100,4257
FKFHLE_02095 acyl carrier protein,ctg32_6_samp_471_14978_NRPS,76.98,99.86,735
FKFHLE_02210 FAD-dependent oxidoreductase,AAF00964.1_uma1_MicrocystisaeruginosaPCC7806_microcystinLR,98.59,100,2052
FKFHLE_02215 non-ribosomal peptide synthetase,AAF00962.1_mcyC_MicrocystisaeruginosaPCC7806_microcystinLR,98.5,100,3876
FKFHLE_02220 non-ribosomal peptide synthetase,AAF00961.1_mcyB_MicrocystisaeruginosaPCC7806_microcystinLR,98.01,100,6381
FKFHLE_02225 non-ribosomal peptide synthetase,AAF00960.1_mcyA_MicrocystisaeruginosaPCC7806_microcystinLR,97.01,96.43,8700
FKFHLE_02230 short-chain dehydrogenase,AAF00959.1_mcyD_MicrocystisaeruginosaPCC7806_microcystinLR,98.93,100,11721
FKFHLE_02235 non-ribosomal peptide synthetase,AAF00958.1_mcyE_MicrocystisaeruginosaPCC7806_microcystinLR,98.47,100,10464
FKFHLE_02240 aspartate/glutamate racemase family protein,AAF00963.1_mcyF_MicrocystisaeruginosaPCC7806_microcystinLR,97.62,100,756
FKFHLE_02245 beta-ketoacyl synthase,AAF00957.1_mcyG_MicrocystisaeruginosaPCC7806_microcystinLR,98.85,100.01,7899
FKFHLE_02250 ABC transporter,AAF00956.1_mcyH_MicrocystisaeruginosaPCC7806_microcystinLR,99.26,91.88,1761
FKFHLE_02255 dehydrogenase,AAF00955.1_mcyI_MicrocystisaeruginosaPCC7806_microcystinLR,98.52,100,1014
FKFHLE_02260 methyltransferase,AAF00954.1_mcyJ_MicrocystisaeruginosaPCC7806_microcystinLR,99.4,89.53,936
FKFHLE_02330 ATP-dependent Clp endopeptidase proteolytic subunit ClpP,ctg83_20_lanthipeptide_21_0,75.8,88.39,603
FKFHLE_02335 cysteine lyase,ctg36_7_NRPS-like_34_0,97.28,100,1215
FKFHLE_02340 helicase,ctg36_8_NRPS-like_34_0,97.7,100,4173
FKFHLE_02345 DUF29 domain-containing protein,ctg36_9_NRPS-like_34_0,97.86,99.36,471
FKFHLE_02900 hypothetical protein,ctg36_2_NRPS-like_34_0,79.14,70.04,267
FKFHLE_02905 hypothetical protein,ctg36_2_NRPS-like_34_0,87.38,94.2,345
FKFHLE_02940 Transposase-31 domain-containing protein,ctg36_1_NRPS-like_34_0,90.79,76.77,99
FKFHLE_03480 imidazole glycerol phosphate synthase subunit HisH,ctg13_7_Cyanobactin_64_0,97.97,100,639
FKFHLE_03485 ABC transporter ATP-binding protein,ctg13_8_Cyanobactin_64_0,97.61,100,753
FKFHLE_03490 branched-chain amino acid ABC transporter permease,ctg13_9_Cyanobactin_64_0,97.94,100,1116
FKFHLE_03495 DNA-binding response regulator,ctg13_10_Cyanobactin_64_0,97.72,100,657
FKFHLE_03500 protein tyrosine phosphatase,ctg13_11_Cyanobactin_64_0,98.65,100,519
FKFHLE_03505 hypothetical protein,ctg13_12_Cyanobactin_64_0,98.63,99.66,294
