Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01885|LE19-195	EIDGHK_10450	91.12	99.35	306
BHKFFO_04850|LE19-195	EIDGHK_03305	93.22	100.00	531
BHKFFO_08655|LE19-195	EIDGHK_14210	96.53	99.86	693
BHKFFO_08660|LE19-195	EIDGHK_14205	95.44	99.18	243
BHKFFO_08665|LE19-195	EIDGHK_14200	94.10	100.00	339
BHKFFO_08670|LE19-195	EIDGHK_14195	97.43	100.00	933
BHKFFO_08675|LE19-195	EIDGHK_14190	97.76	100.00	1431
BHKFFO_08680|LE19-195	EIDGHK_14185	97.41	100.04	2781
BHKFFO_08685|LE19-195	EIDGHK_14180	96.72	100.00	1800
BHKFFO_08690|LE19-195	EIDGHK_14175	98.32	100.00	537
BHKFFO_08700|LE19-195	EIDGHK_14170	97.06	100.00	783
BHKFFO_08710|LE19-195	EIDGHK_14165	97.54	100.00	2928
BHKFFO_08715|LE19-195	EIDGHK_14160	97.59	100.00	954
BHKFFO_13445|LE19-195	EIDGHK_11390	96.92	100.00	876
BHKFFO_13450|LE19-195	EIDGHK_11385	97.81	100.00	1872
BHKFFO_08705|LE19-195	Unmatched	0.0	0.0	0
