Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00390|LE19-12	JMPPHP_00940	96.71	100.00	243
GMBOIL_00455|LE19-12	JMPPHP_05575	99.03	100.12	822
GMBOIL_00500|LE19-12	JMPPHP_18185	97.60	100.00	1872
GMBOIL_05495|LE19-12	JMPPHP_17185	95.40	100.00	783
GMBOIL_05500|LE19-12	JMPPHP_17180	92.65	100.00	381
GMBOIL_06615|LE19-12	JMPPHP_05465	97.05	86.92	780
GMBOIL_06620|LE19-12	JMPPHP_05470	95.27	100.00	465
GMBOIL_10285|LE19-12	JMPPHP_00945	97.98	100.00	693
GMBOIL_11975|LE19-12	JMPPHP_10560	96.75	87.51	1089
GMBOIL_17910|LE19-12	JMPPHP_00925	96.86	100.00	1431
GMBOIL_17915|LE19-12	JMPPHP_00930	97.64	100.00	933
GMBOIL_17920|LE19-12	JMPPHP_00935	95.17	97.64	339
GMBOIL_18635|LE19-12	JMPPHP_19900	95.80	100.00	1215
GMBOIL_24545|LE19-12	JMPPHP_17190	97.39	100.00	537
GMBOIL_00460|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00470|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00485|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00490|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00505|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_11980|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_17905|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_24550|LE19-12	Unmatched	0.0	0.0	0
