Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA | LE19-12	FKFHLE_05210	97.58	100.00	990
allA | LE19-12	FKFHLE_19505	98.18	100.00	495
apcECpcD | LE19-12	FKFHLE_17970	98.75	100.00	879
argF | LE19-12	FKFHLE_16485	97.63	100.00	927
argG | LE19-12	FKFHLE_18865	97.51	100.00	1206
aroE | LE19-12	FKFHLE_00870	97.21	94.72	909
aroK | LE19-12	FKFHLE_06055	98.60	100.00	573
arsR | LE19-12	FKFHLE_05115	97.94	100.00	339
atp1 | LE19-12	FKFHLE_09390	98.35	100.00	423
atpB | LE19-12	FKFHLE_09395	98.93	100.00	750
atpE | LE19-12	FKFHLE_09400	99.59	100.00	246
atpF | LE19-12	FKFHLE_09410	97.97	100.00	543
atpG | LE19-12	FKFHLE_09425	97.47	100.00	948
atpH | LE19-12	FKFHLE_09415	98.18	100.00	549
bchL | LE19-12	FKFHLE_07010	97.36	100.00	870
bioB | LE19-12	FKFHLE_03575	97.35	100.00	1095
bioY | LE19-12	FKFHLE_03580	97.54	100.00	651
btpA | LE19-12	FKFHLE_12040	97.40	100.00	807
cbbL | LE19-12	FKFHLE_18275	98.23	100.00	1416
cbiT | LE19-12	FKFHLE_01495	97.97	100.00	591
ccb1 | LE19-12	FKFHLE_04055	98.07	100.00	519
ccmK1~~~ccmK | LE19-12	FKFHLE_18295	98.54	100.00	342
ccmL | LE19-12	FKFHLE_18290	98.71	99.68	312
ccsB | LE19-12	FKFHLE_09590	97.57	100.00	987
cdsA | LE19-12	FKFHLE_01490	98.03	100.00	912
citT | LE19-12	FKFHLE_04135	95.58	100.12	837
clpX | LE19-12	FKFHLE_19425	98.05	100.00	1335
coaD | LE19-12	FKFHLE_16435	95.36	100.00	474
cobC | LE19-12	FKFHLE_21380	97.68	100.00	1338
cobD | LE19-12	FKFHLE_19450	97.04	97.13	1080
cobQ | LE19-12	FKFHLE_17060	97.61	99.19	1476
cpcB | LE19-12	FKFHLE_17960	97.88	100.00	519
cpcT1 | LE19-12	FKFHLE_05265	97.09	100.00	585
cpsB | LE19-12	FKFHLE_06570	97.33	100.00	450
crcB | LE19-12	FKFHLE_03165	95.13	100.00	390
csdA | LE19-12	FKFHLE_02335	96.87	100.00	1215
ctaA | LE19-12	FKFHLE_18445	96.96	100.00	921
cyoC | LE19-12	FKFHLE_18430	96.57	98.04	357
cysQ | LE19-12	FKFHLE_03635	98.86	100.00	876
dacB | LE19-12	FKFHLE_10990	95.06	100.23	888
ddl | LE19-12	FKFHLE_17985	98.96	100.00	1059
dndE | LE19-12	FKFHLE_04345	98.25	100.00	399
dusA | LE19-12	FKFHLE_10225	98.07	92.94	1062
elsH | LE19-12	FKFHLE_12335	96.68	100.00	783
eno | LE19-12	FKFHLE_16835	96.46	100.00	1299
fabB | LE19-12	FKFHLE_18205	97.51	98.68	1140
fabH | LE19-12	FKFHLE_20635	96.61	100.00	1002
fabZ | LE19-12	FKFHLE_14595	97.08	100.00	480
fkpA | LE19-12	FKFHLE_16590	98.07	100.00	519
fmt | LE19-12	FKFHLE_21275	96.02	100.10	978
folB | LE19-12	FKFHLE_07680	94.40	100.00	357
frr | LE19-12	FKFHLE_13330	96.17	100.00	549
galM | LE19-12	FKFHLE_01175	95.30	100.00	873
gcvT | LE19-12	FKFHLE_14805	97.74	100.00	1107
gdhA | LE19-12	FKFHLE_05740	97.15	100.00	1296
gloA | LE19-12	FKFHLE_05975	97.25	100.00	363
gloB | LE19-12	FKFHLE_13010	97.32	99.85	672
glpG | LE19-12	FKFHLE_07665	97.41	95.07	609
gph | LE19-12	FKFHLE_10555	98.13	100.00	696
group_10147 | LE19-12	FKFHLE_15575	95.73	100.00	468
group_10188 | LE19-12	FKFHLE_17760	95.78	100.00	663
group_1022 | LE19-12	FKFHLE_09265	98.53	100.00	204
group_10347 | LE19-12	FKFHLE_07685	94.51	100.00	474
group_11121 | LE19-12	FKFHLE_06435	95.78	100.00	876
group_11199 | LE19-12	FKFHLE_11655	97.75	99.81	534
group_11382 | LE19-12	FKFHLE_19155	95.19	100.00	810
group_11505 | LE19-12	FKFHLE_18270	99.25	100.00	399
group_11521 | LE19-12	FKFHLE_01470	98.41	100.00	378
group_11598 | LE19-12	FKFHLE_21375	96.72	100.00	1068
group_11742 | LE19-12	FKFHLE_04720	96.51	100.00	315
group_11811 | LE19-12	FKFHLE_05615	98.35	100.00	243
group_12240 | LE19-12	FKFHLE_05970	99.59	100.00	729
group_12267 | LE19-12	FKFHLE_01425	97.04	100.09	1149
group_12312 | LE19-12	FKFHLE_18300	99.04	100.00	312
group_12349 | LE19-12	FKFHLE_16840	96.85	100.00	762
group_12628 | LE19-12	FKFHLE_14120	95.66	100.00	1014
group_12701 | LE19-12	FKFHLE_07065	98.05	100.00	717
group_12863 | LE19-12	FKFHLE_01680	97.45	100.00	510
group_12983 | LE19-12	FKFHLE_17595	98.40	100.00	438
group_13070 | LE19-12	FKFHLE_07120	97.61	100.00	1128
group_13097 | LE19-12	FKFHLE_06805	97.01	100.00	702
group_13285 | LE19-12	FKFHLE_18690	100.00	100.00	216
group_13377 | LE19-12	FKFHLE_14955	96.85	100.00	951
group_13525 | LE19-12	FKFHLE_07455	99.62	100.00	264
group_13569 | LE19-12	FKFHLE_10810	97.92	100.00	192
group_13775 | LE19-12	FKFHLE_14910	99.33	100.00	297
group_14045 | LE19-12	FKFHLE_17965	95.91	100.00	489
group_14055 | LE19-12	FKFHLE_18005	96.83	100.00	567
group_14222 | LE19-12	FKFHLE_10685	97.78	100.00	180
group_14232 | LE19-12	FKFHLE_02365	96.08	99.18	849
group_14353 | LE19-12	FKFHLE_07880	97.81	99.74	780
group_14367 | LE19-12	FKFHLE_02375	96.52	100.00	747
group_144 | LE19-12	FKFHLE_09310	95.65	100.00	552
group_14549 | LE19-12	FKFHLE_01930	98.72	100.00	390
group_1470 | LE19-12	FKFHLE_14925	95.11	100.00	777
group_1807 | LE19-12	FKFHLE_02800	97.66	100.00	384
group_2266 | LE19-12	FKFHLE_03550	98.08	100.00	261
group_2356 | LE19-12	FKFHLE_01660	98.62	100.00	507
group_238 | LE19-12	FKFHLE_06605	97.97	100.00	246
group_2929 | LE19-12	FKFHLE_16430	97.54	100.00	285
group_2999 | LE19-12	FKFHLE_13125	97.15	100.00	597
group_3246 | LE19-12	FKFHLE_03450	97.67	100.00	729
group_3346 | LE19-12	FKFHLE_17895	99.44	100.00	177
group_3365 | LE19-12	FKFHLE_17505	98.74	100.00	318
group_3427 | LE19-12	FKFHLE_19775	95.44	100.00	504
group_3473 | LE19-12	FKFHLE_18280	96.68	100.00	663
group_3484 | LE19-12	FKFHLE_18320	96.90	100.00	387
group_3491 | LE19-12	FKFHLE_05585	94.17	100.29	342
group_3584 | LE19-12	FKFHLE_00375	95.69	100.00	882
group_3763 | LE19-12	FKFHLE_10995	98.13	100.00	267
group_4296 | LE19-12	FKFHLE_05590	97.71	100.00	567
group_4420 | LE19-12	FKFHLE_10560	97.75	100.00	621
group_4466 | LE19-12	FKFHLE_10825	94.77	100.00	363
group_4495 | LE19-12	FKFHLE_01370	98.06	100.00	567
group_4511 | LE19-12	FKFHLE_13340	96.56	100.00	582
group_4551 | LE19-12	FKFHLE_09255	98.59	100.00	498
group_4581 | LE19-12	FKFHLE_09270	98.92	100.00	465
group_4582 | LE19-12	FKFHLE_09260	97.87	100.00	516
group_4589 | LE19-12	FKFHLE_19180	95.53	100.00	246
group_466 | LE19-12	FKFHLE_21280	95.80	100.00	381
group_4735 | LE19-12	FKFHLE_03495	97.56	100.00	657
group_4736 | LE19-12	FKFHLE_03505	98.98	100.00	294
group_4765 | LE19-12	FKFHLE_02490	93.26	100.00	267
group_4814 | LE19-12	FKFHLE_00370	99.00	100.00	201
group_4816 | LE19-12	FKFHLE_09910	94.51	100.00	237
group_4862 | LE19-12	FKFHLE_11640	97.38	100.00	420
group_5007 | LE19-12	FKFHLE_16400	94.37	100.00	2328
group_5015 | LE19-12	FKFHLE_08385	95.58	100.00	906
group_5117 | LE19-12	FKFHLE_21150	96.38	100.00	774
group_5175 | LE19-12	FKFHLE_16130	98.41	100.00	441
group_5209 | LE19-12	FKFHLE_10180	95.96	100.00	396
group_5221 | LE19-12	FKFHLE_09605	98.30	99.72	354
group_5445 | LE19-12	FKFHLE_13740	94.03	100.00	318
group_5596 | LE19-12	FKFHLE_05980	97.28	100.00	957
group_5613 | LE19-12	FKFHLE_15560	97.37	99.35	306
group_5620 | LE19-12	FKFHLE_17890	97.45	100.00	1059
group_5658 | LE19-12	FKFHLE_17175	95.96	100.00	396
group_5694 | LE19-12	FKFHLE_19780	96.41	100.00	891
group_573 | LE19-12	FKFHLE_15450	96.17	100.00	1176
group_5805 | LE19-12	FKFHLE_14075	98.10	99.37	318
group_5824 | LE19-12	FKFHLE_14720	97.55	100.00	1182
group_5945 | LE19-12	FKFHLE_07090	97.85	100.00	789
group_6075 | LE19-12	FKFHLE_14790	95.90	100.00	390
group_6100 | LE19-12	FKFHLE_05600	97.67	100.00	387
group_6103 | LE19-12	FKFHLE_10790	97.88	100.00	945
group_6135 | LE19-12	FKFHLE_00020	95.37	100.00	1338
group_6227 | LE19-12	FKFHLE_11685	97.83	100.00	369
group_6247 | LE19-12	FKFHLE_09035	97.35	100.00	1020
group_6268 | LE19-12	FKFHLE_20685	96.59	100.00	381
group_6351 | LE19-12	FKFHLE_02000	97.33	100.00	1425
group_6551 | LE19-12	FKFHLE_11995	96.66	100.06	1644
group_6567 | LE19-12	FKFHLE_00915	97.75	100.00	267
group_6580 | LE19-12	FKFHLE_04540	92.93	100.00	297
group_6594 | LE19-12	FKFHLE_17885	98.80	100.00	582
group_6613 | LE19-12	FKFHLE_06430	97.60	93.22	1209
