Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_10050|LE19-84	EIBFDN_00110	97.01	100.00	1236
FMDALA_10055|LE19-84	EIBFDN_00105	98.69	99.91	1149
FMDALA_10060|LE19-84	EIBFDN_00080	98.29	100.00	936
FMDALA_10065|LE19-84	EIBFDN_00075	97.44	100.00	1014
FMDALA_10070|LE19-84	EIBFDN_00070	96.54	100.00	1761
FMDALA_10075|LE19-84	EIBFDN_00065	96.56	100.00	7896
FMDALA_10080|LE19-84	EIBFDN_00060	97.62	100.00	756
FMDALA_10085|LE19-84	EIBFDN_00055	97.05	100.00	10464
FMDALA_10090|LE19-84	EIBFDN_00050	96.51	100.08	11721
FMDALA_10100|LE19-84	EIBFDN_00040	96.83	99.94	6378
FMDALA_10105|LE19-84	EIBFDN_00035	94.94	99.92	3876
FMDALA_10110|LE19-84	EIBFDN_00030	97.08	100.00	2052
FMDALA_10115|LE19-84	EIBFDN_00025	91.08	93.44	564
FMDALA_10120|LE19-84	EIBFDN_00020	96.99	100.00	1527
FMDALA_10125|LE19-84	EIBFDN_00015	98.14	100.00	1824
FMDALA_10095|LE19-84	Unmatched	0.0	0.0	0
FMDALA_11045|LE19-84	Unmatched	0.0	0.0	0
