Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_04240|LE19-12	IOJBKL_01700	96.35	100.00	192
GMBOIL_04260|LE19-12	IOJBKL_01700	95.22	100.14	711
GMBOIL_04560|LE19-12	IOJBKL_01680	98.90	100.00	273
GMBOIL_08380|LE19-12	IOJBKL_01705	98.56	100.00	348
GMBOIL_08385|LE19-12	IOJBKL_01710	97.48	100.00	993
GMBOIL_08390|LE19-12	IOJBKL_01715	98.37	100.00	246
GMBOIL_08395|LE19-12	IOJBKL_01720	98.52	100.00	135
GMBOIL_08400|LE19-12	IOJBKL_01725	98.33	100.00	120
GMBOIL_12050|LE19-12	IOJBKL_08490	98.67	100.00	300
GMBOIL_13745|LE19-12	IOJBKL_19815	98.43	100.00	318
GMBOIL_13750|LE19-12	IOJBKL_19810	97.96	98.60	1641
GMBOIL_13755|LE19-12	IOJBKL_08485	97.18	100.00	354
GMBOIL_20865|LE19-12	IOJBKL_08495	97.19	100.00	1209
GMBOIL_20870|LE19-12	IOJBKL_08500	96.17	100.00	783
GMBOIL_20875|LE19-12	IOJBKL_08505	96.24	100.00	1116
GMBOIL_20880|LE19-12	IOJBKL_08510	97.55	100.00	531
GMBOIL_21465|LE19-12	IOJBKL_01665	82.95	82.69	624
GMBOIL_04235|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04245|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04250|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04255|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04575|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_07370|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_07375|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21625|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21630|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21635|LE19-12	Unmatched	0.0	0.0	0
