Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_22485|LE19-84	ALDGEK_20185	96.98	100.0	795
LE17-10A	FMDALA_22490|LE19-84	ALDGEK_20190	96.29	99.89	918
LE17-10A	FMDALA_22495|LE19-84	ALDGEK_19805	96.98	100.1	1026
LE17-10A	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_22470|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_22480|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22485|LE19-84	EIDGHK_13685	97.86	100.0	795
LE17-20C	FMDALA_22490|LE19-84	EIDGHK_13680	97.05	99.78	918
LE17-20C	FMDALA_22495|LE19-84	EIDGHK_13675	96.39	100.0	1026
LE17-20C	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22470|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_22480|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_22455|LE19-84	HENFNN_18710	94.42	83.12	237
LE18-22	FMDALA_22465|LE19-84	HENFNN_14875	91.57	82.59	201
LE18-22	FMDALA_22470|LE19-84	HENFNN_23860	95.28	82.2	309
LE18-22	FMDALA_22480|LE19-84	HENFNN_23850	97.68	100.0	1251
LE18-22	FMDALA_22485|LE19-84	HENFNN_05905	97.74	100.0	795
LE18-22	FMDALA_22490|LE19-84	HENFNN_05910	97.38	99.78	918
LE18-22	FMDALA_22495|LE19-84	HENFNN_05915	97.27	100.0	1026
LE18-22	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_22460|LE19-84	PGKGJD_20370	78.16	94.71	435
LE19-10	FMDALA_22470|LE19-84	PGKGJD_15270	93.38	97.73	309
LE19-10	FMDALA_22480|LE19-84	PGKGJD_15260	96.72	100.0	1251
LE19-10	FMDALA_22485|LE19-84	PGKGJD_07305	97.36	100.0	795
LE19-10	FMDALA_22490|LE19-84	PGKGJD_24115	96.62	99.78	918
LE19-10	FMDALA_22495|LE19-84	PGKGJD_24120	96.88	100.0	1026
LE19-10	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22485|LE19-84	OCDKLD_02735	96.48	100.0	795
LE19-114	FMDALA_22490|LE19-84	OCDKLD_02740	96.51	99.89	918
LE19-114	FMDALA_22495|LE19-84	OCDKLD_02635	96.79	100.1	1026
LE19-114	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22470|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_22480|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22485|LE19-84	GMBOIL_05405	97.86	100.0	795
LE19-12	FMDALA_22490|LE19-84	GMBOIL_05400	95.96	99.78	918
LE19-12	FMDALA_22495|LE19-84	GMBOIL_13470	96.11	100.1	1026
LE19-12	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22470|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22475|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_22480|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_22485|LE19-84	FLBHPM_08530	96.71	99.37	795
LE19-131	FMDALA_22490|LE19-84	FLBHPM_08535	95.75	99.89	918
LE19-131	FMDALA_22495|LE19-84	FLBHPM_03115	97.86	100.0	1026
LE19-131	FMDALA_22455|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_22460|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_22465|LE19-84	Unmatched	0.0	0.0	0
