Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00145|LE19-12	IOJBKL_20855	96.37	100.00	2313
GMBOIL_00770|LE19-12	IOJBKL_09075	95.52	100.45	222
GMBOIL_02515|LE19-12	IOJBKL_02260	96.11	100.00	1029
GMBOIL_02520|LE19-12	IOJBKL_02255	96.58	100.00	351
GMBOIL_02525|LE19-12	IOJBKL_02250	96.88	100.00	417
GMBOIL_02530|LE19-12	IOJBKL_15055	96.77	100.00	867
GMBOIL_02535|LE19-12	IOJBKL_15060	96.63	100.00	297
GMBOIL_02540|LE19-12	IOJBKL_15065	96.58	100.00	1434
GMBOIL_02545|LE19-12	IOJBKL_15070	95.62	100.00	1005
GMBOIL_02550|LE19-12	IOJBKL_15075	96.60	100.00	1530
GMBOIL_02555|LE19-12	IOJBKL_15080	97.39	100.00	1188
GMBOIL_15280|LE19-12	IOJBKL_02265	95.76	100.34	894
GMBOIL_15285|LE19-12	IOJBKL_02270	96.91	100.00	2718
GMBOIL_15290|LE19-12	IOJBKL_02275	98.34	100.00	1443
GMBOIL_15295|LE19-12	IOJBKL_02280	97.10	100.00	930
GMBOIL_15300|LE19-12	IOJBKL_02285	98.48	99.55	663
GMBOIL_15305|LE19-12	IOJBKL_02290	97.87	100.00	3795
GMBOIL_15310|LE19-12	IOJBKL_02295	97.67	100.00	5445
GMBOIL_15315|LE19-12	IOJBKL_02300	97.70	100.00	3963
GMBOIL_15320|LE19-12	IOJBKL_02305	97.50	100.00	1320
GMBOIL_15340|LE19-12	IOJBKL_02315	97.28	70.51	1302
GMBOIL_20245|LE19-12	IOJBKL_09120	96.85	99.22	384
GMBOIL_20610|LE19-12	IOJBKL_09115	96.40	101.15	522
GMBOIL_20620|LE19-12	IOJBKL_09100	95.53	101.16	1548
GMBOIL_20625|LE19-12	IOJBKL_09095	97.91	100.00	813
GMBOIL_20635|LE19-12	IOJBKL_09085	97.19	100.00	783
GMBOIL_21500|LE19-12	IOJBKL_09110	84.43	74.39	285
GMBOIL_11735|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_15325|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_15330|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_15335|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_15345|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_15350|LE19-12	Unmatched	0.0	0.0	0
