Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16885|LE19-12	OCDKLD_14475	93.63	100.28	3180
LE19-114	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-12	GMBOIL_16325|LE19-12	GMBOIL_16325	100.0	100.0	1203
LE19-12	GMBOIL_16330|LE19-12	GMBOIL_16330	100.0	100.0	3441
LE19-12	GMBOIL_16335|LE19-12	GMBOIL_16335	100.0	100.0	1035
LE19-12	GMBOIL_16880|LE19-12	GMBOIL_16880	100.0	100.0	3546
LE19-12	GMBOIL_16885|LE19-12	GMBOIL_16885	100.0	100.0	3180
LE19-13	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_16885|LE19-12	FLBHPM_04250	94.49	100.38	3180
LE19-131	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-196	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-196	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-196	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-196	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-196	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-197	GMBOIL_16325|LE19-12	KBOODB_01350	100.0	100.0	1203
LE19-197	GMBOIL_16330|LE19-12	KBOODB_01345	100.0	100.0	3441
LE19-197	GMBOIL_16335|LE19-12	KBOODB_01340	100.0	100.0	1035
LE19-197	GMBOIL_16880|LE19-12	KBOODB_20015	100.0	100.0	3546
LE19-197	GMBOIL_16885|LE19-12	KBOODB_20010	100.0	100.0	3180
LE19-251	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-251	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-251	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-251	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-251	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-281	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-281	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-281	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-281	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-281	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-338	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-338	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-338	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-338	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-338	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-388	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-388	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-388	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-388	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-388	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-4	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-4	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-4	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-4	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-4	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-41	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-41	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-41	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-41	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-41	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-55	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-55	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
LE19-55	GMBOIL_16335|LE19-12	Unmatched	0.0	0.0	0
LE19-55	GMBOIL_16880|LE19-12	Unmatched	0.0	0.0	0
LE19-55	GMBOIL_16885|LE19-12	Unmatched	0.0	0.0	0
LE19-59	GMBOIL_16325|LE19-12	Unmatched	0.0	0.0	0
LE19-59	GMBOIL_16330|LE19-12	Unmatched	0.0	0.0	0
