Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_14595|LE19-195	JAMHJB_08995	97.23	99.31	291
BHKFFO_14600|LE19-195	JAMHJB_09000	96.90	100.00	420
BHKFFO_14605|LE19-195	JAMHJB_09005	95.64	100.00	849
BHKFFO_14610|LE19-195	JAMHJB_09010	97.01	100.00	468
BHKFFO_14615|LE19-195	JAMHJB_09015	98.87	100.00	798
BHKFFO_14620|LE19-195	JAMHJB_09020	98.81	100.00	756
BHKFFO_14625|LE19-195	JAMHJB_09025	98.36	99.74	1956
BHKFFO_14635|LE19-195	JAMHJB_05720	96.98	99.90	996
BHKFFO_14640|LE19-195	JAMHJB_05715	96.91	100.00	906
BHKFFO_14645|LE19-195	JAMHJB_05710	98.97	100.00	291
BHKFFO_14655|LE19-195	JAMHJB_05700	95.31	100.00	213
BHKFFO_14630|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
