Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_03675|LE19-84	ALDGEK_07850	96.18	100.0	786
LE17-10A	FMDALA_03680|LE19-84	ALDGEK_03215	95.03	100.04	2637
LE17-10A	FMDALA_03685|LE19-84	ALDGEK_03210	95.6	99.84	615
LE17-10A	FMDALA_03690|LE19-84	ALDGEK_09600	96.63	99.91	1098
LE17-10A	FMDALA_03695|LE19-84	ALDGEK_09595	97.84	100.0	1389
LE17-10A	FMDALA_03700|LE19-84	ALDGEK_09590	99.15	100.0	234
LE17-10A	FMDALA_03705|LE19-84	ALDGEK_09585	97.3	100.0	630
LE17-10A	FMDALA_03710|LE19-84	ALDGEK_09580	97.44	100.0	702
LE17-10A	FMDALA_03715|LE19-84	ALDGEK_09575	93.37	97.08	171
LE17-10A	FMDALA_03720|LE19-84	ALDGEK_09570	94.51	100.26	1944
LE17-10A	FMDALA_03725|LE19-84	ALDGEK_09565	96.55	99.51	408
LE17-10A	FMDALA_03730|LE19-84	ALDGEK_09560	95.26	100.4	252
LE17-10A	FMDALA_03735|LE19-84	ALDGEK_09555	97.5	100.0	759
LE17-10A	FMDALA_03740|LE19-84	ALDGEK_09550	97.46	100.0	393
LE17-10A	FMDALA_10760|LE19-84	ALDGEK_07845	95.69	100.0	1044
LE17-10A	FMDALA_10810|LE19-84	ALDGEK_07835	95.36	100.0	453
LE17-10A	FMDALA_03670|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10755|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10765|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10770|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10775|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10780|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10785|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10790|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10795|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10800|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10805|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_03675|LE19-84	EIDGHK_02680	96.56	100.0	786
LE17-20C	FMDALA_03680|LE19-84	EIDGHK_02675	96.09	100.0	2637
LE17-20C	FMDALA_03685|LE19-84	EIDGHK_02670	95.52	98.05	615
LE17-20C	FMDALA_03690|LE19-84	EIDGHK_16245	95.98	99.73	1098
LE17-20C	FMDALA_03695|LE19-84	EIDGHK_16250	96.4	100.0	1389
LE17-20C	FMDALA_03700|LE19-84	EIDGHK_01855	97.01	100.0	234
LE17-20C	FMDALA_03705|LE19-84	EIDGHK_01850	97.14	100.0	630
LE17-20C	FMDALA_03710|LE19-84	EIDGHK_01840	97.01	100.0	702
LE17-20C	FMDALA_03715|LE19-84	EIDGHK_12870	92.4	100.0	171
LE17-20C	FMDALA_03720|LE19-84	EIDGHK_19215	94.46	100.26	1944
LE17-20C	FMDALA_03725|LE19-84	EIDGHK_19220	95.32	99.51	408
LE17-20C	FMDALA_03730|LE19-84	EIDGHK_19225	96.03	100.0	252
LE17-20C	FMDALA_03735|LE19-84	EIDGHK_19230	97.63	100.0	759
LE17-20C	FMDALA_03740|LE19-84	EIDGHK_19235	95.43	100.25	393
LE17-20C	FMDALA_10810|LE19-84	EIDGHK_02685	95.14	100.0	453
LE17-20C	FMDALA_03670|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10755|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10760|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10765|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10770|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10775|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10780|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10785|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10790|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10795|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10800|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_10805|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_03670|LE19-84	HENFNN_02110	96.15	99.37	4287
LE18-22	FMDALA_03675|LE19-84	HENFNN_02105	96.95	100.0	786
LE18-22	FMDALA_03680|LE19-84	HENFNN_02100	97.65	100.0	2637
LE18-22	FMDALA_03685|LE19-84	HENFNN_02095	95.85	98.05	615
LE18-22	FMDALA_03690|LE19-84	HENFNN_08305	95.44	99.91	1098
LE18-22	FMDALA_03695|LE19-84	HENFNN_08300	96.11	100.0	1389
LE18-22	FMDALA_03700|LE19-84	HENFNN_08295	97.01	100.0	234
