Query_gene_name	Query_gene_annotation	Reference_Name_lauren	Reference_Name_antiSMASH	Not_in_Lauren	Not_in_antiSMASH	Both_match	Main_Product	Biosynthetic_Class	Organism	Gene	New_BGC_name	gene_type	pos_in_bgc	core_genes	genes_in_bgc
BHKFFO_00230	hypothetical protein	ctg30_10_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_10	Novel-T3PKS-Microcystis aeruginosa WLECC	other	10	1	18
BHKFFO_00235	WD40 repeat domain-containing protein	ctg30_11_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_11	Novel-T3PKS-Microcystis aeruginosa WLECC	other	11	1	18
BHKFFO_00240	ribonuclease III	ctg30_12_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_12	Novel-T3PKS-Microcystis aeruginosa WLECC	other	12	1	18
BHKFFO_00265	alpha/beta hydrolase	ctg30_13_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_13	Novel-T3PKS-Microcystis aeruginosa WLECC	additional	13	1	18
BHKFFO_00270	histidine kinase	ctg30_14_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_14	Novel-T3PKS-Microcystis aeruginosa WLECC	transport	14	1	18
BHKFFO_00275	DUF1957 domain-containing protein	ctg30_15_Novel-T3PKS_28_0	NA	FALSE	TRUE	FALSE	Novel-T3PKS	Polyketide	Microcystis aeruginosa WLECC	ctg30_15	Novel-T3PKS-Microcystis aeruginosa WLECC	other	15	1	18
BHKFFO_00335	2TM domain-containing protein	ctg71_11_T1PKS_51_0	NA	FALSE	TRUE	FALSE	T1PKS	Polyketide	Microcystis aeruginosa WLECC	ctg71_11	T1PKS-Microcystis aeruginosa WLECC	other	11	1	11
BHKFFO_00340	thylakoid-associated protein	ctg71_10_T1PKS_51_0	NA	FALSE	TRUE	FALSE	T1PKS	Polyketide	Microcystis aeruginosa WLECC	ctg71_10	T1PKS-Microcystis aeruginosa WLECC	other	10	1	11
BHKFFO_00345	alanine dehydrogenase	ctg71_9_T1PKS_51_0	NA	FALSE	TRUE	FALSE	T1PKS	Polyketide	Microcystis aeruginosa WLECC	ctg71_9	T1PKS-Microcystis aeruginosa WLECC	other	9	1	11
BHKFFO_01010	5S ribosomal RNA	ctg44_1_1-heptadecene_20_0	NA	FALSE	TRUE	FALSE	1-heptadecene	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg44_1	1-heptadecene-Microcystis aeruginosa WLECC	other	1	1	18
