Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA | LE19-12	EIDGHK_05420	99.19	100.00	990
allA | LE19-12	EIDGHK_04560	99.19	100.00	495
apcECpcD | LE19-12	EIDGHK_10520	98.63	100.00	879
argF | LE19-12	EIDGHK_00045	98.49	100.00	927
argG | LE19-12	EIDGHK_06365	97.68	100.00	1206
aroE | LE19-12	EIDGHK_03740	96.92	100.00	909
aroK | LE19-12	EIDGHK_15585	98.25	100.00	573
arsR | LE19-12	EIDGHK_02465	94.40	100.00	339
atpB | LE19-12	EIDGHK_20215	98.67	100.00	750
atpE | LE19-12	EIDGHK_20220	99.59	100.00	246
atpF | LE19-12	EIDGHK_20230	99.82	100.00	543
atpG | LE19-12	EIDGHK_16515	97.57	100.00	948
atpH | LE19-12	EIDGHK_20235	98.36	100.00	549
bchL | LE19-12	EIDGHK_00965	98.39	99.89	870
bioB | LE19-12	EIDGHK_11340	97.72	100.00	1095
bioY | LE19-12	EIDGHK_11345	97.08	100.00	651
btpA | LE19-12	EIDGHK_07645	97.27	100.00	807
cbbL | LE19-12	EIDGHK_05550	99.01	100.00	1416
cbiT | LE19-12	EIDGHK_21830	96.95	100.00	591
ccb1 | LE19-12	EIDGHK_19020	98.07	100.00	519
ccmK1~~~ccmK | LE19-12	EIDGHK_05530	97.08	100.00	342
ccmL | LE19-12	EIDGHK_05535	97.75	99.68	312
ccsB | LE19-12	EIDGHK_06470	97.06	100.00	987
cdsA | LE19-12	EIDGHK_21835	96.82	100.00	912
citT | LE19-12	EIDGHK_14180	94.87	100.12	837
clpX | LE19-12	EIDGHK_08600	98.73	100.00	1335
coaD | LE19-12	EIDGHK_18930	96.41	100.00	474
cobC | LE19-12	EIDGHK_06225	97.98	100.00	1338
cobD | LE19-12	EIDGHK_04600	97.73	97.69	1080
cobQ | LE19-12	EIDGHK_19965	97.49	100.00	1476
cpcB | LE19-12	EIDGHK_10505	98.07	100.00	519
cpcT1 | LE19-12	EIDGHK_15365	97.44	100.00	585
cpsB | LE19-12	EIDGHK_12070	98.44	100.00	450
crcB | LE19-12	EIDGHK_03590	95.90	100.00	390
csdA | LE19-12	EIDGHK_08190	96.46	100.00	1215
ctaA | LE19-12	EIDGHK_04795	97.02	98.48	921
cyoC | LE19-12	EIDGHK_04810	97.43	98.04	357
cysQ | LE19-12	EIDGHK_11390	96.80	100.00	876
dacB | LE19-12	EIDGHK_18045	99.44	99.89	888
ddl | LE19-12	EIDGHK_10540	97.14	99.15	1059
dndE | LE19-12	EIDGHK_07120	97.99	100.00	399
dusA | LE19-12	EIDGHK_05845	97.39	93.79	1062
elsH | LE19-12	EIDGHK_11580	95.91	100.00	783
eno | LE19-12	EIDGHK_12525	97.46	100.00	1299
fabB | LE19-12	EIDGHK_14460	96.29	96.93	1140
fabH | LE19-12	EIDGHK_11670	96.71	100.00	1002
fabZ | LE19-12	EIDGHK_21695	98.54	100.00	480
fkpA | LE19-12	EIDGHK_20360	98.07	100.00	519
fmt | LE19-12	EIDGHK_05880	96.73	100.00	978
folB | LE19-12	EIDGHK_00370	96.92	100.00	357
frr | LE19-12	EIDGHK_20090	95.99	100.00	549
galM | LE19-12	EIDGHK_19660	96.79	100.00	873
gcvT | LE19-12	EIDGHK_13565	97.29	100.00	1107
gdhA | LE19-12	EIDGHK_09390	96.78	98.30	1296
gloA | LE19-12	EIDGHK_01645	96.97	100.00	363
gloB | LE19-12	EIDGHK_00630	97.17	99.85	672
glpG | LE19-12	EIDGHK_00385	97.54	100.00	609
gph | LE19-12	EIDGHK_02080	98.71	100.00	696
group_10147 | LE19-12	EIDGHK_15190	93.42	100.64	468
group_10188 | LE19-12	EIDGHK_02040	97.89	100.00	663
group_1022 | LE19-12	EIDGHK_01305	97.55	100.00	204
group_10347 | LE19-12	EIDGHK_00360	94.51	100.00	474
group_11121 | LE19-12	EIDGHK_17765	89.26	99.89	876
group_11199 | LE19-12	EIDGHK_14730	97.57	100.00	534
group_11207 | LE19-12	EIDGHK_15740	98.39	100.00	435
group_11382 | LE19-12	EIDGHK_04445	96.05	100.00	810
group_11505 | LE19-12	EIDGHK_05555	99.00	100.00	399
group_11521 | LE19-12	EIDGHK_14100	99.74	100.00	378
group_11598 | LE19-12	EIDGHK_06220	97.29	100.28	1068
group_11742 | LE19-12	EIDGHK_16230	96.51	100.00	315
group_11811 | LE19-12	EIDGHK_08350	98.35	100.00	243
group_12240 | LE19-12	EIDGHK_01650	98.22	100.00	729
group_12267 | LE19-12	EIDGHK_07980	98.35	100.09	1149
group_12312 | LE19-12	EIDGHK_05525	99.04	100.00	312
group_12349 | LE19-12	EIDGHK_12530	94.88	100.00	762
group_12628 | LE19-12	EIDGHK_20270	96.25	100.00	1014
group_12701 | LE19-12	EIDGHK_08465	97.21	100.00	717
