Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA|LE19-114	IOJBKL_13155	97.07	100.00	990
allA|LE19-114	IOJBKL_12585	96.16	100.00	495
apcECpcD|LE19-114	IOJBKL_08965	98.18	100.00	879
argF|LE19-114	IOJBKL_10720	97.52	100.00	927
argG|LE19-114	IOJBKL_00735	97.18	100.00	1206
aroE|LE19-114	IOJBKL_13685	98.03	100.00	861
aroK|LE19-114	IOJBKL_02450	97.56	100.00	573
arsR|LE19-114	IOJBKL_02820	94.10	100.00	339
atp1|LE19-114	IOJBKL_00510	97.25	100.00	363
atpB|LE19-114	IOJBKL_00515	98.27	100.00	750
atpE|LE19-114	IOJBKL_00520	99.59	100.00	246
atpF|LE19-114	IOJBKL_00530	99.08	100.00	543
atpG|LE19-114	IOJBKL_00545	97.36	100.00	948
atpH|LE19-114	IOJBKL_00535	97.63	100.00	549
bchL|LE19-114	IOJBKL_08300	97.93	100.00	870
bioB|LE19-114	IOJBKL_04390	96.35	100.09	1095
bioY|LE19-114	IOJBKL_04385	97.39	100.00	651
btpA|LE19-114	IOJBKL_10285	97.32	100.00	894
cbbL|LE19-114	IOJBKL_01240	98.80	100.00	1416
cbiT|LE19-114	IOJBKL_12640	96.62	100.00	591
ccb1|LE19-114	IOJBKL_08340	98.07	100.00	519
ccmK1~~~ccmK|LE19-114	IOJBKL_01260	98.54	100.00	342
ccmL|LE19-114	IOJBKL_01255	97.76	100.00	312
ccsB|LE19-114	IOJBKL_00635	97.06	100.00	987
cdsA|LE19-114	IOJBKL_12645	97.37	99.35	918
citT|LE19-114	IOJBKL_02750	96.06	100.00	1800
clpX|LE19-114	IOJBKL_08840	98.43	100.00	1335
coaD|LE19-114	IOJBKL_06165	95.99	100.00	474
cobC|LE19-114	IOJBKL_14175	97.31	100.00	1338
cobD|LE19-114	IOJBKL_12635	97.35	97.69	1080
cobQ|LE19-114	IOJBKL_21910	96.31	99.19	1476
cofG|LE19-114	IOJBKL_04455	96.85	100.00	888
cpcB|LE19-114	IOJBKL_18990	97.69	100.00	519
cpcT1|LE19-114	IOJBKL_14750	97.61	100.00	585
cpsB|LE19-114	IOJBKL_04230	97.65	100.00	1062
crcB|LE19-114	IOJBKL_05900	98.95	97.95	390
csdA|LE19-114	IOJBKL_00835	95.88	100.00	1215
ctaA|LE19-114	IOJBKL_03415	96.14	99.45	912
cyoC|LE19-114	IOJBKL_03430	94.55	100.00	624
cysQ|LE19-114	IOJBKL_05825	96.58	100.00	876
dacB|LE19-114	IOJBKL_06355	96.84	99.89	888
ddl|LE19-114	IOJBKL_08980	97.73	100.00	1059
dndE|LE19-114	IOJBKL_01595	97.49	100.00	399
dusA|LE19-114	IOJBKL_18320	97.14	92.09	1062
elsH|LE19-114	IOJBKL_06050	96.30	100.00	783
eno|LE19-114	IOJBKL_12785	96.46	100.00	1299
fabB|LE19-114	IOJBKL_01860	97.01	97.19	1137
