Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA | LE19-12	ALDGEK_14985	97.68	100.00	990
allA | LE19-12	ALDGEK_01815	96.36	100.00	495
apcECpcD | LE19-12	ALDGEK_18495	98.52	100.00	879
argF | LE19-12	ALDGEK_07125	97.30	100.00	927
argG | LE19-12	ALDGEK_05665	97.68	100.00	1206
aroE | LE19-12	ALDGEK_11245	98.13	100.00	909
aroK | LE19-12	ALDGEK_01380	97.73	100.00	573
arsR | LE19-12	ALDGEK_15790	98.23	100.00	339
atp1 | LE19-12	ALDGEK_06610	98.58	100.00	423
atpB | LE19-12	ALDGEK_06605	99.07	100.00	750
atpE | LE19-12	ALDGEK_06600	99.59	100.00	246
atpF | LE19-12	ALDGEK_06590	99.08	100.00	543
atpG | LE19-12	ALDGEK_06575	97.78	100.00	948
atpH | LE19-12	ALDGEK_06585	98.18	100.00	549
bchL | LE19-12	ALDGEK_17560	98.05	100.00	870
bioB | LE19-12	ALDGEK_03330	98.36	100.00	1095
bioY | LE19-12	ALDGEK_03335	97.85	100.00	651
btpA | LE19-12	ALDGEK_02275	97.03	100.00	807
cbbL | LE19-12	ALDGEK_06900	98.66	100.00	1416
cbiT | LE19-12	ALDGEK_17620	98.48	100.00	591
ccb1 | LE19-12	ALDGEK_06185	97.69	100.00	519
ccmK1~~~ccmK | LE19-12	ALDGEK_06920	98.54	100.00	342
ccmL | LE19-12	ALDGEK_06915	98.72	100.00	312
ccsB | LE19-12	ALDGEK_13015	97.57	100.00	987
cdsA | LE19-12	ALDGEK_17615	97.15	100.00	912
citT | LE19-12	ALDGEK_06275	95.70	100.12	837
clpX | LE19-12	ALDGEK_18075	98.80	100.00	1335
coaD | LE19-12	ALDGEK_06665	95.78	100.00	474
cobC | LE19-12	ALDGEK_15675	97.53	100.00	1338
cobD | LE19-12	ALDGEK_22250	96.57	97.13	1080
cobQ | LE19-12	ALDGEK_09990	98.17	100.00	1476
cpcB | LE19-12	ALDGEK_18485	98.27	100.00	519
cpcT1 | LE19-12	ALDGEK_14935	97.61	100.00	585
cpsB | LE19-12	ALDGEK_10230	98.22	100.00	450
crcB | LE19-12	ALDGEK_04340	95.38	100.00	390
csdA | LE19-12	ALDGEK_19910	98.93	100.00	1215
ctaA | LE19-12	ALDGEK_02220	96.96	100.00	921
cyoC | LE19-12	ALDGEK_02205	98.04	100.00	357
cysQ | LE19-12	ALDGEK_03390	97.95	100.00	876
dacB | LE19-12	ALDGEK_13970	96.40	100.00	888
ddl | LE19-12	ALDGEK_18510	98.87	100.00	1059
dndE | LE19-12	ALDGEK_08605	98.50	100.00	399
dusA | LE19-12	ALDGEK_11110	97.77	92.94	1062
elsH | LE19-12	ALDGEK_21925	96.81	100.00	783
eno | LE19-12	ALDGEK_11795	97.23	100.00	1299
fabB | LE19-12	ALDGEK_06835	97.37	100.00	1140
fabH | LE19-12	ALDGEK_01170	97.60	100.00	1002
fabZ | LE19-12	ALDGEK_13440	97.71	100.00	480
fkpA | LE19-12	ALDGEK_07205	97.88	100.00	519
fmt | LE19-12	ALDGEK_14175	97.34	100.10	978
folB | LE19-12	ALDGEK_07730	97.20	100.00	357
frr | LE19-12	ALDGEK_02895	97.45	100.00	549
galM | LE19-12	ALDGEK_11615	98.28	100.00	873
gcvT | LE19-12	ALDGEK_12465	97.65	100.00	1107
gdhA | LE19-12	ALDGEK_10960	98.53	100.00	1296
gloA | LE19-12	ALDGEK_20410	97.80	100.00	363
gloB | LE19-12	ALDGEK_03965	97.17	100.00	672
glpG | LE19-12	ALDGEK_07745	97.37	100.00	609
gph | LE19-12	ALDGEK_08095	96.98	100.00	696
group_10147 | LE19-12	ALDGEK_12830	92.13	100.43	468
group_10188 | LE19-12	ALDGEK_18250	95.17	100.00	663
