Query_Name,Reference_Name,Identity_Score,Query_Coverage,Query_Length
EIDGHK_00025 HAD family phosphatase,ctg20_15_NRPS-T1PKS_26_0,98.09,99.46,738
EIDGHK_00605 pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,ctg2_26_samp_4305_693378_NRPS,74.57,95.75,1035
EIDGHK_01000 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,ctg20_16_samp_2073_1151163_NRPS,76.17,71.31,1077
EIDGHK_01020 EamA family transporter,ctg30_7_Novel-T3PKS_28_0,96.89,99.78,903
EIDGHK_01025 Uncharacterized protein sll0103,ctg30_6_Novel-T3PKS_28_0,96.4,100,1251
EIDGHK_01245 clan AA aspartic protease,ctg3_4_lanthipeptide_54_0,98.92,100,369
EIDGHK_01250 hypothetical protein,ctg3_5_lanthipeptide_54_0,100,100,276
EIDGHK_01255 hypothetical protein,ctg3_7_lanthipeptide_54_0,99.27,96.49,285
EIDGHK_01270 Tnp-DNA-bind domain-containing protein,ctg115_1_Cyanobactin_90_0,95.74,100.2,492
EIDGHK_01280 transglutaminase,ctg82_2_T3PKS-Merocyclophane_5_0,96.54,100,2313
EIDGHK_01350 DUF2288 domain-containing protein,ctg44_2_1-heptadecene_20_0,97.59,100,291
EIDGHK_01380 radical SAM protein,ctg44_8_1-heptadecene_20_0,96.03,100,807
EIDGHK_01385 penicillin-binding protein 2,ctg44_9_1-heptadecene_20_0,96.31,100,1899
EIDGHK_01395 S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,ctg44_17_1-heptadecene_20_0,97.84,100,1110
EIDGHK_02025 Phosphate-starvation-inducible E family,ctg105_2_Anabaenopeptin_16_0,97.21,100,501
EIDGHK_02125 hypothetical protein,ctg27_33_T1PKS-Terpene_11_0,92.69,100,465
EIDGHK_02130 ABC transporter permease,ctg27_32_T1PKS-Terpene_11_0,97.31,100,780
EIDGHK_03150 LprI domain-containing protein,ctg20_14_NRPS-T1PKS_26_0,96.02,76.76,426
EIDGHK_03155 oxidoreductase,ctg20_13_NRPS-T1PKS_26_0,95.22,100,2238
EIDGHK_03160 hypothetical protein,ctg20_12_NRPS-T1PKS_26_0,95.27,82.22,180
EIDGHK_03305 Transposase,ctg27_30_T1PKS-Terpene_11_0,93,100,1215
EIDGHK_03315 hypothetical protein,ctg27_30_T1PKS-Terpene_11_0,93.35,99.04,942
EIDGHK_03855 ATP-dependent Clp endopeptidase proteolytic subunit ClpP,ctg83_20_lanthipeptide_21_0,75.96,74.17,600
EIDGHK_04265 hypothetical protein,ctg34_2_Bartoloside-T1PKS_18_0,95.83,100,240
EIDGHK_04285 FAD-dependent oxidoreductase,AAF00964.1_uma1_MicrocystisaeruginosaPCC7806_microcystinLR,96.78,100,2052
EIDGHK_04290 Putative restriction endonuclease,AAF00965.1_uma2_MicrocystisaeruginosaPCC7806_microcystinLR,97.34,100,564
EIDGHK_04295 adenylyl-sulfate kinase,AAF00966.1_uma3_MicrocystisaeruginosaPCC7806_microcystinLR,96.34,100.07,1527
EIDGHK_04995 cysteine--tRNA ligase,ctg82_3_T3PKS-Merocyclophane_5_0,97.3,100,1443
EIDGHK_05000 glycine/betaine ABC transporter substrate-binding protein,ctg82_4_T3PKS-Merocyclophane_5_0,97.84,100,1530
EIDGHK_05005 metal-binding protein,ctg82_5_T3PKS-Merocyclophane_5_0,97.71,100,1005
EIDGHK_05010 bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase,ctg82_6_T3PKS-Merocyclophane_5_0,97.42,100,1434
EIDGHK_05015 DUF1816 domain-containing protein,ctg82_7_T3PKS-Merocyclophane_5_0,97.31,100,297
EIDGHK_05020 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,ctg82_8_T3PKS-Merocyclophane_5_0,97.81,100,867
EIDGHK_05025 Mini-ribonuclease 3,ctg82_9_T3PKS-Merocyclophane_5_0,96.16,100,417
EIDGHK_05030 anti-sigma F factor antagonist,ctg82_10_T3PKS-Merocyclophane_5_0,97.15,100,351
EIDGHK_05035 carbamoyl phosphate synthase small subunit,ctg82_11_T3PKS-Merocyclophane_5_0,97.48,100,1149
EIDGHK_05040 transposase,ctg82_12_T3PKS-Merocyclophane_5_0,96.97,100,891
EIDGHK_05045 receptor ligand binding region family protein,ctg82_13_T3PKS-Merocyclophane_5_0,98.45,99.45,2733
EIDGHK_05050 AAA-like domain-containing protein,ctg82_14_T3PKS-Merocyclophane_5_0,98.96,100,1443
EIDGHK_05055 bleomycin resistance protein,ctg82_15_T3PKS-Merocyclophane_5_0,98.92,100,930
EIDGHK_05060 nitroreductase family protein,ctg82_16_T3PKS-Merocyclophane_5_0,98.79,100,663
EIDGHK_05065 AMP-binding enzyme family protein,ctg82_17_T3PKS-Merocyclophane_5_0,98.58,100,3795
EIDGHK_05070 short chain dehydrogenase,ctg82_18_T3PKS-Merocyclophane_5_0,98.73,100,5442
EIDGHK_05075 type I polyketide synthase,ctg82_19_T3PKS-Merocyclophane_5_0,98.69,100,3963
EIDGHK_05080 flavin-binding monooxygenase-like family protein,ctg82_20_T3PKS-Merocyclophane_5_0,99.09,100,1320
EIDGHK_05085 3-oxoacyl-ACP synthase,ctg82_21_T3PKS-Merocyclophane_5_0,98.55,100,1176
EIDGHK_05090 isoprenylcysteine carboxyl methyltransferase,ctg82_22_T3PKS-Merocyclophane_5_0,99.67,100,606
EIDGHK_05095 FAD-linked oxidase,ctg82_23_T3PKS-Merocyclophane_5_0,98.22,100,1632
EIDGHK_05100 MFS transporter,ctg82_24_T3PKS-Merocyclophane_5_0,98.16,100,1302
EIDGHK_05105 efflux RND transporter periplasmic adaptor subunit,ctg82_25_T3PKS-Merocyclophane_5_0,98.6,100,1356
EIDGHK_05110 acriflavine resistance protein B,ctg82_26_T3PKS-Merocyclophane_5_0,98.55,100,3099
EIDGHK_05115 Secreted effector protein PipB2,ctg82_27_T3PKS-Merocyclophane_5_0,95.64,100,780
EIDGHK_05120 hypothetical protein,ctg82_28_T3PKS-Merocyclophane_5_0,93.75,100,528
EIDGHK_05385 rhodanese-related sulfurtransferase,ctg20_3_samp_2073_1151163_NRPS,97.05,100,339
EIDGHK_05980 NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit,ctg109_2_RiPP-like_80_0,100,100,2217
EIDGHK_05985 NHLP bacteriocin system secretion protein,ctg109_3_RiPP-like_80_0,100,100,1611
EIDGHK_05990 RiPP maturation radical SAM protein 1,ctg109_4_RiPP-like_80_0,100,100,1920
EIDGHK_06375 hypothetical protein,ctg34_24_Bartoloside-T1PKS_18_0,98.71,100,387
EIDGHK_06385 hypothetical protein,ctg34_23_Bartoloside-T1PKS_18_0,83.49,93.16,351
EIDGHK_06400 hypothetical protein,ctg34_23_Bartoloside-T1PKS_18_0,92.56,100,336
EIDGHK_06415 ATP-dependent sacrificial sulfur transferase LarE,ctg34_20_Bartoloside-T1PKS_18_0,97.04,100,810
EIDGHK_06555 DUF4351 domain-containing protein,ctg34_26_Bartoloside-T1PKS_18_0,91.1,77.64,246
EIDGHK_06560 hypothetical protein,ctg34_26_Bartoloside-T1PKS_18_0,95.31,91.42,303
EIDGHK_06570 hypothetical protein,ctg34_27_Bartoloside-T1PKS_18_0,98.14,88.85,906
EIDGHK_06575 Uma2 family endonuclease,"AFK79997.1_AFK79997.1_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4",94.78,99.83,576
EIDGHK_06580 hypothetical protein,"AFK79998.1_pirG_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4",85.47,93.22,369
EIDGHK_06585 Light-repressed protein A,ctg39_6_Cyanobactin_50_0,96.5,100,600
EIDGHK_06590 heat-shock protein,ctg39_7_Cyanobactin_50_0,96.59,100,411
EIDGHK_06595 L-threonylcarbamoyladenylate synthase,ctg39_8_Cyanobactin_50_0,97.2,100,642
EIDGHK_06600 nickel pincer cofactor biosynthesis protein LarC,ctg39_9_Cyanobactin_50_0,96.19,100,1182
EIDGHK_06605 DUF29 domain-containing protein,ctg39_10_Cyanobactin_50_0,95.81,100.22,453
EIDGHK_06740 Phosphomannomutase,ctg82_29_T3PKS-Merocyclophane_5_0,86.23,74.23,489
EIDGHK_06745 Phosphomannomutase,ctg82_29_T3PKS-Merocyclophane_5_0,98.58,100,423
EIDGHK_06750 serine/threonine protein kinase,ctg82_30_T3PKS-Merocyclophane_5_0,95.79,101.16,1548
EIDGHK_06755 rhodanese-related sulfurtransferase,ctg82_31_T3PKS-Merocyclophane_5_0,96.92,99.75,813
EIDGHK_06765 DNA repair protein RecO,ctg82_32_T3PKS-Merocyclophane_5_0,97.7,100.13,780
EIDGHK_06770 arabinose efflux permease,ctg82_33_T3PKS-Merocyclophane_5_0,97.79,100,1491
EIDGHK_06775 flagellar assembly protein H,ctg82_34_T3PKS-Merocyclophane_5_0,95.77,77.17,981
EIDGHK_06785 Uncharacterised protein family (UPF0175),ctg82_35_T3PKS-Merocyclophane_5_0,95.12,100,246
EIDGHK_06790 DUF3368 domain-containing protein,ctg82_36_T3PKS-Merocyclophane_5_0,95.78,100,498
EIDGHK_06885 peptidase S8,"AFK79998.1_pirG_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4",92.76,98.76,2097
EIDGHK_06890 Putative restriction endonuclease,"AFK79997.1_AFK79997.1_MicrocystisaeruginosaPCC7005_piricyclamide7005E1,piricyclamide7005E2,piricyclamide7005E3,piricyclamide7005E4",94.69,99.87,792
EIDGHK_06900 Uma2 family endonuclease,ctg13_4_Cyanobactin_64_0,93.86,99.54,654
EIDGHK_06910 Putative restriction endonuclease,ctg13_2_Cyanobactin_64_0,91.01,100,567
EIDGHK_06915 transposase,ctg13_6_Cyanobactin_64_0,96.93,100,261
EIDGHK_06945 hypothetical protein,"AED99440.1_AED99440.1_PlanktothrixagardhiiNIES-596_prenylagaramideB,prenylagaramideC",84.89,80.65,279
EIDGHK_06950 hypothetical protein,"AED99441.1_AED99441.1_PlanktothrixagardhiiNIES-596_prenylagaramideB,prenylagaramideC",90.62,100,288
EIDGHK_07225 BarH protein,ctg5_2_RRE-containing_23_0,100,100,1086
EIDGHK_07230 hypothetical protein,ctg5_3_RRE-containing_23_0,100,100,198
EIDGHK_07235 CopG family transcriptional regulator,ctg5_4_RRE-containing_23_0,100,100,255
EIDGHK_07240 hypothetical protein,ctg5_5_RRE-containing_23_0,100,79.17,216
EIDGHK_07245 hypothetical protein,ctg5_6_RRE-containing_23_0,100,100,408
EIDGHK_07250 hypothetical protein,ctg5_7_RRE-containing_23_0,100,100,411
EIDGHK_07255 Inclusion body protein,ctg5_8_RRE-containing_23_0,100,100,498
EIDGHK_07260 Aspartyl protease,ctg5_9_RRE-containing_23_0,100,100,366
