Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_00045|LE19-84	FKFHLE_11325	90.10	98.87	1410
FMDALA_00055|LE19-84	FKFHLE_11320	94.67	100.00	225
FMDALA_00060|LE19-84	FKFHLE_11310	96.53	99.75	810
FMDALA_00075|LE19-84	FKFHLE_11305	98.76	100.00	483
FMDALA_00080|LE19-84	FKFHLE_11300	98.65	100.00	669
FMDALA_00090|LE19-84	FKFHLE_11295	96.46	97.30	1479
FMDALA_00095|LE19-84	FKFHLE_11290	97.60	100.00	1002
FMDALA_00100|LE19-84	FKFHLE_11285	96.89	100.00	867
FMDALA_00050|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00065|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00085|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00105|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00110|LE19-84	Unmatched	0.0	0.0	0
