Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	OCDKLD_07255|LE19-114	ALDGEK_20750	99.02	100.0	1527
LE17-10A	OCDKLD_07260|LE19-114	ALDGEK_20755	98.23	100.0	564
LE17-10A	OCDKLD_07265|LE19-114	ALDGEK_20760	98.68	100.0	2052
LE17-10A	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_07255|LE19-114	EIDGHK_04295	96.07	100.07	1527
LE17-20C	OCDKLD_07260|LE19-114	EIDGHK_04290	93.64	100.35	564
LE17-20C	OCDKLD_07265|LE19-114	EIDGHK_04285	97.42	100.0	2052
LE17-20C	OCDKLD_14440|LE19-114	EIDGHK_15045	95.98	100.0	1020
LE18-22	OCDKLD_07255|LE19-114	HENFNN_07330	96.01	100.0	1527
LE18-22	OCDKLD_07265|LE19-114	HENFNN_16315	97.76	100.0	2052
LE18-22	OCDKLD_07260|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_07255|LE19-114	PGKGJD_11655	96.27	100.0	1527
LE19-10	OCDKLD_07260|LE19-114	PGKGJD_11650	93.29	100.35	564
LE19-10	OCDKLD_07265|LE19-114	PGKGJD_11645	97.61	100.0	2052
LE19-10	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-114	OCDKLD_07255|LE19-114	OCDKLD_07255	100.0	100.0	1527
LE19-114	OCDKLD_07260|LE19-114	OCDKLD_07260	100.0	100.0	564
LE19-114	OCDKLD_07265|LE19-114	OCDKLD_07265	100.0	100.0	2052
LE19-114	OCDKLD_14440|LE19-114	OCDKLD_14440	100.0	100.0	1020
LE19-12	OCDKLD_07255|LE19-114	GMBOIL_23085	97.25	100.0	1527
LE19-12	OCDKLD_07260|LE19-114	GMBOIL_23080	92.58	100.35	564
LE19-12	OCDKLD_07265|LE19-114	GMBOIL_23075	97.66	100.0	2052
LE19-12	OCDKLD_14440|LE19-114	GMBOIL_14380	95.34	94.71	1020
LE19-13	OCDKLD_07255|LE19-114	IDJNMB_01850	97.71	100.0	1527
LE19-13	OCDKLD_07260|LE19-114	IDJNMB_01855	98.4	100.0	564
LE19-13	OCDKLD_07265|LE19-114	IDJNMB_01860	98.88	100.0	2052
LE19-13	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-131	OCDKLD_07255|LE19-114	FLBHPM_01470	97.38	100.0	1527
LE19-131	OCDKLD_07260|LE19-114	FLBHPM_01475	93.99	100.35	564
LE19-131	OCDKLD_07265|LE19-114	FLBHPM_01480	97.61	100.0	2052
LE19-131	OCDKLD_14440|LE19-114	FLBHPM_11765	97.75	100.0	1020
LE19-195	OCDKLD_07255|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_07260|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_07265|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_07255|LE19-114	JMPPHP_10020	99.02	100.0	1527
LE19-196	OCDKLD_07260|LE19-114	JMPPHP_10025	98.23	100.0	564
LE19-196	OCDKLD_07265|LE19-114	JMPPHP_10030	98.68	100.0	2052
LE19-196	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-197	OCDKLD_07255|LE19-114	KBOODB_07910	97.25	100.0	1527
LE19-197	OCDKLD_07260|LE19-114	KBOODB_07905	92.58	100.35	564
LE19-197	OCDKLD_07265|LE19-114	KBOODB_07900	97.61	100.0	2052
LE19-197	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_07255|LE19-114	IHLHBL_10500	96.27	100.0	1527
LE19-251	OCDKLD_07260|LE19-114	IHLHBL_10505	93.29	100.35	564
LE19-251	OCDKLD_07265|LE19-114	IHLHBL_10510	97.61	100.0	2052
LE19-251	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_07255|LE19-114	HOOJMB_16185	96.2	100.0	1527
LE19-281	OCDKLD_07260|LE19-114	HOOJMB_16190	93.29	100.35	564
LE19-281	OCDKLD_07265|LE19-114	HOOJMB_16195	97.56	100.0	2052
LE19-281	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_07255|LE19-114	IJGFIK_17925	96.2	100.0	1527
LE19-338	OCDKLD_07260|LE19-114	IJGFIK_17930	97.34	100.0	564
LE19-338	OCDKLD_07265|LE19-114	IJGFIK_17940	97.47	100.0	2052
LE19-338	OCDKLD_14440|LE19-114	Unmatched	0.0	0.0	0
LE19-388	OCDKLD_07255|LE19-114	KAKDBB_04425	96.2	100.0	1527
LE19-388	OCDKLD_07260|LE19-114	KAKDBB_04430	97.34	100.0	564
