Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA|LE19-114	GLFEAL_24055	97.37	100.00	990
allA|LE19-114	GLFEAL_09110	97.57	99.60	495
apcECpcD|LE19-114	GLFEAL_22570	99.20	100.00	879
argF|LE19-114	GLFEAL_23040	97.63	100.00	927
argG|LE19-114	GLFEAL_01500	98.51	100.00	1206
aroE|LE19-114	GLFEAL_23700	97.79	100.00	861
aroK|LE19-114	GLFEAL_06220	97.91	100.00	573
arsR|LE19-114	GLFEAL_01855	98.23	100.00	339
atp1|LE19-114	GLFEAL_02230	96.42	100.00	363
atpB|LE19-114	GLFEAL_02225	99.60	100.00	750
atpE|LE19-114	GLFEAL_02220	99.19	100.00	246
atpF|LE19-114	GLFEAL_02210	97.24	100.00	543
atpG|LE19-114	GLFEAL_02195	98.31	100.00	948
atpH|LE19-114	GLFEAL_02205	99.09	100.00	549
bchL|LE19-114	GLFEAL_04320	97.82	100.00	870
bioB|LE19-114	GLFEAL_14885	97.62	96.07	1095
bioY|LE19-114	GLFEAL_14880	97.70	100.00	651
btpA|LE19-114	GLFEAL_13140	97.52	90.27	894
cbbL|LE19-114	GLFEAL_01245	98.16	100.00	1416
cbiT|LE19-114	GLFEAL_16560	96.79	100.00	591
ccb1|LE19-114	GLFEAL_21235	98.07	100.00	519
ccmK1~~~ccmK|LE19-114	GLFEAL_01265	98.54	100.00	342
ccmL|LE19-114	GLFEAL_01260	98.08	100.00	312
ccsB|LE19-114	GLFEAL_01600	96.25	100.00	987
cdsA|LE19-114	GLFEAL_16565	97.81	99.35	918
citT|LE19-114	GLFEAL_17755	95.56	100.00	1800
clpX|LE19-114	GLFEAL_22945	97.90	100.00	1335
coaD|LE19-114	GLFEAL_10260	98.10	100.00	474
cobC|LE19-114	GLFEAL_25260	97.16	100.00	1338
cobD|LE19-114	GLFEAL_07885	96.76	100.00	1080
cobQ|LE19-114	GLFEAL_15325	97.36	100.00	1476
cofG|LE19-114	GLFEAL_08520	97.64	100.00	888
cpcB|LE19-114	GLFEAL_22560	97.88	100.00	519
cpcT1|LE19-114	GLFEAL_24680	96.41	100.00	585
cpsB|LE19-114	GLFEAL_24495	98.87	100.00	1062
crcB|LE19-114	GLFEAL_03100	96.67	100.00	390
csdA|LE19-114	GLFEAL_18695	96.05	100.00	1215
ctaA|LE19-114	GLFEAL_21090	97.24	99.45	912
cyoC|LE19-114	GLFEAL_21105	98.06	98.88	624
cysQ|LE19-114	GLFEAL_20560	97.15	100.00	876
dacB|LE19-114	GLFEAL_13690	96.84	99.89	888
ddl|LE19-114	GLFEAL_22585	98.58	100.00	1059
dndE|LE19-114	GLFEAL_25050	97.74	100.00	399
dusA|LE19-114	GLFEAL_07865	97.25	99.15	1062
elsH|LE19-114	GLFEAL_02185	96.42	100.00	783
eno|LE19-114	GLFEAL_16345	97.15	100.00	1299
fabB|LE19-114	GLFEAL_05710	96.56	97.19	1137
fabH|LE19-114	GLFEAL_19495	97.50	100.00	1002
fabZ|LE19-114	GLFEAL_09425	97.92	100.00	480
fkpA|LE19-114	GLFEAL_11250	97.30	100.00	519
fmt|LE19-114	GLFEAL_09815	96.01	100.00	978
folB|LE19-114	GLFEAL_16670	96.64	100.00	357
folE|LE19-114	GLFEAL_14830	98.00	100.00	699
frr|LE19-114	GLFEAL_15530	97.63	100.00	549
galM|LE19-114	GLFEAL_06730	96.56	100.00	873
gcvT|LE19-114	GLFEAL_05560	96.11	99.91	1107
gdhA|LE19-114	GLFEAL_11245	96.98	100.00	1323
gloA|LE19-114	GLFEAL_14665	99.45	100.00	363
gloB|LE19-114	GLFEAL_11465	96.72	99.85	672
glpG|LE19-114	GLFEAL_16685	96.89	100.00	579
gph|LE19-114	GLFEAL_12520	98.28	100.00	696
group_10147|LE19-114	GLFEAL_05650	94.87	100.00	468
group_10188|LE19-114	GLFEAL_13335	96.23	100.00	663
group_1022|LE19-114	GLFEAL_20495	98.04	100.00	204
group_10347|LE19-114	GLFEAL_16660	96.31	100.00	921
group_11121|LE19-114	GLFEAL_04210	97.49	100.00	876
group_11199|LE19-114	GLFEAL_16240	97.00	99.81	534
group_11382|LE19-114	GLFEAL_05275	97.35	100.00	945
group_11505|LE19-114	GLFEAL_01240	99.00	100.00	399
group_11521|LE19-114	GLFEAL_12310	98.68	100.00	378
group_11598|LE19-114	GLFEAL_25255	96.96	100.00	1248
group_11742|LE19-114	GLFEAL_07945	97.78	100.00	315
group_11811|LE19-114	GLFEAL_15920	98.35	100.00	243
group_12083|LE19-114	GLFEAL_07475	97.92	100.00	240
group_12240|LE19-114	GLFEAL_14670	98.35	100.00	729
group_12267|LE19-114	GLFEAL_09835	97.30	100.00	1149
group_12312|LE19-114	GLFEAL_01270	99.68	100.00	312
group_12349|LE19-114	GLFEAL_16340	95.67	100.00	762
group_12628|LE19-114	GLFEAL_10070	96.55	100.00	1014
group_12701|LE19-114	GLFEAL_09940	97.91	100.00	717
group_12863|LE19-114	GLFEAL_00265	96.80	100.00	594
group_12983|LE19-114	GLFEAL_10500	98.63	100.00	438
group_13070|LE19-114	GLFEAL_12200	97.28	100.00	1068
group_13097|LE19-114	GLFEAL_22890	95.45	100.14	702
group_13285|LE19-114	GLFEAL_10590	99.54	100.00	216
group_13377|LE19-114	GLFEAL_07350	98.53	100.00	951
group_13525|LE19-114	GLFEAL_19360	98.54	100.00	342
group_13569|LE19-114	GLFEAL_16525	97.92	100.00	192
group_13775|LE19-114	GLFEAL_07465	99.33	100.00	297
group_14045|LE19-114	GLFEAL_22565	96.93	100.00	489
group_14055|LE19-114	GLFEAL_25565	95.89	100.26	1164
group_14222|LE19-114	GLFEAL_13710	96.11	100.00	180
group_14232|LE19-114	GLFEAL_05500	95.76	100.00	849
group_14353|LE19-114	GLFEAL_04845	97.69	100.00	780
group_14367|LE19-114	GLFEAL_05510	98.39	100.00	747
group_144|LE19-114	GLFEAL_16715	96.74	100.00	552
group_14549|LE19-114	GLFEAL_13220	99.49	100.00	390
group_1470|LE19-114	GLFEAL_07380	99.23	100.00	777
group_1807|LE19-114	GLFEAL_11450	97.64	99.48	384
group_2266|LE19-114	GLFEAL_14910	95.79	100.00	261
group_2356|LE19-114	GLFEAL_15720	98.42	100.00	507
group_238|LE19-114	GLFEAL_24555	99.19	100.00	246
group_2929|LE19-114	GLFEAL_10255	97.54	100.00	285
group_2999|LE19-114	GLFEAL_12765	98.99	100.00	597
group_3246|LE19-114	GLFEAL_17050	97.81	100.00	729
group_3346|LE19-114	GLFEAL_23120	98.87	100.00	177
group_3365|LE19-114	GLFEAL_04725	98.64	100.00	369
group_3427|LE19-114	GLFEAL_24905	98.02	100.00	504
group_3473|LE19-114	GLFEAL_01250	97.74	100.00	663
group_3484|LE19-114	GLFEAL_01285	98.19	100.00	387
group_3491|LE19-114	GLFEAL_12925	96.50	100.29	342
group_3584|LE19-114	GLFEAL_01875	98.30	100.00	882
group_3763|LE19-114	GLFEAL_13685	98.13	100.00	267
group_4296|LE19-114	GLFEAL_12930	97.53	100.00	567
group_4420|LE19-114	GLFEAL_12515	95.81	100.00	621
group_4466|LE19-114	GLFEAL_16540	97.80	100.00	363
group_4495|LE19-114	GLFEAL_13770	98.77	100.00	567
group_4511|LE19-114	GLFEAL_15540	96.39	100.00	582
group_4551|LE19-114	GLFEAL_20485	97.79	100.00	498
group_4581|LE19-114	GLFEAL_20500	97.20	100.00	465
group_4582|LE19-114	GLFEAL_20490	98.06	100.00	516
group_4589|LE19-114	GLFEAL_15045	98.78	100.00	246
group_466|LE19-114	GLFEAL_09810	95.28	100.00	381
group_4735|LE19-114	GLFEAL_06330	98.78	100.00	657
group_4736|LE19-114	GLFEAL_06340	99.32	100.00	294
group_4765|LE19-114	GLFEAL_08510	97.00	100.00	267
group_4814|LE19-114	GLFEAL_01880	98.51	100.00	201
group_4816|LE19-114	GLFEAL_12075	95.36	100.00	237
group_4862|LE19-114	GLFEAL_04885	95.48	100.00	420
group_5007|LE19-114	GLFEAL_17900	96.26	100.00	2328
group_5015|LE19-114	GLFEAL_14820	94.93	100.11	906
group_5117|LE19-114	GLFEAL_06710	97.55	100.00	774
group_5175|LE19-114	GLFEAL_15855	97.96	100.00	441
group_5209|LE19-114	GLFEAL_03695	96.58	100.00	351
group_5221|LE19-114	GLFEAL_01585	94.63	100.00	354
group_5445|LE19-114	GLFEAL_15080	93.99	99.37	318
group_5596|LE19-114	GLFEAL_14660	97.70	100.00	957
group_5613|LE19-114	GLFEAL_05665	97.59	100.00	747
group_5620|LE19-114	GLFEAL_23125	96.88	100.00	1059
group_5658|LE19-114	GLFEAL_08200	98.48	100.00	396
group_5694|LE19-114	GLFEAL_24900	96.52	100.00	891
group_573|LE19-114	GLFEAL_12995	96.51	100.00	1176
group_5805|LE19-114	GLFEAL_24695	97.12	98.11	318
group_5824|LE19-114	GLFEAL_00670	97.46	100.00	1182
group_5945|LE19-114	GLFEAL_09925	98.36	100.00	1218
group_6075|LE19-114	GLFEAL_05575	97.95	100.00	390
group_6100|LE19-114	GLFEAL_15905	96.38	100.00	387
group_6103|LE19-114	GLFEAL_24110	97.65	99.26	945
group_6135|LE19-114	GLFEAL_12950	95.74	100.00	1338
group_6227|LE19-114	GLFEAL_00165	98.10	100.00	369
group_6247|LE19-114	GLFEAL_25450	96.67	100.00	1020
group_6268|LE19-114	GLFEAL_10880	97.11	100.00	381
group_6351|LE19-114	GLFEAL_18265	96.21	100.00	1425
group_639|LE19-114	GLFEAL_19485	95.81	100.00	1002
group_6551|LE19-114	GLFEAL_18045	96.53	100.00	1644
group_6567|LE19-114	GLFEAL_12595	97.31	97.38	267
group_6580|LE19-114	GLFEAL_18635	94.61	101.02	294
group_6594|LE19-114	GLFEAL_23130	98.43	98.28	582
group_6613|LE19-114	GLFEAL_04215	97.56	99.83	1149
group_6614|LE19-114	GLFEAL_04205	97.55	100.00	2163
group_6627|LE19-114	GLFEAL_15970	97.42	98.82	510
group_6650|LE19-114	GLFEAL_05280	96.82	100.00	1854
group_6673|LE19-114	GLFEAL_12305	96.57	100.00	1719
group_6680|LE19-114	GLFEAL_25250	97.52	100.00	1653
group_6704|LE19-114	GLFEAL_07940	95.38	91.99	1011
group_6843|LE19-114	GLFEAL_09430	97.01	100.00	768
group_6873|LE19-114	GLFEAL_11480	97.15	100.00	1089
group_6913|LE19-114	GLFEAL_03255	96.41	100.00	918
group_6926|LE19-114	GLFEAL_18930	97.11	100.00	795
group_6969|LE19-114	GLFEAL_13285	95.75	100.00	894
group_6975|LE19-114	GLFEAL_24705	98.41	98.99	891
group_6994|LE19-114	GLFEAL_05885	97.01	100.00	201
group_7025|LE19-114	GLFEAL_09745	91.81	100.00	171
group_7027|LE19-114	GLFEAL_13715	96.81	100.00	783
group_7048|LE19-114	GLFEAL_12065	94.37	100.00	1686
group_7089|LE19-114	GLFEAL_24890	97.69	95.59	408
group_7098|LE19-114	GLFEAL_15775	95.76	100.00	1296
group_7122|LE19-114	GLFEAL_12510	94.74	100.19	1062
group_7223|LE19-114	GLFEAL_03280	93.33	100.00	240
group_7248|LE19-114	GLFEAL_08545	96.54	99.74	783
group_7250|LE19-114	GLFEAL_24690	98.38	100.00	555
group_7300|LE19-114	GLFEAL_13620	97.70	100.00	696
group_7301|LE19-114	GLFEAL_13630	97.21	100.00	2439
group_7312|LE19-114	GLFEAL_08725	97.70	100.00	348
group_7463|LE19-114	GLFEAL_13985	97.51	100.00	1164
group_7648|LE19-114	GLFEAL_01235	97.92	100.00	336
group_7684|LE19-114	GLFEAL_04405	99.52	100.00	207
group_7762|LE19-114	GLFEAL_22080	95.79	100.00	807
group_7799|LE19-114	GLFEAL_11895	97.50	100.00	360
group_7803|LE19-114	GLFEAL_25440	99.04	100.00	312
group_784|LE19-114	GLFEAL_24465	96.09	100.00	894
group_7847|LE19-114	GLFEAL_19760	95.44	100.00	351
group_7905|LE19-114	GLFEAL_03600	98.02	100.00	252
group_7908|LE19-114	GLFEAL_06215	98.97	99.81	1074
group_7920|LE19-114	GLFEAL_00160	97.13	100.00	174
group_7923|LE19-114	GLFEAL_05660	96.24	100.00	213
group_7929|LE19-114	GLFEAL_09075	96.70	100.00	606
group_7930|LE19-114	GLFEAL_00435	97.99	100.00	1293
group_8138|LE19-114	GLFEAL_23070	96.85	97.28	294
group_8377|LE19-114	GLFEAL_00700	96.09	100.00	435
group_8422|LE19-114	GLFEAL_18270	95.49	99.92	1242
group_8531|LE19-114	GLFEAL_18040	96.76	100.00	1695
group_8591|LE19-114	GLFEAL_02940	96.81	100.00	1191
group_8714|LE19-114	GLFEAL_24485	95.83	100.00	408
group_8726|LE19-114	GLFEAL_25370	97.11	100.00	795
group_8727|LE19-114	GLFEAL_25360	96.35	100.00	411
group_8734|LE19-114	GLFEAL_17120	96.90	100.00	999
group_8771|LE19-114	GLFEAL_09950	95.90	99.20	1131
group_8848|LE19-114	GLFEAL_02710	99.74	100.00	378
group_8850|LE19-114	GLFEAL_07360	96.38	100.00	276
group_8913|LE19-114	GLFEAL_13200	95.67	100.00	1248
group_8915|LE19-114	GLFEAL_09005	97.38	100.00	573
group_8947|LE19-114	GLFEAL_13765	98.29	100.00	468
group_90|LE19-114	GLFEAL_10680	90.50	103.64	660
group_9012|LE19-114	GLFEAL_14920	96.15	100.00	1557
group_9037|LE19-114	GLFEAL_23080	97.48	100.00	675
group_9107|LE19-114	GLFEAL_02935	95.45	100.00	681
group_9480|LE19-114	GLFEAL_03595	98.28	99.51	408
group_9660|LE19-114	GLFEAL_06055	94.97	100.00	378
group_9691|LE19-114	GLFEAL_18275	96.46	100.00	621
group_9732|LE19-114	GLFEAL_18035	96.70	99.78	456
group_9751|LE19-114	GLFEAL_04175	97.54	100.00	2199
group_9765|LE19-114	GLFEAL_05430	98.37	100.00	306
grxD|LE19-114	GLFEAL_23765	97.84	100.00	324
himA|LE19-114	GLFEAL_07890	96.84	100.00	285
hisA|LE19-114	GLFEAL_14015	97.11	100.00	762
hisM|LE19-114	GLFEAL_10295	97.79	100.00	996
hoxU|LE19-114	GLFEAL_10385	97.63	99.86	717
htpX|LE19-114	GLFEAL_02130	97.06	100.00	849
hyuB|LE19-114	GLFEAL_07835	95.99	100.00	1572
ilvB|LE19-114	GLFEAL_25520	96.96	100.00	1779
infA|LE19-114	GLFEAL_03465	97.40	100.00	231
ispE|LE19-114	GLFEAL_03090	97.13	100.00	942
ispG|LE19-114	GLFEAL_16215	97.22	100.00	1221
jag|LE19-114	GLFEAL_08210	97.98	100.00	495
labA|LE19-114	GLFEAL_12990	98.55	100.00	552
lepB|LE19-114	GLFEAL_02910	97.37	99.13	576
leuB|LE19-114	GLFEAL_14905	97.61	100.00	1086
