Key,ExDate,Year,Month,julian_day,Treatment,Rep,Lake,Site_water,I_CHL,I_CHL20,I_CHL2,I_CHLGFF,F_CHL,F_CHL20,F_CHL2,F_CHLGFF
2019LE199C1,7/18/19,2019,Jul,199,control,R1,LE,WE4,7.241,5.3365,1.6705,0.845,7.072,5.421,1.7745,0.7735
2019LE199C2,7/18/19,2019,Jul,199,control,R2,LE,WE4,6.487,5.642,1.9045,0.832,7.384,5.408,1.885,0.845
2019LE199C3,7/18/19,2019,Jul,199,control,R3,LE,WE4,6.877,5.5575,1.9955,0.871,7.046,5.434,2.0735,0.8645
2019LE199Q1,7/18/19,2019,Jul,199,quagga,R1,LE,WE4,7.111,5.4145,2.1385,0.884,3.874,2.886,1.0335,0.2834
2019LE199Q2,7/18/19,2019,Jul,199,quagga,R2,LE,WE4,7.111,5.408,1.9305,0.871,3.809,3.029,0.975,0.2431
2019LE199Q3,7/18/19,2019,Jul,199,quagga,R3,LE,WE4,6.552,5.6615,1.9695,0.8645,3.887,2.938,1.053,0.3042
2019LE199Q4,7/18/19,2019,Jul,199,quagga,R4,LE,WE4,7.02,5.369,1.6835,0.91,3.874,3.0225,1.0985,0.27625
2019LE212C1,7/31/19,2019,Jul,212,control,R1,LE,WE4,48.1,35.685,7.605,0.3315,49.14,35.75,8.723,1.664
2019LE212C2,7/31/19,2019,Jul,212,control,R2,LE,WE4,45.76,29.25,6.838,0.3965,46.02,34.71,8.047,1.222
2019LE212C3,7/31/19,2019,Jul,212,control,R3,LE,WE4,44.46,38.415,7.007,0.9646,46.02,27.17,7.046,2.821
2019LE212Q1,7/31/19,2019,Jul,212,quagga,R1,LE,WE4,41.6,35.49,9.178,0.9295,39.52,31.2,8.996,3.926
2019LE212Q2,7/31/19,2019,Jul,212,quagga,R2,LE,WE4,50.96,37.9275,7.748,0.6266,43.16,36.01,8.138,1.2688
2019LE212Q3,7/31/19,2019,Jul,212,quagga,R3,LE,WE4,48.36,44.85,7.553,0.9412,43.94,33.93,6.981,1.0504
2019LE212Q4,7/31/19,2019,Jul,212,quagga,R4,LE,WE4,48.62,28.9575,8.229,0.4953,49.92,36.5625,7.423,3.146
2019LE225C1,8/13/19,2019,Aug,225,control,R1,LE,WE4,3.54874,2.55437,1.39737,0.59657,3.939,2.782,1.378,0.6162
2019LE225C2,8/13/19,2019,Aug,225,control,R2,LE,WE4,4.06874,2.80787,1.50787,0.53092,4.03,2.73,1.313,0.53105
2019LE225C3,8/13/19,2019,Aug,225,control,R3,LE,WE4,2.71674,1.96287,0.97487,0.36452,2.782,1.612,0.923,0.43225
2019LE225C4,8/13/19,2019,Aug,225,control,R4,LE,WE4,2.84674,1.81987,0.96187,0.37817,2.847,2.0605,1.027,0.3913
2019LE225C5,8/13/19,2019,Aug,225,control,R5,LE,WE4,5.29074,1.36487,3.91937,0.30667,4.381,1.157,2.613,1.911
2019LE225C6,8/13/19,2019,Aug,225,control,R6,LE,WE4,5.52474,1.15037,3.69187,0.27937,4.901,1.196,0.3211,4.251
2019LE225Q1,8/13/19,2019,Aug,225,quagga,R1,LE,WE4,4.31574,2.69737,1.51437,0.47242,3.172,2.3205,0.21255,0.897
2019LE225Q2,8/13/19,2019,Aug,225,quagga,R2,LE,WE4,4.30274,3.64637,1.50787,0.50622,4.082,3.51,1.3065,0.23855
2019LE225Q3,8/13/19,2019,Aug,225,quagga,R3,LE,WE4,2.93774,1.97587,1.07237,0.39897,2.314,1.4365,0.64545,0.18525
2019LE225Q4,8/13/19,2019,Aug,225,quagga,R4,LE,WE4,2.74274,1.88487,1.00737,0.34827,2.041,1.4495,0.676,0.19825
