Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03865|LE19-84	EIDGHK_11260	96.87	100.00	639
FMDALA_03870|LE19-84	EIDGHK_11265	96.95	100.00	753
FMDALA_10440|LE19-84	EIDGHK_06915	92.72	100.00	261
FMDALA_10445|LE19-84	EIDGHK_06910	94.89	100.00	567
FMDALA_10450|LE19-84	EIDGHK_06905	93.96	100.00	579
FMDALA_10455|LE19-84	EIDGHK_06900	92.56	100.76	654
FMDALA_10470|LE19-84	EIDGHK_06930	92.89	100.00	225
FMDALA_10475|LE19-84	EIDGHK_06925	94.90	100.00	294
FMDALA_20520|LE19-84	EIDGHK_11270	97.94	100.00	1116
FMDALA_20525|LE19-84	EIDGHK_11275	98.02	100.00	657
FMDALA_20530|LE19-84	EIDGHK_11280	97.50	100.00	519
FMDALA_20535|LE19-84	EIDGHK_11285	100.00	100.00	294
FMDALA_20540|LE19-84	EIDGHK_11290	96.56	100.00	639
FMDALA_05510|LE19-84	Unmatched	0.0	0.0	0
FMDALA_05515|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10430|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10435|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10460|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10465|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10480|LE19-84	Unmatched	0.0	0.0	0
