Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_20170|LE19-84	ALDGEK_00280	94.67	100.0	1746
LE17-10A	FMDALA_20175|LE19-84	ALDGEK_00275	94.26	100.0	2160
LE17-10A	FMDALA_20180|LE19-84	ALDGEK_00270	96.36	98.77	1224
LE17-10A	FMDALA_20185|LE19-84	ALDGEK_00260	95.66	100.0	645
LE17-10A	FMDALA_20190|LE19-84	ALDGEK_14690	94.4	99.27	684
LE17-10A	FMDALA_20200|LE19-84	ALDGEK_14700	97.28	100.0	405
LE17-10A	FMDALA_20205|LE19-84	ALDGEK_00050	96.68	100.0	693
LE17-10A	FMDALA_20210|LE19-84	ALDGEK_00055	98.3	99.94	1590
LE17-10A	FMDALA_20215|LE19-84	ALDGEK_00060	99.42	97.11	1245
LE17-10A	FMDALA_20230|LE19-84	ALDGEK_08855	97.48	100.0	159
LE17-10A	FMDALA_20235|LE19-84	ALDGEK_08860	96.25	100.0	480
LE17-10A	FMDALA_21865|LE19-84	ALDGEK_08865	96.76	98.13	534
LE17-10A	FMDALA_21870|LE19-84	ALDGEK_08850	96.62	100.0	975
LE17-10A	FMDALA_21880|LE19-84	ALDGEK_08845	97.01	99.28	978
LE17-10A	FMDALA_23395|LE19-84	ALDGEK_08870	97.29	100.0	2064
LE17-10A	FMDALA_09345|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20160|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20165|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20220|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20225|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_21615|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_21620|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20165|LE19-84	EIDGHK_20620	97.33	100.0	486
LE17-20C	FMDALA_20170|LE19-84	EIDGHK_17290	94.67	100.0	1746
LE17-20C	FMDALA_20175|LE19-84	EIDGHK_17285	94.58	100.0	2160
LE17-20C	FMDALA_20180|LE19-84	EIDGHK_17275	97.76	76.72	1224
LE17-20C	FMDALA_20185|LE19-84	EIDGHK_17270	91.46	97.98	645
LE17-20C	FMDALA_20190|LE19-84	EIDGHK_18130	93.72	100.15	684
LE17-20C	FMDALA_20200|LE19-84	EIDGHK_11965	94.18	97.53	405
LE17-20C	FMDALA_20205|LE19-84	EIDGHK_11970	96.82	99.86	693
LE17-20C	FMDALA_20210|LE19-84	EIDGHK_17640	95.33	101.01	1590
LE17-20C	FMDALA_20215|LE19-84	EIDGHK_17645	96.2	97.11	1245
LE17-20C	FMDALA_09345|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20160|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20220|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20225|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20230|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20235|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_21615|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_21620|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_21865|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_21870|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_21880|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_23395|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20160|LE19-84	HENFNN_23530	96.72	82.72	405
LE18-22	FMDALA_20170|LE19-84	HENFNN_23535	95.25	100.0	1746
LE18-22	FMDALA_20175|LE19-84	HENFNN_02880	94.72	100.0	2160
LE18-22	FMDALA_20180|LE19-84	HENFNN_02875	95.95	98.77	1224
LE18-22	FMDALA_20185|LE19-84	HENFNN_02865	92.87	100.0	645
LE18-22	FMDALA_20190|LE19-84	HENFNN_02860	95.47	100.0	684
LE18-22	FMDALA_20200|LE19-84	HENFNN_09330	97.42	95.56	405
LE18-22	FMDALA_20205|LE19-84	HENFNN_09325	95.66	99.86	693
LE18-22	FMDALA_20220|LE19-84	HENFNN_09310	98.23	100.0	735
LE18-22	FMDALA_20225|LE19-84	HENFNN_09305	98.1	100.0	789
LE18-22	FMDALA_20230|LE19-84	HENFNN_09300	95.6	100.0	159
LE18-22	FMDALA_20235|LE19-84	HENFNN_09295	97.92	100.0	480
LE18-22	FMDALA_20240|LE19-84	HENFNN_09290	98.0	100.0	4257
LE18-22	FMDALA_21615|LE19-84	HENFNN_09270	96.53	100.0	2076
LE18-22	FMDALA_21620|LE19-84	HENFNN_09265	97.26	95.35	1227
LE18-22	FMDALA_21865|LE19-84	HENFNN_08915	96.44	100.0	534
LE18-22	FMDALA_21870|LE19-84	HENFNN_08910	96.72	100.0	975
LE18-22	FMDALA_21880|LE19-84	HENFNN_08905	96.81	99.28	978
LE18-22	FMDALA_23395|LE19-84	HENFNN_08920	94.96	100.05	2064
LE18-22	FMDALA_09345|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20165|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20210|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20215|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_09345|LE19-84	PGKGJD_12485	91.06	70.48	2937
LE19-10	FMDALA_20165|LE19-84	PGKGJD_12675	96.3	100.0	486
LE19-10	FMDALA_20170|LE19-84	PGKGJD_17415	95.53	100.0	1746
LE19-10	FMDALA_20175|LE19-84	PGKGJD_16040	94.35	100.0	2160
LE19-10	FMDALA_20185|LE19-84	PGKGJD_16065	92.25	100.0	645
LE19-10	FMDALA_20190|LE19-84	PGKGJD_16070	93.42	100.0	684
LE19-10	FMDALA_20200|LE19-84	PGKGJD_00760	97.16	95.56	405
LE19-10	FMDALA_20205|LE19-84	PGKGJD_00765	96.97	99.86	693
LE19-10	FMDALA_20220|LE19-84	PGKGJD_00780	98.1	100.0	735
LE19-10	FMDALA_20225|LE19-84	PGKGJD_00785	97.97	100.0	789
LE19-10	FMDALA_20235|LE19-84	PGKGJD_13340	98.33	100.0	480
LE19-10	FMDALA_21615|LE19-84	PGKGJD_14835	96.82	100.0	2076
LE19-10	FMDALA_21620|LE19-84	PGKGJD_14830	96.92	95.35	1227
LE19-10	FMDALA_21865|LE19-84	PGKGJD_14400	97.0	100.0	534
LE19-10	FMDALA_21870|LE19-84	PGKGJD_14405	97.23	100.0	975
LE19-10	FMDALA_21880|LE19-84	PGKGJD_14415	96.83	100.0	978
LE19-10	FMDALA_23395|LE19-84	PGKGJD_14395	94.96	100.05	2064
LE19-10	FMDALA_20160|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20180|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20210|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20215|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20230|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
LE19-10	FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_20165|LE19-84	OCDKLD_19675	97.33	100.0	486
LE19-114	FMDALA_20170|LE19-84	OCDKLD_02085	94.9	100.0	1746
