Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_11690|LE19-114	ALDGEK_08865	98.53	100.00	543
OCDKLD_11695|LE19-114	ALDGEK_08860	99.79	100.00	480
OCDKLD_11700|LE19-114	ALDGEK_08855	100.00	100.00	159
OCDKLD_11705|LE19-114	ALDGEK_08850	98.46	100.00	975
OCDKLD_11710|LE19-114	ALDGEK_08845	98.37	100.00	981
OCDKLD_11715|LE19-114	ALDGEK_08840	95.33	100.00	150
OCDKLD_11720|LE19-114	ALDGEK_08835	98.75	100.00	1281
OCDKLD_11725|LE19-114	ALDGEK_08830	98.59	100.00	1062
OCDKLD_11730|LE19-114	ALDGEK_08825	98.23	100.00	792
OCDKLD_11735|LE19-114	ALDGEK_08820	96.71	100.00	1278
OCDKLD_11740|LE19-114	ALDGEK_08815	97.30	98.21	1170
OCDKLD_11745|LE19-114	ALDGEK_08810	94.61	95.98	174
OCDKLD_11750|LE19-114	ALDGEK_08810	97.74	100.17	1149
OCDKLD_11755|LE19-114	ALDGEK_08805	100.00	100.00	177
OCDKLD_20945|LE19-114	ALDGEK_08870	98.98	100.00	2064
