Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01780|LE19-195	FKFHLE_18120	98.74	100.00	876
BHKFFO_01785|LE19-195	FKFHLE_18115	97.65	100.00	1359
BHKFFO_01795|LE19-195	FKFHLE_12340	94.53	100.00	201
BHKFFO_01800|LE19-195	FKFHLE_12345	95.10	100.00	408
BHKFFO_01805|LE19-195	FKFHLE_12350	95.69	99.42	1026
BHKFFO_01815|LE19-195	FKFHLE_12360	96.46	99.87	792
BHKFFO_16570|LE19-195	FKFHLE_20915	96.04	100.22	453
BHKFFO_16575|LE19-195	FKFHLE_20910	96.02	100.00	1182
BHKFFO_16580|LE19-195	FKFHLE_20905	97.82	100.00	642
BHKFFO_16585|LE19-195	FKFHLE_20900	96.84	100.00	411
BHKFFO_16590|LE19-195	FKFHLE_20895	98.50	100.00	600
BHKFFO_17605|LE19-195	FKFHLE_00720	98.46	100.00	1881
BHKFFO_17610|LE19-195	FKFHLE_00715	99.23	100.00	390
BHKFFO_01775|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01790|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01810|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01820|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01825|LE19-195	Unmatched	0.0	0.0	0
