Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_00390|LE19-12	ALDGEK_06300	96.71	100.0	243
LE17-10A	GMBOIL_00455|LE19-12	ALDGEK_03365	99.03	100.12	822
LE17-10A	GMBOIL_00460|LE19-12	ALDGEK_03370	98.73	100.0	867
LE17-10A	GMBOIL_00490|LE19-12	ALDGEK_03375	100.0	80.12	171
LE17-10A	GMBOIL_00500|LE19-12	ALDGEK_03385	97.6	100.0	1872
LE17-10A	GMBOIL_00505|LE19-12	ALDGEK_03390	97.95	100.0	876
LE17-10A	GMBOIL_05495|LE19-12	ALDGEK_06265	95.4	100.0	783
LE17-10A	GMBOIL_05500|LE19-12	ALDGEK_06260	92.65	100.0	381
LE17-10A	GMBOIL_06615|LE19-12	ALDGEK_08125	97.05	100.0	780
LE17-10A	GMBOIL_06620|LE19-12	ALDGEK_08120	95.27	100.0	465
LE17-10A	GMBOIL_10285|LE19-12	ALDGEK_06305	97.98	100.0	693
LE17-10A	GMBOIL_11975|LE19-12	ALDGEK_06245	96.75	87.51	1089
LE17-10A	GMBOIL_11980|LE19-12	ALDGEK_06250	97.48	100.0	2820
LE17-10A	GMBOIL_17905|LE19-12	ALDGEK_06280	97.09	100.04	2781
LE17-10A	GMBOIL_17910|LE19-12	ALDGEK_06285	96.86	100.0	1431
LE17-10A	GMBOIL_17915|LE19-12	ALDGEK_06290	97.64	100.0	933
LE17-10A	GMBOIL_17920|LE19-12	ALDGEK_06295	95.17	97.64	339
LE17-10A	GMBOIL_18635|LE19-12	ALDGEK_07295	95.8	100.0	1215
LE17-10A	GMBOIL_24545|LE19-12	ALDGEK_06270	97.39	100.0	537
LE17-10A	GMBOIL_24550|LE19-12	ALDGEK_06275	95.7	100.12	837
LE17-10A	GMBOIL_00470|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_00485|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_00390|LE19-12	EIDGHK_14205	95.88	100.0	243
LE17-20C	GMBOIL_00455|LE19-12	EIDGHK_11375	98.3	100.0	822
LE17-20C	GMBOIL_00460|LE19-12	EIDGHK_11380	98.5	100.0	867
LE17-20C	GMBOIL_00500|LE19-12	EIDGHK_11385	97.92	100.0	1872
LE17-20C	GMBOIL_00505|LE19-12	EIDGHK_11390	96.8	100.0	876
LE17-20C	GMBOIL_05495|LE19-12	EIDGHK_14170	97.45	100.0	783
LE17-20C	GMBOIL_06615|LE19-12	EIDGHK_02130	96.67	100.0	780
LE17-20C	GMBOIL_06620|LE19-12	EIDGHK_02125	95.48	100.0	465
LE17-20C	GMBOIL_10285|LE19-12	EIDGHK_14210	96.39	99.86	693
LE17-20C	GMBOIL_11975|LE19-12	EIDGHK_14160	97.17	87.6	1089
LE17-20C	GMBOIL_11980|LE19-12	EIDGHK_14165	97.91	100.0	2820
LE17-20C	GMBOIL_17905|LE19-12	EIDGHK_14185	96.51	100.04	2781
LE17-20C	GMBOIL_17910|LE19-12	EIDGHK_14190	98.04	100.0	1431
