Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01885|LE19-195	JAMHJB_08390	91.83	100.00	306
BHKFFO_04850|LE19-195	JAMHJB_08345	93.22	100.00	531
BHKFFO_08655|LE19-195	JAMHJB_13065	96.39	99.86	693
BHKFFO_08660|LE19-195	JAMHJB_13070	95.44	99.18	243
BHKFFO_08665|LE19-195	JAMHJB_13075	94.10	100.00	339
BHKFFO_08670|LE19-195	JAMHJB_13080	97.43	100.00	933
BHKFFO_08675|LE19-195	JAMHJB_13085	97.90	100.00	1431
BHKFFO_08680|LE19-195	JAMHJB_13090	97.38	100.04	2781
BHKFFO_08685|LE19-195	JAMHJB_13095	96.78	100.00	1800
BHKFFO_08690|LE19-195	JAMHJB_13100	98.32	100.00	537
BHKFFO_08700|LE19-195	JAMHJB_13105	97.06	100.00	783
BHKFFO_08710|LE19-195	JAMHJB_13110	97.78	100.00	2928
BHKFFO_08715|LE19-195	JAMHJB_13115	97.80	100.00	954
BHKFFO_13445|LE19-195	JAMHJB_18475	96.69	100.00	876
BHKFFO_13450|LE19-195	JAMHJB_18470	98.08	100.00	1872
BHKFFO_08705|LE19-195	Unmatched	0.0	0.0	0
