Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_08125|LE19-195	IOJBKL_16870	96.86	99.88	828
BHKFFO_08130|LE19-195	IOJBKL_16865	98.51	99.68	945
BHKFFO_08135|LE19-195	IOJBKL_16860	98.43	100.00	255
BHKFFO_08165|LE19-195	IOJBKL_03780	97.35	100.00	1281
BHKFFO_08170|LE19-195	IOJBKL_03775	98.02	99.91	1062
BHKFFO_08175|LE19-195	IOJBKL_04755	98.27	100.00	924
BHKFFO_08180|LE19-195	IOJBKL_04750	95.99	100.00	474
BHKFFO_08185|LE19-195	IOJBKL_03770	94.82	100.00	792
BHKFFO_08190|LE19-195	IOJBKL_03765	96.01	100.00	1278
BHKFFO_08195|LE19-195	IOJBKL_03760	96.52	98.21	1170
BHKFFO_08140|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08145|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08150|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08155|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_08160|LE19-195	Unmatched	0.0	0.0	0
