Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03670|LE19-84	FMDALA_03670	100.00	100.00	4287
FMDALA_03675|LE19-84	FMDALA_03675	100.00	100.00	786
FMDALA_03680|LE19-84	FMDALA_03680	100.00	100.00	2637
FMDALA_03685|LE19-84	FMDALA_03685	100.00	100.00	615
FMDALA_03690|LE19-84	FMDALA_03690	100.00	100.00	1098
FMDALA_03695|LE19-84	FMDALA_03695	100.00	100.00	1389
FMDALA_03700|LE19-84	FMDALA_03700	100.00	100.00	234
FMDALA_03705|LE19-84	FMDALA_03705	100.00	100.00	630
FMDALA_03710|LE19-84	FMDALA_03710	100.00	100.00	702
FMDALA_03715|LE19-84	FMDALA_03715	100.00	100.00	171
FMDALA_03720|LE19-84	FMDALA_03720	100.00	100.00	1944
FMDALA_03725|LE19-84	FMDALA_03725	100.00	100.00	408
FMDALA_03730|LE19-84	FMDALA_03730	100.00	100.00	252
FMDALA_03735|LE19-84	FMDALA_03735	100.00	100.00	759
FMDALA_03740|LE19-84	FMDALA_03740	100.00	100.00	393
FMDALA_10755|LE19-84	FMDALA_10755	100.00	100.00	3309
FMDALA_10760|LE19-84	FMDALA_10760	100.00	100.00	1044
FMDALA_10765|LE19-84	FMDALA_10765	100.00	100.00	633
FMDALA_10770|LE19-84	FMDALA_10770	100.00	100.00	627
FMDALA_10775|LE19-84	FMDALA_10775	100.00	100.00	801
FMDALA_10780|LE19-84	FMDALA_10780	100.00	100.00	372
FMDALA_10785|LE19-84	FMDALA_10785	100.00	100.00	3279
FMDALA_10790|LE19-84	FMDALA_10790	100.00	100.00	777
FMDALA_10795|LE19-84	FMDALA_10795	100.00	100.00	4470
FMDALA_10800|LE19-84	FMDALA_10800	100.00	100.00	609
FMDALA_10805|LE19-84	FMDALA_10805	100.00	100.00	1995
FMDALA_10810|LE19-84	FMDALA_10810	100.00	100.00	453
