Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_01595|LE19-84	EIBFDN_10845	96.05	100.00	354
FMDALA_01600|LE19-84	EIBFDN_10850	97.67	100.00	771
FMDALA_01605|LE19-84	EIBFDN_10855	96.94	100.00	1209
FMDALA_01610|LE19-84	EIBFDN_10860	97.06	100.00	783
FMDALA_01615|LE19-84	EIBFDN_10865	96.15	100.00	1116
FMDALA_01620|LE19-84	EIBFDN_10870	97.36	100.00	531
FMDALA_06000|LE19-84	EIBFDN_01720	98.16	100.00	762
FMDALA_06005|LE19-84	EIBFDN_01725	98.72	100.00	312
FMDALA_06010|LE19-84	EIBFDN_01730	98.04	100.00	1527
FMDALA_06015|LE19-84	EIBFDN_01735	97.50	100.00	120
FMDALA_06020|LE19-84	EIBFDN_01740	99.17	100.00	120
FMDALA_06025|LE19-84	EIBFDN_01745	99.26	100.00	135
FMDALA_06030|LE19-84	EIBFDN_01750	99.19	100.00	246
FMDALA_06035|LE19-84	EIBFDN_01755	97.89	100.00	993
FMDALA_06040|LE19-84	EIBFDN_01760	97.70	100.00	348
FMDALA_06045|LE19-84	EIBFDN_01765	95.91	100.00	2298
FMDALA_06545|LE19-84	EIBFDN_21495	96.85	99.82	1623
FMDALA_06550|LE19-84	EIBFDN_21500	99.06	100.00	318
FMDALA_06555|LE19-84	EIBFDN_21505	97.98	100.00	198
FMDALA_06560|LE19-84	EIBFDN_21510	97.74	100.00	576
FMDALA_06575|LE19-84	EIBFDN_23620	97.20	100.00	930
FMDALA_06580|LE19-84	EIBFDN_23615	98.68	100.00	453
FMDALA_06590|LE19-84	EIBFDN_21995	99.40	100.00	831
FMDALA_09760|LE19-84	EIBFDN_01810	95.54	98.81	1089
FMDALA_09765|LE19-84	EIBFDN_01800	96.28	87.68	276
FMDALA_06050|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06540|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06570|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
FMDALA_06595|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09770|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09775|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09805|LE19-84	Unmatched	0.0	0.0	0
FMDALA_09810|LE19-84	Unmatched	0.0	0.0	0
