Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_07475|LE19-84	EIBFDN_01010	97.78	100.00	810
FMDALA_13860|LE19-84	EIBFDN_17190	97.08	100.00	240
FMDALA_17125|LE19-84	EIBFDN_06215	96.59	100.00	1731
FMDALA_17140|LE19-84	EIBFDN_01880	80.55	99.69	1305
FMDALA_23575|LE19-84	EIBFDN_06210	96.02	99.91	1107
FMDALA_05795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_05800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_15915|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17130|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17135|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17145|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17150|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17155|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17160|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17165|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17170|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17175|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17180|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17185|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17190|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17195|LE19-84	Unmatched	0.0	0.0	0
