Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01775|LE19-195	BHKFFO_01775	100.00	100.00	1701
BHKFFO_01780|LE19-195	BHKFFO_01780	100.00	100.00	876
BHKFFO_01785|LE19-195	BHKFFO_01785	100.00	100.00	1359
BHKFFO_01790|LE19-195	BHKFFO_01790	100.00	100.00	252
BHKFFO_01795|LE19-195	BHKFFO_01795	100.00	100.00	201
BHKFFO_01800|LE19-195	BHKFFO_01800	100.00	100.00	408
BHKFFO_01805|LE19-195	BHKFFO_01805	100.00	100.00	1026
BHKFFO_01810|LE19-195	BHKFFO_01810	100.00	100.00	2097
BHKFFO_01815|LE19-195	BHKFFO_01815	100.00	100.00	792
BHKFFO_01820|LE19-195	BHKFFO_01820	100.00	100.00	228
BHKFFO_01825|LE19-195	BHKFFO_01825	100.00	100.00	258
BHKFFO_16570|LE19-195	BHKFFO_16570	100.00	100.00	453
BHKFFO_16575|LE19-195	BHKFFO_16575	100.00	100.00	1182
BHKFFO_16580|LE19-195	BHKFFO_16580	100.00	100.00	642
BHKFFO_16585|LE19-195	BHKFFO_16585	100.00	100.00	411
BHKFFO_16590|LE19-195	BHKFFO_16590	100.00	100.00	600
BHKFFO_17605|LE19-195	BHKFFO_17605	100.00	100.00	1881
BHKFFO_17610|LE19-195	BHKFFO_17610	100.00	100.00	390
