"ref_genotype","gene_name","bgc_name"
"LE19-114","OCDKLD_04105","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04110","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04115","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04120","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04125","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04130","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04135","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04140","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04145","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04150","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04155","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04160","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04170","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04175","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04180","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04185","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04190","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04195","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04200","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04205","1_heptadecene_ctg44"
"LE19-114","OCDKLD_04210","1_heptadecene_ctg44"
"LE19-114","OCDKLD_18855","1_heptadecene_ctg44"
"LE19-114","OCDKLD_01990","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_01995","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02005","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02010","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02320","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02325","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02330","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02335","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02340","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02345","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02350","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02355","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02360","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02365","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02370","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02380","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02385","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02390","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02395","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02400","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02405","Anabaenopeptin_ctg105"
"LE19-114","OCDKLD_02410","Anabaenopeptin_ctg105"
