Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_10050|LE19-84	GLFEAL_10875	97.65	100.00	1236
FMDALA_10055|LE19-84	GLFEAL_11075	98.78	100.00	1149
FMDALA_10060|LE19-84	GLFEAL_11070	98.40	100.00	936
FMDALA_10065|LE19-84	GLFEAL_11065	97.34	100.00	1014
FMDALA_10070|LE19-84	GLFEAL_11060	96.76	100.00	1761
FMDALA_10075|LE19-84	GLFEAL_11055	96.78	100.00	7896
FMDALA_10080|LE19-84	GLFEAL_11050	96.69	100.00	756
FMDALA_10085|LE19-84	GLFEAL_11045	97.89	100.00	10464
FMDALA_10090|LE19-84	GLFEAL_11035	97.30	100.00	11721
FMDALA_10110|LE19-84	GLFEAL_22035	97.32	100.00	2052
FMDALA_10115|LE19-84	GLFEAL_22040	92.58	100.35	564
FMDALA_10120|LE19-84	GLFEAL_22045	98.23	100.00	1527
FMDALA_10125|LE19-84	GLFEAL_12690	98.30	100.00	1824
FMDALA_11045|LE19-84	GLFEAL_02720	96.27	99.79	483
FMDALA_10095|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10100|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10105|LE19-84	Unmatched	0.0	0.0	0
