Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_05330|LE19-195	IOJBKL_18545	84.63	99.30	570
BHKFFO_05335|LE19-195	IOJBKL_23920	91.28	100.00	447
BHKFFO_05340|LE19-195	IOJBKL_18155	91.62	98.06	669
BHKFFO_05350|LE19-195	IOJBKL_18175	96.55	100.00	261
BHKFFO_05355|LE19-195	IOJBKL_18180	98.28	100.00	639
BHKFFO_05360|LE19-195	IOJBKL_18185	98.94	100.00	753
BHKFFO_05365|LE19-195	IOJBKL_18190	98.48	100.00	1116
BHKFFO_05370|LE19-195	IOJBKL_04450	98.33	100.00	657
BHKFFO_05375|LE19-195	IOJBKL_04445	98.65	100.00	519
BHKFFO_05380|LE19-195	IOJBKL_04440	99.66	100.00	294
BHKFFO_05385|LE19-195	IOJBKL_04435	97.81	99.84	639
BHKFFO_05325|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_05345|LE19-195	Unmatched	0.0	0.0	0
