Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_14595|LE19-195	ALDGEK_06810	97.58	99.31	291
BHKFFO_14600|LE19-195	ALDGEK_06805	97.14	100.00	420
BHKFFO_14605|LE19-195	ALDGEK_06800	98.12	100.00	849
BHKFFO_14610|LE19-195	ALDGEK_06795	97.44	100.00	468
BHKFFO_14615|LE19-195	ALDGEK_06790	99.00	100.00	798
BHKFFO_14620|LE19-195	ALDGEK_06785	99.07	100.00	756
BHKFFO_14625|LE19-195	ALDGEK_06780	98.06	97.55	1956
BHKFFO_14630|LE19-195	ALDGEK_06775	97.98	100.00	396
BHKFFO_14635|LE19-195	ALDGEK_06770	97.39	99.90	996
BHKFFO_14640|LE19-195	ALDGEK_06765	97.02	100.00	906
BHKFFO_14645|LE19-195	ALDGEK_06760	97.94	100.00	291
BHKFFO_14655|LE19-195	ALDGEK_06750	95.77	100.00	213
BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
