Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_03545|LE19-195	ALDGEK_01505	96.50	100.00	2313
BHKFFO_03550|LE19-195	ALDGEK_20700	97.78	100.00	1443
BHKFFO_03555|LE19-195	ALDGEK_20705	97.25	100.00	1530
BHKFFO_03560|LE19-195	ALDGEK_20710	95.92	100.00	1005
BHKFFO_03565|LE19-195	ALDGEK_20715	97.42	100.00	1434
BHKFFO_03570|LE19-195	ALDGEK_18390	93.27	100.00	297
BHKFFO_03575|LE19-195	ALDGEK_18385	96.19	100.00	867
BHKFFO_03580|LE19-195	ALDGEK_18380	97.84	100.00	417
BHKFFO_03585|LE19-195	ALDGEK_18375	97.15	100.00	351
BHKFFO_03590|LE19-195	ALDGEK_18370	95.91	100.00	1149
BHKFFO_03595|LE19-195	ALDGEK_18365	95.27	100.00	888
BHKFFO_03600|LE19-195	ALDGEK_07665	98.16	100.00	2718
BHKFFO_03605|LE19-195	ALDGEK_07660	99.10	100.00	1443
BHKFFO_03610|LE19-195	ALDGEK_07655	98.71	100.00	930
BHKFFO_03615|LE19-195	ALDGEK_07650	98.94	99.55	663
BHKFFO_03620|LE19-195	ALDGEK_07645	98.60	100.00	3795
BHKFFO_03625|LE19-195	ALDGEK_07640	98.44	100.06	5442
BHKFFO_03630|LE19-195	ALDGEK_07635	98.56	100.00	3963
BHKFFO_03635|LE19-195	ALDGEK_07630	98.94	100.00	1320
BHKFFO_03640|LE19-195	ALDGEK_07625	99.06	100.00	1176
BHKFFO_03645|LE19-195	ALDGEK_07620	99.67	100.00	606
BHKFFO_03650|LE19-195	ALDGEK_07615	98.65	100.00	1632
BHKFFO_03655|LE19-195	ALDGEK_07610	98.16	100.00	1302
BHKFFO_03660|LE19-195	ALDGEK_07605	98.45	100.00	1356
BHKFFO_03665|LE19-195	ALDGEK_07600	98.45	99.97	3099
BHKFFO_03670|LE19-195	ALDGEK_07595	94.49	101.96	765
BHKFFO_03675|LE19-195	ALDGEK_07590	97.54	100.00	528
BHKFFO_03680|LE19-195	ALDGEK_07585	93.63	85.34	423
BHKFFO_03685|LE19-195	ALDGEK_07575	95.21	100.00	1566
BHKFFO_03690|LE19-195	ALDGEK_07570	98.15	99.75	813
BHKFFO_03700|LE19-195	ALDGEK_07560	97.44	99.62	783
BHKFFO_03705|LE19-195	ALDGEK_07555	97.79	100.00	1491
BHKFFO_03710|LE19-195	ALDGEK_15575	93.89	100.00	933
BHKFFO_03715|LE19-195	ALDGEK_18210	100.00	100.00	246
BHKFFO_03720|LE19-195	ALDGEK_18215	97.90	86.14	498
BHKFFO_03725|LE19-195	Unmatched	0.0	0.0	0
