Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00145|LE19-12	FKFHLE_09285	96.76	100.00	2313
GMBOIL_00770|LE19-12	FKFHLE_16340	88.34	100.45	222
GMBOIL_02515|LE19-12	FKFHLE_16210	97.08	100.00	1029
GMBOIL_02520|LE19-12	FKFHLE_16205	95.44	100.00	351
GMBOIL_02525|LE19-12	FKFHLE_16200	98.56	100.00	417
GMBOIL_02530|LE19-12	FKFHLE_16195	96.42	100.00	867
GMBOIL_02535|LE19-12	FKFHLE_16190	96.30	100.00	297
GMBOIL_02540|LE19-12	FKFHLE_16185	97.42	100.00	1434
GMBOIL_02545|LE19-12	FKFHLE_16180	95.52	100.00	1005
GMBOIL_02550|LE19-12	FKFHLE_16175	97.52	100.00	1530
GMBOIL_02555|LE19-12	FKFHLE_16170	97.73	100.00	1188
GMBOIL_11735|LE19-12	FKFHLE_15160	83.79	92.67	273
GMBOIL_15280|LE19-12	FKFHLE_16215	93.87	100.34	894
GMBOIL_15285|LE19-12	FKFHLE_16220	97.68	100.00	2718
GMBOIL_15290|LE19-12	FKFHLE_16225	99.02	98.54	1443
GMBOIL_15295|LE19-12	FKFHLE_16230	99.35	100.00	930
GMBOIL_15300|LE19-12	FKFHLE_16235	99.10	100.00	663
GMBOIL_15305|LE19-12	FKFHLE_16240	98.92	100.00	3795
GMBOIL_15310|LE19-12	FKFHLE_16245	99.06	100.00	5445
GMBOIL_15315|LE19-12	FKFHLE_16250	99.17	100.00	3963
GMBOIL_15320|LE19-12	FKFHLE_16255	99.92	100.00	1320
GMBOIL_15325|LE19-12	FKFHLE_16260	99.23	100.00	1176
GMBOIL_15330|LE19-12	FKFHLE_16265	99.17	100.00	606
GMBOIL_15335|LE19-12	FKFHLE_16270	99.26	100.00	1632
GMBOIL_15340|LE19-12	FKFHLE_16275	99.39	100.00	1302
GMBOIL_15345|LE19-12	FKFHLE_16280	98.67	100.00	1356
GMBOIL_15350|LE19-12	FKFHLE_16285	98.81	99.97	3099
GMBOIL_20245|LE19-12	FKFHLE_16290	96.61	99.74	384
GMBOIL_20610|LE19-12	FKFHLE_16295	94.90	101.34	522
GMBOIL_20620|LE19-12	FKFHLE_16315	96.64	100.06	1548
GMBOIL_20625|LE19-12	FKFHLE_16320	97.78	99.75	813
GMBOIL_20635|LE19-12	FKFHLE_16330	97.57	100.00	783
GMBOIL_21500|LE19-12	FKFHLE_16310	83.89	74.04	285
