Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01885|LE19-195	IOJBKL_16125	93.49	100.33	306
BHKFFO_04850|LE19-195	IOJBKL_19400	100.00	100.00	531
BHKFFO_08655|LE19-195	IOJBKL_02705	97.40	100.00	693
BHKFFO_08660|LE19-195	IOJBKL_02710	97.93	99.18	243
BHKFFO_08670|LE19-195	IOJBKL_02735	98.82	100.00	933
BHKFFO_08675|LE19-195	IOJBKL_02740	98.46	100.00	1431
BHKFFO_08680|LE19-195	IOJBKL_02745	97.41	100.04	2781
BHKFFO_08685|LE19-195	IOJBKL_02750	98.00	100.00	1800
BHKFFO_08690|LE19-195	IOJBKL_02755	97.77	100.00	537
BHKFFO_08700|LE19-195	IOJBKL_02760	99.23	100.00	783
BHKFFO_08705|LE19-195	IOJBKL_02765	98.18	100.00	936
BHKFFO_08710|LE19-195	IOJBKL_02770	97.74	99.80	2928
BHKFFO_08715|LE19-195	IOJBKL_02775	97.48	100.00	954
BHKFFO_13445|LE19-195	IOJBKL_05825	96.92	100.00	876
BHKFFO_13450|LE19-195	IOJBKL_05830	96.68	99.79	1872
BHKFFO_08665|LE19-195	Unmatched	0.0	0.0	0
