Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19745|LE19-12	IDJNMB_03895	98.06	100.00	669
GMBOIL_19750|LE19-12	IDJNMB_03900	98.96	100.00	483
GMBOIL_19755|LE19-12	IDJNMB_03905	97.53	100.00	810
GMBOIL_19760|LE19-12	IDJNMB_03915	94.22	100.00	225
GMBOIL_19765|LE19-12	IDJNMB_03925	97.99	100.00	1641
GMBOIL_19775|LE19-12	IDJNMB_03930	95.08	100.00	366
GMBOIL_21685|LE19-12	IDJNMB_12895	95.31	100.00	213
GMBOIL_21695|LE19-12	IDJNMB_12905	96.91	100.00	291
GMBOIL_21705|LE19-12	IDJNMB_12910	97.48	98.12	1011
GMBOIL_21710|LE19-12	IDJNMB_11870	97.22	100.00	396
GMBOIL_21715|LE19-12	IDJNMB_11865	98.11	91.25	2091
GMBOIL_21720|LE19-12	IDJNMB_11860	98.15	100.00	756
GMBOIL_21725|LE19-12	IDJNMB_11855	98.50	100.00	798
GMBOIL_21730|LE19-12	IDJNMB_11850	99.15	100.00	468
GMBOIL_21735|LE19-12	IDJNMB_11845	98.00	100.00	849
GMBOIL_21740|LE19-12	IDJNMB_11840	98.57	85.89	489
GMBOIL_21745|LE19-12	IDJNMB_11835	98.28	96.67	300
GMBOIL_21750|LE19-12	IDJNMB_11825	97.67	100.00	1161
GMBOIL_21755|LE19-12	IDJNMB_11820	96.93	100.00	1239
GMBOIL_21760|LE19-12	IDJNMB_13695	96.41	100.00	390
GMBOIL_19740|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19770|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21690|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21700|LE19-12	Unmatched	0.0	0.0	0
