Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_00045|LE19-84	ALDGEK_05390	90.78	100.0	1410
LE17-10A	FMDALA_00055|LE19-84	ALDGEK_05385	96.44	100.0	225
LE17-10A	FMDALA_00060|LE19-84	ALDGEK_05380	97.03	99.75	810
LE17-10A	FMDALA_00075|LE19-84	ALDGEK_05375	98.55	100.0	483
LE17-10A	FMDALA_00080|LE19-84	ALDGEK_05370	97.91	100.0	669
LE17-10A	FMDALA_00090|LE19-84	ALDGEK_05365	96.39	97.3	1479
LE17-10A	FMDALA_00095|LE19-84	ALDGEK_05360	97.8	100.0	1002
LE17-10A	FMDALA_00100|LE19-84	ALDGEK_05355	96.66	100.0	867
LE17-10A	FMDALA_00050|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_00065|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_00085|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_00105|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_00110|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_00045|LE19-84	EIDGHK_12810	92.01	97.66	1410
LE17-20C	FMDALA_00050|LE19-84	EIDGHK_17100	95.35	100.0	129
LE17-20C	FMDALA_00055|LE19-84	EIDGHK_17095	94.67	100.0	225
LE17-20C	FMDALA_00060|LE19-84	EIDGHK_17090	97.27	99.51	810
LE17-20C	FMDALA_00075|LE19-84	EIDGHK_17085	98.55	100.0	483
LE17-20C	FMDALA_00080|LE19-84	EIDGHK_17080	98.06	100.0	669
LE17-20C	FMDALA_00090|LE19-84	EIDGHK_17075	96.46	97.3	1479
LE17-20C	FMDALA_00095|LE19-84	EIDGHK_17070	97.11	100.0	1002
LE17-20C	FMDALA_00100|LE19-84	EIDGHK_17065	96.31	100.0	867
LE17-20C	FMDALA_00065|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_00085|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_00105|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_00110|LE19-84	Unmatched	0.0	0.0	0
LE18-22	FMDALA_00045|LE19-84	HENFNN_17005	95.82	100.0	1410
LE18-22	FMDALA_00050|LE19-84	HENFNN_15070	93.8	100.0	129
LE18-22	FMDALA_00055|LE19-84	HENFNN_15075	94.67	100.0	225
LE18-22	FMDALA_00060|LE19-84	HENFNN_15080	97.4	99.75	810
LE18-22	FMDALA_00075|LE19-84	HENFNN_15085	98.55	100.0	483
