Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_09345|LE19-84	HOOJMB_20530	90.82	99.39	2937
FMDALA_20165|LE19-84	HOOJMB_13665	96.19	86.42	486
FMDALA_20170|LE19-84	HOOJMB_02880	95.53	100.00	1746
FMDALA_20175|LE19-84	HOOJMB_09975	94.40	100.00	2160
FMDALA_20200|LE19-84	HOOJMB_06620	97.16	95.56	405
FMDALA_20205|LE19-84	HOOJMB_06625	95.57	78.21	693
FMDALA_20210|LE19-84	HOOJMB_02475	83.55	99.43	1590
FMDALA_20225|LE19-84	HOOJMB_09950	97.36	81.75	789
FMDALA_20230|LE19-84	HOOJMB_11650	96.86	100.00	159
FMDALA_20235|LE19-84	HOOJMB_11645	97.92	100.00	480
FMDALA_21615|LE19-84	HOOJMB_22170	96.82	100.00	2076
FMDALA_21620|LE19-84	HOOJMB_22165	96.92	95.35	1227
FMDALA_21870|LE19-84	HOOJMB_21285	96.62	100.00	975
FMDALA_21880|LE19-84	HOOJMB_21290	96.70	99.28	978
FMDALA_20160|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20180|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20185|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20190|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20215|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20220|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
FMDALA_21865|LE19-84	Unmatched	0.0	0.0	0
FMDALA_23395|LE19-84	Unmatched	0.0	0.0	0
