Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_08715|LE19-114	FKFHLE_03915	95.24	100.00	294
OCDKLD_08720|LE19-114	FKFHLE_03910	97.05	99.62	1056
OCDKLD_08725|LE19-114	FKFHLE_03905	96.25	93.48	798
OCDKLD_08735|LE19-114	FKFHLE_03895	96.98	100.00	828
OCDKLD_08740|LE19-114	FKFHLE_03890	97.06	100.00	1155
OCDKLD_08745|LE19-114	FKFHLE_03885	98.30	100.00	1590
OCDKLD_08750|LE19-114	FKFHLE_03880	96.89	100.00	1545
OCDKLD_08755|LE19-114	FKFHLE_03875	96.94	100.00	915
OCDKLD_09720|LE19-114	FKFHLE_03920	96.08	99.39	1155
OCDKLD_09725|LE19-114	FKFHLE_03925	96.69	100.00	393
OCDKLD_09730|LE19-114	FKFHLE_03930	97.47	100.00	909
OCDKLD_09735|LE19-114	FKFHLE_03935	97.68	100.00	1251
OCDKLD_09745|LE19-114	FKFHLE_02855	97.32	100.00	1155
OCDKLD_09750|LE19-114	FKFHLE_02860	97.98	100.00	891
OCDKLD_09755|LE19-114	FKFHLE_02865	97.18	100.00	213
OCDKLD_09760|LE19-114	FKFHLE_02870	95.97	72.68	615
OCDKLD_09765|LE19-114	FKFHLE_02875	97.94	100.00	291
OCDKLD_09770|LE19-114	FKFHLE_02880	97.26	88.63	906
OCDKLD_09775|LE19-114	FKFHLE_02885	96.27	99.70	996
OCDKLD_09780|LE19-114	FKFHLE_05490	97.98	100.00	396
OCDKLD_09785|LE19-114	FKFHLE_05495	98.22	100.00	1908
OCDKLD_09790|LE19-114	FKFHLE_05500	98.54	100.00	756
OCDKLD_09795|LE19-114	FKFHLE_05505	98.87	100.00	798
OCDKLD_09800|LE19-114	FKFHLE_05510	97.86	100.00	468
OCDKLD_09805|LE19-114	FKFHLE_05515	97.17	100.00	849
OCDKLD_09810|LE19-114	FKFHLE_05520	98.81	100.00	420
OCDKLD_09815|LE19-114	FKFHLE_05525	97.92	97.31	297
OCDKLD_09820|LE19-114	FKFHLE_18190	97.50	100.00	1161
OCDKLD_09825|LE19-114	FKFHLE_18195	97.34	100.00	1239
OCDKLD_11080|LE19-114	FKFHLE_04075	98.49	100.00	465
OCDKLD_11085|LE19-114	FKFHLE_04070	98.06	100.00	1341
OCDKLD_11090|LE19-114	FKFHLE_04065	95.87	100.00	630
OCDKLD_11095|LE19-114	FKFHLE_04060	94.72	100.00	417
OCDKLD_11100|LE19-114	FKFHLE_04055	99.04	100.00	519
OCDKLD_11105|LE19-114	FKFHLE_04050	98.12	100.00	906
OCDKLD_11120|LE19-114	FKFHLE_21475	88.58	100.00	219
OCDKLD_11125|LE19-114	FKFHLE_04035	94.29	100.00	105
OCDKLD_11135|LE19-114	FKFHLE_04020	97.52	100.00	606
OCDKLD_11140|LE19-114	FKFHLE_04015	97.97	100.00	1278
OCDKLD_11145|LE19-114	FKFHLE_04000	96.72	99.85	672
OCDKLD_11150|LE19-114	FKFHLE_03995	97.99	100.00	1296
OCDKLD_11155|LE19-114	FKFHLE_03990	97.53	100.00	1173
OCDKLD_11160|LE19-114	FKFHLE_03980	97.72	100.00	834
OCDKLD_11165|LE19-114	FKFHLE_03975	93.38	98.55	138
OCDKLD_11170|LE19-114	FKFHLE_03970	97.82	100.00	1287
OCDKLD_11175|LE19-114	FKFHLE_03965	98.49	100.00	663
OCDKLD_11180|LE19-114	FKFHLE_03960	96.46	76.97	330
OCDKLD_11200|LE19-114	FKFHLE_03950	97.24	100.00	1560
OCDKLD_11205|LE19-114	FKFHLE_03945	99.63	100.00	273
OCDKLD_11210|LE19-114	FKFHLE_03940	97.05	100.00	1254
OCDKLD_09740|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11110|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11185|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11215|LE19-114	Unmatched	0.0	0.0	0
