Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	OCDKLD_13065|LE19-114	ALDGEK_00635	99.72	100.0	351
LE17-10A	OCDKLD_13070|LE19-114	ALDGEK_00640	99.6	100.0	1512
LE17-10A	OCDKLD_13075|LE19-114	ALDGEK_00645	98.62	100.0	435
LE17-10A	OCDKLD_13080|LE19-114	ALDGEK_00650	99.54	100.0	648
LE17-10A	OCDKLD_13085|LE19-114	ALDGEK_00655	99.36	100.0	780
LE17-10A	OCDKLD_13090|LE19-114	ALDGEK_00660	98.25	100.0	1086
LE17-10A	OCDKLD_13095|LE19-114	ALDGEK_00665	97.69	100.0	303
LE17-10A	OCDKLD_13100|LE19-114	ALDGEK_00670	99.61	100.0	255
LE17-20C	OCDKLD_13065|LE19-114	EIDGHK_15730	95.16	100.0	351
LE17-20C	OCDKLD_13070|LE19-114	EIDGHK_15735	98.02	100.0	1512
LE17-20C	OCDKLD_13075|LE19-114	EIDGHK_15740	98.39	100.0	435
LE17-20C	OCDKLD_13080|LE19-114	EIDGHK_15745	98.3	100.0	648
LE17-20C	OCDKLD_13085|LE19-114	EIDGHK_18560	96.79	99.87	780
LE17-20C	OCDKLD_13090|LE19-114	EIDGHK_18555	97.15	100.0	1086
LE17-20C	OCDKLD_13095|LE19-114	EIDGHK_18550	100.0	100.0	303
LE17-20C	OCDKLD_13100|LE19-114	EIDGHK_18545	99.61	100.0	255
LE18-22	OCDKLD_13065|LE19-114	HENFNN_00590	95.73	100.0	351
LE18-22	OCDKLD_13070|LE19-114	HENFNN_00595	97.88	100.0	1512
LE18-22	OCDKLD_13075|LE19-114	HENFNN_00600	98.85	100.0	435
LE18-22	OCDKLD_13080|LE19-114	HENFNN_00605	98.15	100.15	648
LE18-22	OCDKLD_13085|LE19-114	HENFNN_15415	97.82	99.87	780
LE18-22	OCDKLD_13090|LE19-114	HENFNN_15410	97.7	100.0	1086
LE18-22	OCDKLD_13095|LE19-114	HENFNN_15405	98.02	100.0	303
LE18-22	OCDKLD_13100|LE19-114	HENFNN_15400	98.43	100.0	255
LE19-10	OCDKLD_13065|LE19-114	PGKGJD_05030	96.3	100.0	351
LE19-10	OCDKLD_13070|LE19-114	PGKGJD_05035	98.02	100.0	1512
LE19-10	OCDKLD_13075|LE19-114	PGKGJD_05040	98.62	100.0	435
LE19-10	OCDKLD_13080|LE19-114	PGKGJD_05045	98.92	100.0	648
LE19-10	OCDKLD_13085|LE19-114	PGKGJD_07875	97.76	85.9	780
LE19-10	OCDKLD_13090|LE19-114	PGKGJD_19790	97.42	100.0	1086
LE19-10	OCDKLD_13095|LE19-114	PGKGJD_19795	97.69	100.0	303
LE19-10	OCDKLD_13100|LE19-114	PGKGJD_19800	98.82	100.0	255
LE19-114	OCDKLD_13065|LE19-114	OCDKLD_13065	100.0	100.0	351
LE19-114	OCDKLD_13070|LE19-114	OCDKLD_13070	100.0	100.0	1512
LE19-114	OCDKLD_13075|LE19-114	OCDKLD_13075	100.0	100.0	435
LE19-114	OCDKLD_13080|LE19-114	OCDKLD_13080	100.0	100.0	648
LE19-114	OCDKLD_13085|LE19-114	OCDKLD_13085	100.0	100.0	780
LE19-114	OCDKLD_13090|LE19-114	OCDKLD_13090	100.0	100.0	1086
LE19-114	OCDKLD_13095|LE19-114	OCDKLD_13095	100.0	100.0	303
LE19-114	OCDKLD_13100|LE19-114	OCDKLD_13100	100.0	100.0	255
LE19-12	OCDKLD_13065|LE19-114	GMBOIL_07390	95.44	100.0	351
LE19-12	OCDKLD_13070|LE19-114	GMBOIL_07395	98.28	100.0	1512
LE19-12	OCDKLD_13075|LE19-114	GMBOIL_07400	98.62	100.0	435
LE19-12	OCDKLD_13090|LE19-114	GMBOIL_08340	96.5	100.0	1086
LE19-12	OCDKLD_13095|LE19-114	GMBOIL_08335	99.33	98.02	303
LE19-12	OCDKLD_13100|LE19-114	GMBOIL_08330	98.43	100.0	255
LE19-12	OCDKLD_13080|LE19-114	Unmatched	0.0	0.0	0
LE19-12	OCDKLD_13085|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_13065|LE19-114	IDJNMB_09345	98.01	100.0	351
